#For SF galaxies, QTime is the duration of the last period when they were quenched.
#vmpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
45.1632 2.92288e-05 2.17855e-06 109661 3361.27 0 0 0 0.308584 3.00191e-05 0.30743 0.0828632 0.0805463 0.395324 2.26863e-05 0.400136 0.0535452 0.0590731 0.475151 7.63918e-06 0.479005 0.0131622 0.0197602 6158315
61.9802 5.18722e-07 5.18722e-07 156911 6250.94 0 0 0 0.251744 4.57947e-05 0.245484 0.0698081 0.0580286 0.369372 3.76073e-05 0.372759 0.0464085 0.0537623 0.473026 1.17806e-05 0.475956 0.0117242 0.0172507 1927814
78.2971 0 0 267468 12344.5 0 0 0 0.239583 6.37749e-05 0.234367 0.0627003 0.05288 0.377411 5.21513e-05 0.380199 0.0432758 0.0489263 0.476347 1.46008e-05 0.478451 0.0102797 0.0141973 840960
98.618 0 0 622825 28867.4 0 0 0 0.251617 9.29393e-05 0.247274 0.0617949 0.0532557 0.388717 6.86515e-05 0.389955 0.0411275 0.0429954 0.478624 1.86735e-05 0.480297 0.00940064 0.0125698 395575
124.236 2.06293e-05 1.03146e-05 1.94175e+06 78243.3 0 0 0 0.276294 0.000138876 0.2719 0.0658222 0.0562032 0.408713 8.98426e-05 0.410634 0.0378749 0.0405674 0.484188 2.11873e-05 0.485699 0.00716481 0.0100908 193899
156.256 0.0013293 0.000118345 9.88103e+06 298732 0 0 0 0.311173 0.000194665 0.309435 0.0631964 0.0585583 0.429223 9.88518e-05 0.430138 0.0300184 0.0295021 0.486914 2.68316e-05 0.488237 0.00604817 0.00828966 94787
195.314 0.0192759 0.000697979 6.36643e+07 1.29062e+06 0 0 0 0.318483 0.000273764 0.317817 0.0546868 0.0525296 0.418672 0.000170506 0.419273 0.0339136 0.0323248 0.479669 8.0386e-05 0.483261 0.0091162 0.0146509 38805
243.014 0.112984 0.00333364 2.1578e+08 4.94185e+06 0 6.11817e+08 0 0.296218 0.00055121 0.295189 0.0545838 0.0505003 0.387535 0.000447001 0.388348 0.0434752 0.0419255 0.459169 0.000319291 0.467401 0.0182005 0.0362175 9019
307.448 0.445955 0.0129646 5.72429e+08 1.94519e+07 0 1.33034e+09 0 0.266564 0.00135788 0.264756 0.0520845 0.0508803 0.347713 0.00125653 0.348301 0.0495031 0.0481179 0.418057 0.0012425 0.425378 0.0408051 0.0564609 1471
390.415 0.628631 0.0220307 1.09174e+09 4.04066e+07 1.093e+09 9.3359e+08 1.093e+09 0.229489 0.00218258 0.226466 0.0512156 0.043333 0.302178 0.00221925 0.30253 0.0490993 0.0458172 0.365946 0.00223715 0.365912 0.0523442 0.0496926 482
495.423 0.644172 0.0376152 1.45601e+09 7.56451e+07 1.40892e+09 1.06663e+09 9.59173e+08 0.205266 0.00335412 0.198416 0.0495977 0.0380577 0.26841 0.00348768 0.269464 0.0396807 0.0456259 0.32985 0.00378167 0.32823 0.0463797 0.0419397 163
610.952 0.666667 0.0584705 1.19896e+09 1.29204e+08 1.093e+09 1.0093e+09 1.093e+09 0.18575 0.00484875 0.184082 0.0427824 0.0369022 0.245439 0.00545973 0.252219 0.0417182 0.0490454 0.326506 0.00643392 0.331606 0.0457003 0.0599953 66
776.12 0.684211 0.109561 1.04283e+09 2.37053e+08 6.92559e+08 1.78299e+09 6.92559e+08 0.17903 0.00685683 0.183842 0.0214751 0.0358084 0.237974 0.00691248 0.23416 0.0381422 0.0238376 0.305897 0.00848008 0.301088 0.0319673 0.0325463 19
943.267 1 0 1.17693e+09 8.54373e+08 6.92559e+08 2.14568e+09 6.92559e+08 0.132844 0.0141331 0.129249 0.0296723 0.0188886 0.17789 0.0152551 0.187263 0.0110849 0.0392047 0.259079 0.0108766 0.251588 0.0289231 0.00645028 3
