#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 8.75 - 9.25
#HM   Stats: 1.059710e+11 (median) + 5.402900e+10  / - 3.669160e+10
#SM   Stats: 9.316720e+08 (median) + 4.860680e+08  / - 2.776890e+08
#VMP  Stats: 8.958000e+01 (median) + 8.269997e+00  / - 6.169998e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 8.158674e-11 (median) + 2.453916e-10  / - 8.046819e-11
sfh 0.217623 0.0282197 0.0655205 0.0219579 #avg: 0.055642; avg_err: 0.000233996; sd: 0.0931755; counts: 158558
sfh 0.222685 0.0296643 0.0662393 0.0229356 #avg: 0.0569671; avg_err: 0.000234079; sd: 0.0932083; counts: 158558
sfh 0.227748 0.0312078 0.0670668 0.0239592 #avg: 0.0586211; avg_err: 0.00023865; sd: 0.0950288; counts: 158558
sfh 0.23281 0.0325005 0.0682215 0.0247435 #avg: 0.0602429; avg_err: 0.000240092; sd: 0.0956029; counts: 158558
sfh 0.237873 0.0337068 0.0685242 0.0253284 #avg: 0.0613818; avg_err: 0.000244163; sd: 0.0972236; counts: 158558
sfh 0.242935 0.0347528 0.0685522 0.0257718 #avg: 0.0621183; avg_err: 0.000241886; sd: 0.0963171; counts: 158558
sfh 0.247998 0.0361638 0.0694062 0.0262992 #avg: 0.0637375; avg_err: 0.000241967; sd: 0.0963496; counts: 158558
sfh 0.25306 0.0370728 0.0698172 0.0265738 #avg: 0.0645692; avg_err: 0.000244569; sd: 0.0973855; counts: 158558
sfh 0.258123 0.0383822 0.0706498 0.0273589 #avg: 0.0659262; avg_err: 0.000243954; sd: 0.0971407; counts: 158558
sfh 0.263185 0.0394481 0.0706129 0.0277559 #avg: 0.06657; avg_err: 0.000240532; sd: 0.0957778; counts: 158558
sfh 0.268248 0.0400541 0.0715369 0.0278219 #avg: 0.0674683; avg_err: 0.000241468; sd: 0.0961506; counts: 158558
sfh 0.27331 0.0410799 0.0723091 0.0281909 #avg: 0.0686673; avg_err: 0.000241288; sd: 0.096079; counts: 158558
sfh 0.278373 0.0419144 0.0727586 0.0284986 #avg: 0.0698511; avg_err: 0.000245297; sd: 0.0976754; counts: 158558
sfh 0.283435 0.043567 0.075442 0.0294794 #avg: 0.0720455; avg_err: 0.000245853; sd: 0.0978966; counts: 158558
sfh 0.288498 0.0445838 0.0758982 0.0299123 #avg: 0.0733137; avg_err: 0.000250307; sd: 0.0996704; counts: 158558
sfh 0.29356 0.0458159 0.0767591 0.030441 #avg: 0.0744568; avg_err: 0.000249275; sd: 0.0992593; counts: 158558
sfh 0.298623 0.0468791 0.0773069 0.0308303 #avg: 0.075757; avg_err: 0.000252545; sd: 0.100562; counts: 158558
sfh 0.303685 0.0479395 0.0784625 0.031291 #avg: 0.0771358; avg_err: 0.000258026; sd: 0.102744; counts: 158558
sfh 0.308748 0.0489905 0.0795735 0.0316369 #avg: 0.0781906; avg_err: 0.000256131; sd: 0.101989; counts: 158558
sfh 0.31381 0.0499766 0.0800274 0.0320517 #avg: 0.0795904; avg_err: 0.000260817; sd: 0.103855; counts: 158558
sfh 0.318873 0.0513474 0.0802196 0.0328676 #avg: 0.0808601; avg_err: 0.000261415; sd: 0.104093; counts: 158558
sfh 0.323935 0.0523228 0.0817472 0.0332684 #avg: 0.0820747; avg_err: 0.000262101; sd: 0.104366; counts: 158558
sfh 0.328997 0.0533904 0.0822286 0.0336618 #avg: 0.0831157; avg_err: 0.000263483; sd: 0.104917; counts: 158558
sfh 0.33406 0.0544198 0.0831072 0.0340787 #avg: 0.0843091; avg_err: 0.000263565; sd: 0.10495; counts: 158558
sfh 0.339122 0.055591 0.083424 0.0345721 #avg: 0.0850785; avg_err: 0.000261653; sd: 0.104188; counts: 158558
sfh 0.344185 0.0568161 0.0839409 0.0351349 #avg: 0.0864982; avg_err: 0.000266987; sd: 0.106312; counts: 158558
sfh 0.349247 0.0580137 0.0845213 0.0356114 #avg: 0.0876496; avg_err: 0.000266241; sd: 0.106015; counts: 158558
sfh 0.35431 0.0598065 0.0855695 0.0364759 #avg: 0.0893503; avg_err: 0.000263324; sd: 0.104853; counts: 158558
sfh 0.359372 0.0608153 0.0863137 0.0368077 #avg: 0.090409; avg_err: 0.000265467; sd: 0.105707; counts: 158558
sfh 0.364435 0.0620543 0.0870807 0.0372704 #avg: 0.0917078; avg_err: 0.000266182; sd: 0.105991; counts: 158558
sfh 0.369497 0.0634299 0.0880261 0.038071 #avg: 0.0931386; avg_err: 0.000268331; sd: 0.106847; counts: 158558
sfh 0.37456 0.0644317 0.0882933 0.0381892 #avg: 0.0942764; avg_err: 0.000267594; sd: 0.106554; counts: 158558
sfh 0.379622 0.0656419 0.0889561 0.038624 #avg: 0.0954728; avg_err: 0.00026803; sd: 0.106727; counts: 158558
sfh 0.384685 0.0668212 0.0888288 0.0388887 #avg: 0.0965245; avg_err: 0.000268887; sd: 0.107069; counts: 158558
sfh 0.389747 0.0680904 0.0892566 0.0393619 #avg: 0.0978478; avg_err: 0.000272311; sd: 0.108432; counts: 158558
sfh 0.39481 0.0694534 0.0893866 0.03993 #avg: 0.0992473; avg_err: 0.000275054; sd: 0.109524; counts: 158558
sfh 0.399872 0.071045 0.090688 0.040675 #avg: 0.100977; avg_err: 0.000274306; sd: 0.109226; counts: 158558
sfh 0.404935 0.0723559 0.0906801 0.0411214 #avg: 0.102201; avg_err: 0.000273798; sd: 0.109024; counts: 158558
sfh 0.409997 0.0736936 0.0908994 0.041583 #avg: 0.103619; avg_err: 0.000275458; sd: 0.109685; counts: 158558
sfh 0.41506 0.0751459 0.0919271 0.0422734 #avg: 0.104991; avg_err: 0.000276818; sd: 0.110227; counts: 158558
sfh 0.420122 0.0761762 0.0923488 0.0424857 #avg: 0.106324; avg_err: 0.000286672; sd: 0.114151; counts: 158558
sfh 0.425185 0.0775203 0.0919757 0.0429385 #avg: 0.107122; avg_err: 0.000276751; sd: 0.1102; counts: 158558
sfh 0.430247 0.0787043 0.0930297 0.0431786 #avg: 0.108386; avg_err: 0.000278417; sd: 0.110864; counts: 158558
sfh 0.43531 0.0797212 0.0927168 0.0435086 #avg: 0.109432; avg_err: 0.000282626; sd: 0.112539; counts: 158558
sfh 0.440372 0.081131 0.093233 0.0439669 #avg: 0.110848; avg_err: 0.000281473; sd: 0.11208; counts: 158558
sfh 0.445435 0.0822565 0.0939105 0.0442519 #avg: 0.111871; avg_err: 0.000283326; sd: 0.112818; counts: 158558
sfh 0.450497 0.083613 0.094822 0.0448528 #avg: 0.113374; avg_err: 0.000283094; sd: 0.112726; counts: 158558
sfh 0.45556 0.0844456 0.0944204 0.0448278 #avg: 0.114295; avg_err: 0.000286159; sd: 0.113946; counts: 158558
sfh 0.460622 0.0857255 0.0949755 0.0452422 #avg: 0.115247; avg_err: 0.000283194; sd: 0.112766; counts: 158558
sfh 0.465685 0.0869991 0.0956049 0.0455854 #avg: 0.116634; avg_err: 0.000282242; sd: 0.112387; counts: 158558
sfh 0.470747 0.0883141 0.0966259 0.0461005 #avg: 0.11798; avg_err: 0.000285616; sd: 0.11373; counts: 158558
sfh 0.47581 0.0895988 0.0972472 0.0465297 #avg: 0.119556; avg_err: 0.000287837; sd: 0.114614; counts: 158558
sfh 0.480872 0.090998 0.097298 0.0470667 #avg: 0.120843; avg_err: 0.000289333; sd: 0.11521; counts: 158558
sfh 0.485935 0.0920028 0.0979922 0.0471131 #avg: 0.122091; avg_err: 0.000287303; sd: 0.114402; counts: 158558
sfh 0.490997 0.0933094 0.0990216 0.0475663 #avg: 0.123754; avg_err: 0.000292225; sd: 0.116362; counts: 158558
sfh 0.49606 0.0946646 0.0993554 0.0479987 #avg: 0.125121; avg_err: 0.000295221; sd: 0.117555; counts: 158558
sfh 0.501122 0.0960751 0.0996739 0.0485749 #avg: 0.126586; avg_err: 0.000299094; sd: 0.119097; counts: 158558
sfh 0.506185 0.0971872 0.100247 0.0488668 #avg: 0.127695; avg_err: 0.000296215; sd: 0.117951; counts: 158558
sfh 0.511247 0.0982329 0.101119 0.0490082 #avg: 0.128905; avg_err: 0.000296828; sd: 0.118195; counts: 158558
sfh 0.51631 0.0995733 0.101916 0.0494112 #avg: 0.130444; avg_err: 0.000295205; sd: 0.117548; counts: 158558
sfh 0.521372 0.101651 0.103001 0.0501686 #avg: 0.13248; avg_err: 0.000297042; sd: 0.11828; counts: 158558
sfh 0.526435 0.103008 0.10358 0.0506644 #avg: 0.133914; avg_err: 0.000299907; sd: 0.119421; counts: 158558
sfh 0.531497 0.104553 0.104392 0.0513278 #avg: 0.135736; avg_err: 0.000305125; sd: 0.121499; counts: 158558
sfh 0.53656 0.10574 0.105519 0.051732 #avg: 0.137202; avg_err: 0.000309136; sd: 0.123095; counts: 158558
sfh 0.541622 0.107399 0.106435 0.0524231 #avg: 0.138625; avg_err: 0.00030715; sd: 0.122305; counts: 158558
sfh 0.546685 0.107988 0.107514 0.0525155 #avg: 0.139576; avg_err: 0.000304586; sd: 0.121284; counts: 158558
sfh 0.551747 0.109458 0.108295 0.0529 #avg: 0.141174; avg_err: 0.00030745; sd: 0.122424; counts: 158558
sfh 0.55681 0.110963 0.1089 0.0536649 #avg: 0.142971; avg_err: 0.00031185; sd: 0.124176; counts: 158558
sfh 0.561872 0.112126 0.110148 0.0541281 #avg: 0.144531; avg_err: 0.000317536; sd: 0.12644; counts: 158558
sfh 0.566935 0.113322 0.111171 0.0544728 #avg: 0.145698; avg_err: 0.000316815; sd: 0.126153; counts: 158558
sfh 0.571997 0.115303 0.111124 0.0552955 #avg: 0.147309; avg_err: 0.000314842; sd: 0.125368; counts: 158558
sfh 0.57706 0.116706 0.112264 0.0558511 #avg: 0.148819; avg_err: 0.000316205; sd: 0.12591; counts: 158558
sfh 0.582123 0.118298 0.112993 0.0567379 #avg: 0.150484; avg_err: 0.000325055; sd: 0.129435; counts: 158558
sfh 0.587185 0.119661 0.113479 0.0574223 #avg: 0.151716; avg_err: 0.000323846; sd: 0.128953; counts: 158558
sfh 0.592248 0.120968 0.114796 0.0579448 #avg: 0.153036; avg_err: 0.000320061; sd: 0.127446; counts: 158558
sfh 0.59731 0.12176 0.115436 0.0582852 #avg: 0.154069; avg_err: 0.000322752; sd: 0.128518; counts: 158558
sfh 0.602373 0.123534 0.116442 0.0590932 #avg: 0.155899; avg_err: 0.000331687; sd: 0.132075; counts: 158558
sfh 0.607435 0.124713 0.117078 0.0596539 #avg: 0.157208; avg_err: 0.000329729; sd: 0.131295; counts: 158558
sfh 0.612498 0.125992 0.117713 0.0601728 #avg: 0.158452; avg_err: 0.000329646; sd: 0.131263; counts: 158558
