#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
46.7139 4.74184e+08 4.89919e+06 4.10865e+08 2.16441e+08 9.00497e+07 3.23474e+09 3.78949e+07 3.97868e+09 4.77585e+08 2.80631e+09 1449
62.7556 4.31156e+08 4.59591e+06 3.79655e+08 1.66872e+08 6.12052e+07 4.244e+09 1.85453e+07 4.34047e+09 3.37367e+08 4.2435e+08 1043
80.4729 4.52161e+08 5.42562e+06 3.9259e+08 1.86287e+08 7.37166e+07 4.26966e+09 1.4111e+07 4.34047e+09 3.90856e+08 4.87529e+08 1079
100.144 5.05453e+08 6.18024e+06 4.24463e+08 2.69913e+08 1.01316e+08 3.98653e+09 1.79173e+07 4.10191e+09 5.21663e+08 7.07614e+08 1452
126.606 5.65696e+08 6.68487e+06 4.72159e+08 3.43169e+08 1.4168e+08 3.506e+09 2.119e+07 3.65981e+09 7.39229e+08 1.03788e+09 1920
159.311 6.52585e+08 7.74824e+06 5.16832e+08 4.55508e+08 1.79465e+08 2.45105e+09 2.49634e+07 2.47555e+09 1.44057e+09 1.62214e+09 2631
198.228 7.14581e+08 8.33261e+06 5.62121e+08 5.34991e+08 2.08483e+08 1.58463e+09 2.005e+07 1.25149e+09 1.51509e+09 6.39673e+08 2779
243.504 7.73295e+08 1.4172e+07 6.33798e+08 5.43634e+08 2.55309e+08 1.16927e+09 2.39521e+07 8.53413e+08 1.0207e+09 3.22537e+08 1113
305.321 8.86494e+08 4.20313e+07 7.20614e+08 7.14296e+08 3.22537e+08 9.94556e+08 4.9985e+07 7.73094e+08 7.92119e+08 3.23348e+08 171
390.432 8.8517e+08 6.31697e+07 7.81121e+08 5.62121e+08 3.19746e+08 7.74546e+08 6.37069e+07 5.55505e+08 5.37493e+08 8.49649e+07 46
483.425 1.06979e+09 1.28049e+08 9.83734e+08 4.9578e+08 4.23178e+08 8.28445e+08 1.12114e+08 6.11817e+08 4.81181e+08 1.62071e+08 19
602.256 1.02625e+09 2.48722e+08 6.33798e+08 1.24032e+09 3.11261e+08 7.7816e+08 9.16577e+07 8.53413e+08 2.39584e+08 3.26141e+08 9
768.601 7.67021e+08 2.95984e+08 8.53413e+08 7.18004e+08 5.33509e+08 5.18169e+08 9.55311e+07 5.30876e+08 2.42217e+08 2.11917e+08 4
