#mpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.95781e+09 0.000157061 0.000158324 5.03847e-06 0 0 0 6.59685e-05 9.56695e-07 0 0 0 6335120
1.56668e+10 0.000322387 0.000324893 1.17356e-05 0 0 0 0.000139655 1.77456e-06 0 0 0 2394637
2.47404e+10 0.000490672 0.000492454 1.71612e-05 0 0 0 0.000257453 2.63955e-06 0 0 0 1683406
3.91566e+10 0.000711082 0.000712808 2.48529e-05 0 0 0 0.000416681 3.96805e-06 0 0 0 1158797
6.20444e+10 0.00110937 0.00112081 3.81017e-05 0 0 0 0.000626949 6.23847e-06 0 0 0 786934
9.83017e+10 0.00199951 0.00201909 6.34263e-05 0 0 0 0.000961442 1.07752e-05 0 0 0 510625
1.55793e+11 0.00379302 0.00387936 0.000111576 0 0 0 0.00161894 2.15667e-05 0 0 0 324280
2.46811e+11 0.00757305 0.00790672 0.000203228 0 0 0 0.00326182 4.87137e-05 0 0 0 206786
3.91372e+11 0.0160796 0.0168081 0.000370025 0 0 0 0.00824774 0.00011354 0 0 0 131782
6.19459e+11 0.036498 0.0387889 0.000711316 0 0 0 0.0222967 0.000255639 0 0.0205546 0 82936
9.81939e+11 0.0753152 0.0809159 0.00127912 0 0 0 0.0532585 0.000494141 0 0.112546 0 52672
1.55715e+12 0.13386 0.147414 0.00217005 0 0 0 0.11825 0.000883861 0.0384821 0.244268 0.0384821 32758
2.4642e+12 0.17504 0.190989 0.00305954 0 1 0 0.215643 0.00135015 0.182282 0.242392 0.182282 20064
3.90851e+12 0.185016 0.201547 0.0039897 0 1 0 0.326911 0.00179822 0.323233 0.217139 0.223051 12280
6.19075e+12 0.16697 0.178456 0.00487821 0 1 0 0.420682 0.00225408 0.426283 0.188788 0.20647 7139
9.81155e+12 0.153468 0.1612 0.00594243 0 0 0 0.493374 0.00268957 0.500321 0.172985 0.179507 4268
1.55493e+13 0.144854 0.151631 0.00776215 0 0 0 0.542765 0.00330649 0.555308 0.145391 0.170089 2361
2.45865e+13 0.138752 0.14532 0.0106864 0 0 0 0.586808 0.00428849 0.59336 0.139486 0.144773 1218
3.85736e+13 0.147147 0.160661 0.0157461 0 0 0 0.614886 0.00595821 0.630893 0.134593 0.15721 666
6.06943e+13 0.101351 0.108108 0.0193044 0 0 0 0.640428 0.00788991 0.655946 0.118006 0.136611 296
9.50083e+13 0.138686 0.153285 0.0341908 0 0 0 0.681666 0.0104901 0.706187 0.0939234 0.160323 137
1.41025e+14 0.106383 0.106383 0.0454604 0 0 0 0.69257 0.016633 0.694456 0.113661 0.099336 47
2.34044e+14 0 0 0 0 0 0 0.753587 0.0266315 0.761762 0.0678698 0.101989 11
6.03436e+14 0 0 0 0 0 0 0.719986 0.00829443 0.72828 0 0.0165889 2
