#sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.65353e+07 0.00262091 0.00263853 5.59722e-05 0 0 0 0.00220393 1.77292e-05 0 0 0 851232
1.56939e+08 0.00384878 0.00388709 0.000117274 0 0 0 0.00298507 3.64899e-05 0 0 0 287104
2.48633e+08 0.0052955 0.00535429 0.000156893 0 0 0 0.00388056 4.9858e-05 0 0 0 221131
3.94195e+08 0.0072002 0.00727655 0.000208136 0 0 0 0.00502999 6.78224e-05 0 0 0 170273
6.2461e+08 0.00935637 0.00950925 0.000272647 0 0 0 0.00626236 8.80625e-05 0 0 0 130820
9.89232e+08 0.0113337 0.0114946 0.000342789 0 0 0 0.00762826 0.000111278 0 0 0 99438
1.56853e+09 0.0145899 0.0148273 0.000446052 0 0 0 0.00941854 0.000143639 0 0 0 75806
2.48175e+09 0.0169584 0.0172408 0.000555848 0 0 0 0.0110418 0.000183608 0 0 0 56668
3.93594e+09 0.021451 0.0218801 0.000728391 0 0 0 0.0140381 0.000240968 0 0.0101219 0 41956
6.24322e+09 0.0259965 0.0264138 0.000923121 0 0 0 0.0171513 0.00031564 0 0.020241 0 31158
9.89719e+09 0.0319611 0.0324773 0.00118159 0 0 0 0.0192474 0.000378969 0 0.0236741 0 23247
1.57025e+10 0.0360988 0.0368922 0.00145259 0 0 0 0.0226382 0.00047595 0 0.0352164 0 17646
2.48767e+10 0.0439769 0.0445613 0.00178769 0 0 0 0.0264259 0.000575539 0 0.0476928 0 13689
3.93248e+10 0.0499126 0.0513692 0.00223951 0 0 0 0.0283314 0.000679132 0 0.0538118 0 10298
6.21886e+10 0.0530162 0.0544778 0.00268954 0 0 0 0.0290162 0.000764634 0 0.0612975 0 7526
9.81855e+10 0.0456281 0.0467736 0.00299183 0 0 0 0.0267608 0.000851557 0 0.0517482 0 5238
1.54797e+11 0.03136 0.03168 0.00316614 0 0 0 0.0216138 0.000921875 0 0.0454083 0 3125
2.41847e+11 0.0259146 0.0259146 0.00438803 0 0 0 0.0166819 0.00112415 0 0.028453 0 1312
3.81786e+11 0.0117994 0.0117994 0.00587346 0 0 0 0.0141364 0.00251698 0 0.0234189 0 339
5.86364e+11 0 0 0 0 0 0 0.00799281 0.00227704 0 0.0206913 0 54
8.62061e+11 0 0 0 0 0 0 0.006199 0.006199 0 0.018597 0 3
