#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 9.25 - 9.75
#HM   Stats: 2.705880e+11 (median) + 1.320590e+11  / - 9.602900e+10
#SM   Stats: 2.781150e+09 (median) + 1.531830e+09  / - 7.664900e+08
#VMP  Stats: 1.536100e+02 (median) + 1.559000e+01  / - 1.368001e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.291307e-09 (median) + 1.304863e-09  / - 6.538695e-10
sfh 0.222685 1.31151 1.802 0.88068 #avg: 1.83259; avg_err: 0.0101146; sd: 1.86391; counts: 33960
sfh 0.227748 1.35664 1.76178 0.881673 #avg: 1.8612; avg_err: 0.00996182; sd: 1.83576; counts: 33960
sfh 0.23281 1.38538 1.77082 0.866922 #avg: 1.90232; avg_err: 0.0100043; sd: 1.84359; counts: 33960
sfh 0.237873 1.42023 1.76548 0.855515 #avg: 1.93308; avg_err: 0.010051; sd: 1.85219; counts: 33960
sfh 0.242935 1.45112 1.76339 0.837249 #avg: 1.96712; avg_err: 0.0100105; sd: 1.84474; counts: 33960
sfh 0.247998 1.47647 1.7333 0.822468 #avg: 1.98902; avg_err: 0.0100521; sd: 1.85239; counts: 33960
sfh 0.25306 1.51196 1.72139 0.823601 #avg: 2.01099; avg_err: 0.00995671; sd: 1.83482; counts: 33960
sfh 0.258123 1.53454 1.69093 0.806614 #avg: 2.02777; avg_err: 0.00984387; sd: 1.81403; counts: 33960
sfh 0.263185 1.55069 1.66401 0.803419 #avg: 2.03363; avg_err: 0.00975983; sd: 1.79854; counts: 33960
sfh 0.268248 1.56674 1.62659 0.788411 #avg: 2.04597; avg_err: 0.00966788; sd: 1.78159; counts: 33960
sfh 0.27331 1.58012 1.62217 0.783387 #avg: 2.04547; avg_err: 0.00945302; sd: 1.742; counts: 33960
sfh 0.278373 1.59119 1.63507 0.787973 #avg: 2.05708; avg_err: 0.00940567; sd: 1.73327; counts: 33960
sfh 0.283435 1.57944 1.59827 0.763935 #avg: 2.04902; avg_err: 0.00942047; sd: 1.736; counts: 33960
sfh 0.288498 1.5888 1.6027 0.761202 #avg: 2.05806; avg_err: 0.00944681; sd: 1.74086; counts: 33960
sfh 0.29356 1.60063 1.59085 0.769332 #avg: 2.05998; avg_err: 0.00930244; sd: 1.71425; counts: 33960
sfh 0.298623 1.62001 1.59624 0.779151 #avg: 2.07981; avg_err: 0.00950356; sd: 1.75131; counts: 33960
sfh 0.303685 1.62922 1.58053 0.779921 #avg: 2.08773; avg_err: 0.00940507; sd: 1.73316; counts: 33960
