#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
44.633 0.00020145 0.000201585 5.22357e-06 0 0 0 0.000195756 1.59582e-06 0 0 0 7396369
62.4121 0.000476662 0.000477402 1.33146e-05 0 0 0 0.000568357 4.1373e-06 0 0 0 2700028
78.0779 0.000825979 0.000826827 2.64959e-05 0 0 0 0.00114633 8.46289e-06 0 0 0 1179207
98.5727 0.00190673 0.00191448 6.10958e-05 0 0 0 0.00206577 1.83626e-05 0 0 0 516067
124.132 0.00528791 0.00531652 0.000147798 0 0 0 0.00400504 4.23308e-05 0 0 0 244709
156.186 0.0117023 0.0118325 0.000322129 0 0 0 0.00773295 9.5963e-05 0 0 0 115191
196.15 0.0228576 0.0231521 0.00067505 0 0 0 0.0152655 0.000218313 0 0.0187877 0 50924
246.063 0.0356832 0.0360933 0.00135123 0 0 0 0.0263868 0.000465319 0 0.0490719 0 19505
308.571 0.0445697 0.045765 0.00280482 0 0 0 0.0414227 0.00108217 0 0.0961008 0 5856
387.166 0.0474106 0.0474106 0.00574157 0 0 0 0.0598729 0.00257897 0.0125161 0.12543 0.0125161 1371
488.329 0.0588235 0.0588235 0.0138648 0 0 0 0.103345 0.00694819 0.0611865 0.167358 0.0611865 289
619.515 0.0327869 0.0327869 0.0229898 0 0 0 0.135165 0.0166183 0.111909 0.161361 0.0999871 61
764.693 0 0 0 0 0 0 0.13823 0.0498858 0.105605 0.206468 0.0934821 7
990.61 0 0 0 0 0 0 0.0849517 0.0849517 0.0849517 0 0 1
