#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 9.75 - 10.25
#HM   Stats: 6.297060e+11 (median) + 3.001470e+11  / - 1.942650e+11
#SM   Stats: 9.151870e+09 (median) + 4.939031e+09  / - 2.677170e+09
#VMP  Stats: 1.857600e+02 (median) + 2.345001e+01  / - 1.767999e+01
#ICL  Stats: 6.397690e+07 (median) + 1.954911e+08  / - 5.302450e+07
#SSFR Stats: 2.024182e-09 (median) + 3.052361e-09  / - 1.299427e-09
sfh 0.222685 2.70366 5.10779 2.05895 #avg: 4.48007; avg_err: 0.0224804; sd: 5.77668; counts: 66032
sfh 0.227748 2.89495 5.22785 2.17142 #avg: 4.67514; avg_err: 0.0228573; sd: 5.87351; counts: 66032
sfh 0.23281 3.09677 5.43719 2.30486 #avg: 4.89268; avg_err: 0.0231914; sd: 5.95939; counts: 66032
sfh 0.237873 3.2905 5.57265 2.40917 #avg: 5.11393; avg_err: 0.0236736; sd: 6.08329; counts: 66032
sfh 0.242935 3.49821 5.70468 2.52762 #avg: 5.34137; avg_err: 0.0241888; sd: 6.21566; counts: 66032
sfh 0.247998 3.67755 5.82636 2.60405 #avg: 5.53335; avg_err: 0.0246639; sd: 6.33777; counts: 66032
sfh 0.25306 3.90196 5.90556 2.72031 #avg: 5.75682; avg_err: 0.0249982; sd: 6.42366; counts: 66032
sfh 0.258123 4.10366 6.03234 2.81583 #avg: 5.95623; avg_err: 0.025037; sd: 6.43364; counts: 66032
sfh 0.263185 4.30905 6.16855 2.90773 #avg: 6.1792; avg_err: 0.0255457; sd: 6.56436; counts: 66032
sfh 0.268248 4.53672 6.31538 2.9812 #avg: 6.42512; avg_err: 0.0259043; sd: 6.65649; counts: 66032
sfh 0.27331 4.7636 6.5023 3.06066 #avg: 6.67072; avg_err: 0.0263735; sd: 6.77706; counts: 66032
sfh 0.278373 4.99076 6.73024 3.1347 #avg: 6.97037; avg_err: 0.027042; sd: 6.94884; counts: 66032
sfh 0.283435 5.24668 6.98512 3.23582 #avg: 7.26826; avg_err: 0.0277747; sd: 7.13712; counts: 66032
sfh 0.288498 5.56328 7.14102 3.3799 #avg: 7.57134; avg_err: 0.028397; sd: 7.29704; counts: 66032
sfh 0.29356 5.88049 7.20741 3.50111 #avg: 7.86573; avg_err: 0.0285098; sd: 7.32603; counts: 66032
sfh 0.298623 6.21006 7.44994 3.62381 #avg: 8.20655; avg_err: 0.0289228; sd: 7.43216; counts: 66032
sfh 0.303685 6.58359 7.69681 3.78595 #avg: 8.57913; avg_err: 0.0293124; sd: 7.53226; counts: 66032
sfh 0.308748 7.03315 8.01435 4.03499 #avg: 9.02795; avg_err: 0.0302053; sd: 7.7617; counts: 66032
sfh 0.31381 7.44985 8.71575 4.36858 #avg: 9.56261; avg_err: 0.0319238; sd: 8.20331; counts: 66032
sfh 0.318873 7.8653 9.7178 4.71184 #avg: 10.2601; avg_err: 0.0350289; sd: 9.0012; counts: 66032
sfh 0.323935 8.2457 11.0425 5.09214 #avg: 11.1244; avg_err: 0.0399824; sd: 10.2741; counts: 66032
sfh 0.328997 8.47102 12.614 5.35213 #avg: 12.1915; avg_err: 0.0484045; sd: 12.4383; counts: 66032
sfh 0.33406 8.70449 14.0302 5.63519 #avg: 13.4653; avg_err: 0.0613402; sd: 15.7623; counts: 66032
iclh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 66032
iclh 0.060123 0 0 0 #avg: 0.00019868; avg_err: 0.00011768; sd: 0.0302395; counts: 66032
iclh 0.062373 0 0 0 #avg: 0.00035864; avg_err: 0.000165172; sd: 0.0424434; counts: 66032
iclh 0.064623 0 0 0 #avg: 0.000864888; avg_err: 0.000255176; sd: 0.0655713; counts: 66032
iclh 0.066873 0 0 0 #avg: 0.00138688; avg_err: 0.000303079; sd: 0.0778808; counts: 66032
iclh 0.069123 0 0 0 #avg: 0.00218173; avg_err: 0.000341177; sd: 0.0876705; counts: 66032
iclh 0.071373 0 0 0 #avg: 0.00338575; avg_err: 0.000334639; sd: 0.0859904; counts: 66032
iclh 0.073623 0 0 0 #avg: 0.00570167; avg_err: 0.000542047; sd: 0.139287; counts: 66032
iclh 0.075873 0 0 0 #avg: 0.00853353; avg_err: 0.000600917; sd: 0.154415; counts: 66032
iclh 0.078123 0 0 0 #avg: 0.0127269; avg_err: 0.000681848; sd: 0.175211; counts: 66032
iclh 0.080373 0 0 0 #avg: 0.017306; avg_err: 0.000694506; sd: 0.178464; counts: 66032
iclh 0.082623 0 0 0 #avg: 0.0214526; avg_err: 0.000701951; sd: 0.180377; counts: 66032
iclh 0.085998 0 0.00682238 0 #avg: 0.0332907; avg_err: 0.00093685; sd: 0.240738; counts: 66032
iclh 0.089373 0 0.0250951 0 #avg: 0.0433014; avg_err: 0.000895821; sd: 0.230195; counts: 66032
iclh 0.092748 0 0.0529989 0 #avg: 0.05434; avg_err: 0.00108837; sd: 0.279674; counts: 66032
iclh 0.096123 0 0.0821257 0 #avg: 0.0666996; avg_err: 0.00119976; sd: 0.308296; counts: 66032
iclh 0.099498 0.00166679 0.110308 0.00166679 #avg: 0.0793634; avg_err: 0.00132847; sd: 0.341371; counts: 66032
iclh 0.102873 0.00732975 0.130044 0.00732975 #avg: 0.0915376; avg_err: 0.00132433; sd: 0.340306; counts: 66032
iclh 0.106248 0.0154566 0.143644 0.0154566 #avg: 0.102952; avg_err: 0.00143445; sd: 0.368602; counts: 66032
iclh 0.109623 0.023373 0.154283 0.023373 #avg: 0.114395; avg_err: 0.00154125; sd: 0.396047; counts: 66032
iclh 0.112998 0.029831 0.160693 0.029831 #avg: 0.123166; avg_err: 0.00153792; sd: 0.395193; counts: 66032
iclh 0.116373 0.0345742 0.164491 0.0345742 #avg: 0.131178; avg_err: 0.00166857; sd: 0.428765; counts: 66032
iclh 0.119748 0.0384966 0.169121 0.0384966 #avg: 0.140167; avg_err: 0.00196909; sd: 0.505987; counts: 66032
iclh 0.123123 0.0416167 0.170908 0.0411371 #avg: 0.147186; avg_err: 0.00233745; sd: 0.600643; counts: 66032
iclh 0.126498 0.0452083 0.175083 0.0439136 #avg: 0.153783; avg_err: 0.00249425; sd: 0.640934; counts: 66032
iclh 0.129873 0.0477305 0.17937 0.045623 #avg: 0.16184; avg_err: 0.00310641; sd: 0.798239; counts: 66032
iclh 0.133248 0.0502174 0.180764 0.0472896 #avg: 0.167971; avg_err: 0.0044744; sd: 1.14976; counts: 66032
iclh 0.136623 0.0517782 0.18429 0.0482249 #avg: 0.171402; avg_err: 0.00389831; sd: 1.00173; counts: 66032
iclh 0.141685 0.054229 0.184863 0.0499011 #avg: 0.175667; avg_err: 0.00335683; sd: 0.862589; counts: 66032
iclh 0.146748 0.0558245 0.185853 0.0508565 #avg: 0.178389; avg_err: 0.00320567; sd: 0.823745; counts: 66032
iclh 0.15181 0.0567076 0.187272 0.0512869 #avg: 0.179652; avg_err: 0.00301378; sd: 0.774436; counts: 66032
iclh 0.156873 0.0566601 0.186532 0.0509866 #avg: 0.182756; avg_err: 0.00315386; sd: 0.810431; counts: 66032
