#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 8.25 - 8.75
#HM   Stats: 1.057350e+11 (median) + 5.132401e+10  / - 3.645560e+10
#SM   Stats: 2.882360e+08 (median) + 1.539640e+08  / - 8.381000e+07
#VMP  Stats: 1.063000e+02 (median) + 1.171000e+01  / - 1.007000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.335879e-09 (median) + 1.649072e-09  / - 6.753793e-10
sfh 0.217623 0.114188 0.164298 0.0756359 #avg: 0.165219; avg_err: 0.000251963; sd: 0.176825; counts: 492507
sfh 0.222685 0.118583 0.164498 0.0765147 #avg: 0.169058; avg_err: 0.00025103; sd: 0.17617; counts: 492507
sfh 0.227748 0.123408 0.165052 0.0775444 #avg: 0.173358; avg_err: 0.000249411; sd: 0.175033; counts: 492507
sfh 0.23281 0.127714 0.168261 0.0784917 #avg: 0.178358; avg_err: 0.000252187; sd: 0.176982; counts: 492507
sfh 0.237873 0.131261 0.168812 0.0785734 #avg: 0.182111; avg_err: 0.000253011; sd: 0.17756; counts: 492507
sfh 0.242935 0.134657 0.167662 0.0788582 #avg: 0.185104; avg_err: 0.000253174; sd: 0.177675; counts: 492507
sfh 0.247998 0.138351 0.169049 0.078688 #avg: 0.18934; avg_err: 0.000254614; sd: 0.178685; counts: 492507
sfh 0.25306 0.14135 0.168447 0.0783224 #avg: 0.192204; avg_err: 0.000254591; sd: 0.178669; counts: 492507
sfh 0.258123 0.145242 0.170373 0.0786881 #avg: 0.196555; avg_err: 0.000255813; sd: 0.179526; counts: 492507
sfh 0.263185 0.148314 0.169118 0.0787559 #avg: 0.199364; avg_err: 0.000255917; sd: 0.179599; counts: 492507
sfh 0.268248 0.151366 0.170189 0.0789631 #avg: 0.202859; avg_err: 0.000257555; sd: 0.180749; counts: 492507
sfh 0.27331 0.154512 0.171983 0.0790617 #avg: 0.206551; avg_err: 0.000258296; sd: 0.181269; counts: 492507
sfh 0.278373 0.157664 0.176134 0.0803069 #avg: 0.211009; avg_err: 0.000262528; sd: 0.184239; counts: 492507
sfh 0.283435 0.161878 0.178791 0.0809893 #avg: 0.215636; avg_err: 0.000263313; sd: 0.18479; counts: 492507
sfh 0.288498 0.165346 0.179684 0.0817446 #avg: 0.219744; avg_err: 0.000266656; sd: 0.187136; counts: 492507
sfh 0.29356 0.168498 0.181076 0.0823316 #avg: 0.223062; avg_err: 0.000267047; sd: 0.187411; counts: 492507
sfh 0.298623 0.172305 0.182661 0.083554 #avg: 0.226911; avg_err: 0.000268268; sd: 0.188267; counts: 492507
sfh 0.303685 0.175981 0.185575 0.0853836 #avg: 0.230642; avg_err: 0.000268646; sd: 0.188532; counts: 492507
sfh 0.308748 0.179283 0.188811 0.086873 #avg: 0.235121; avg_err: 0.000273524; sd: 0.191956; counts: 492507
sfh 0.31381 0.182279 0.195236 0.0890078 #avg: 0.240392; avg_err: 0.000283534; sd: 0.19898; counts: 492507
sfh 0.318873 0.184031 0.204792 0.0907658 #avg: 0.246574; avg_err: 0.000299031; sd: 0.209856; counts: 492507
sfh 0.323935 0.184751 0.217346 0.0926166 #avg: 0.254401; avg_err: 0.000325894; sd: 0.228709; counts: 492507
sfh 0.328997 0.184606 0.226086 0.0934664 #avg: 0.263722; avg_err: 0.000371923; sd: 0.261011; counts: 492507
sfh 0.33406 0.183884 0.231457 0.0938135 #avg: 0.275029; avg_err: 0.000449857; sd: 0.315704; counts: 492507
iclh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 492507
iclh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 492507
iclh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 492507
iclh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 492507
iclh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 492507
iclh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 492507
iclh 0.071373 0 0 0 #avg: 7.12682e-08; avg_err: 6.36312e-08; sd: 4.46556e-05; counts: 492507
iclh 0.073623 0 0 0 #avg: 3.52143e-07; avg_err: 1.80875e-07; sd: 0.000126936; counts: 492507
iclh 0.075873 0 0 0 #avg: 6.07616e-07; avg_err: 3.514e-07; sd: 0.000246608; counts: 492507
iclh 0.078123 0 0 0 #avg: 2.11093e-06; avg_err: 8.47494e-07; sd: 0.000594761; counts: 492507
iclh 0.080373 0 0 0 #avg: 4.55713e-06; avg_err: 1.8115e-06; sd: 0.00127129; counts: 492507
iclh 0.082623 0 0 0 #avg: 8.09776e-06; avg_err: 2.69484e-06; sd: 0.00189121; counts: 492507
iclh 0.085998 0 0 0 #avg: 1.67953e-05; avg_err: 4.77049e-06; sd: 0.00334787; counts: 492507
iclh 0.089373 0 0 0 #avg: 2.09815e-05; avg_err: 3.52325e-06; sd: 0.00247258; counts: 492507
iclh 0.092748 0 0 0 #avg: 2.76045e-05; avg_err: 3.02525e-06; sd: 0.00212308; counts: 492507
iclh 0.096123 0 0 0 #avg: 4.04866e-05; avg_err: 3.4705e-06; sd: 0.00243556; counts: 492507
iclh 0.099498 0 0 0 #avg: 5.79766e-05; avg_err: 4.13478e-06; sd: 0.00290174; counts: 492507
iclh 0.102873 0 0 0 #avg: 7.5816e-05; avg_err: 4.66908e-06; sd: 0.00327671; counts: 492507
iclh 0.106248 0 0 0 #avg: 9.77402e-05; avg_err: 4.88296e-06; sd: 0.0034268; counts: 492507
iclh 0.109623 0 0 0 #avg: 0.000121294; avg_err: 5.14787e-06; sd: 0.00361272; counts: 492507
iclh 0.112998 0 0 0 #avg: 0.00014581; avg_err: 6.07458e-06; sd: 0.00426307; counts: 492507
iclh 0.116373 0 0 0 #avg: 0.00016513; avg_err: 7.13335e-06; sd: 0.0050061; counts: 492507
iclh 0.119748 0 0 0 #avg: 0.000171461; avg_err: 6.17734e-06; sd: 0.00433518; counts: 492507
iclh 0.123123 0 0 0 #avg: 0.000182848; avg_err: 6.7209e-06; sd: 0.00471665; counts: 492507
iclh 0.126498 0 0 0 #avg: 0.000198051; avg_err: 7.23239e-06; sd: 0.00507561; counts: 492507
iclh 0.129873 0 0 0 #avg: 0.0002159; avg_err: 9.71623e-06; sd: 0.00681873; counts: 492507
iclh 0.133248 0 0 0 #avg: 0.000233523; avg_err: 1.18934e-05; sd: 0.00834663; counts: 492507
iclh 0.136623 0 0 0 #avg: 0.000243935; avg_err: 1.0427e-05; sd: 0.00731755; counts: 492507
iclh 0.141685 0 0 0 #avg: 0.000247288; avg_err: 8.50214e-06; sd: 0.0059667; counts: 492507
iclh 0.146748 0 0 0 #avg: 0.000248575; avg_err: 7.27367e-06; sd: 0.00510457; counts: 492507
iclh 0.15181 0 0 0 #avg: 0.000256678; avg_err: 7.15153e-06; sd: 0.00501886; counts: 492507
iclh 0.156873 0 0 0 #avg: 0.000262826; avg_err: 7.02534e-06; sd: 0.00493029; counts: 492507
iclh 0.161935 0 0 0 #avg: 0.000263742; avg_err: 6.69042e-06; sd: 0.00469525; counts: 492507
iclh 0.166998 0 0 0 #avg: 0.000276356; avg_err: 9.71526e-06; sd: 0.00681805; counts: 492507
iclh 0.17206 0 0 0 #avg: 0.000276151; avg_err: 1.81059e-05; sd: 0.0127065; counts: 492507
iclh 0.177123 0 0 0 #avg: 0.000259558; avg_err: 1.42013e-05; sd: 0.00996629; counts: 492507
iclh 0.182185 0 0 0 #avg: 0.000253884; avg_err: 2.07143e-05; sd: 0.014537; counts: 492507
iclh 0.187248 0 0 0 #avg: 0.000246044; avg_err: 1.93329e-05; sd: 0.0135676; counts: 492507
iclh 0.19231 0 0 0 #avg: 0.000229891; avg_err: 1.20842e-05; sd: 0.00848053; counts: 492507
iclh 0.197373 0 0 0 #avg: 0.000214553; avg_err: 8.68924e-06; sd: 0.006098; counts: 492507
iclh 0.202435 0 0 0 #avg: 0.000205061; avg_err: 1.09807e-05; sd: 0.00770614; counts: 492507
iclh 0.207498 0 0 0 #avg: 0.000206202; avg_err: 1.35102e-05; sd: 0.00948133; counts: 492507
iclh 0.21256 0 0 0 #avg: 0.000202755; avg_err: 1.30319e-05; sd: 0.0091456; counts: 492507
iclh 0.217623 0 0 0 #avg: 0.00018276; avg_err: 1.06096e-05; sd: 0.00744568; counts: 492507
