#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 12.25 - 12.75
#HM   Stats: 2.557350e+12 (median) + 1.358830e+12  / - 5.955900e+11
#SM   Stats: 7.644820e+10 (median) + 5.425080e+10  / - 4.331820e+10
#VMP  Stats: 2.193800e+02 (median) + 3.309999e+01  / - 2.434001e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.998284e-11 (median) + 5.919830e-11  / - 1.739844e-11
sfh 0.055623 0 0 0 #avg: 2.03096e-05; avg_err: 2.03096e-05; sd: 0.00106097; counts: 2730
sfh 0.060123 0 0 0 #avg: 0.00205616; avg_err: 0.00102959; sd: 0.0537855; counts: 2730
sfh 0.062373 0 0 0 #avg: 0.00829866; avg_err: 0.00339426; sd: 0.177316; counts: 2730
sfh 0.064623 0 0 0 #avg: 0.0136525; avg_err: 0.00525089; sd: 0.274305; counts: 2730
sfh 0.066873 0 0 0 #avg: 0.0165283; avg_err: 0.00489828; sd: 0.255885; counts: 2730
sfh 0.069123 0 0 0 #avg: 0.0261251; avg_err: 0.00765262; sd: 0.399771; counts: 2730
sfh 0.071373 0 0 0 #avg: 0.0441374; avg_err: 0.0123731; sd: 0.64637; counts: 2730
sfh 0.073623 0 0 0 #avg: 0.0843723; avg_err: 0.0361206; sd: 1.88693; counts: 2730
sfh 0.075873 0 0 0 #avg: 0.080231; avg_err: 0.0125418; sd: 0.655184; counts: 2730
sfh 0.078123 0 0.0155895 0 #avg: 0.10428; avg_err: 0.0138698; sd: 0.724554; counts: 2730
sfh 0.080373 0 0.0532944 0 #avg: 0.124102; avg_err: 0.0119001; sd: 0.62166; counts: 2730
sfh 0.082623 0 0.115453 0 #avg: 0.145096; avg_err: 0.01399; sd: 0.730837; counts: 2730
sfh 0.085998 0 0.224329 0 #avg: 0.227645; avg_err: 0.0249972; sd: 1.30585; counts: 2730
sfh 0.089373 0.000950415 0.309097 0.000950415 #avg: 0.276323; avg_err: 0.0329511; sd: 1.72136; counts: 2730
sfh 0.092748 0.0154777 0.374672 0.0154777 #avg: 0.320894; avg_err: 0.0319678; sd: 1.66999; counts: 2730
sfh 0.096123 0.0390163 0.443616 0.0390163 #avg: 0.388293; avg_err: 0.0310006; sd: 1.61947; counts: 2730
sfh 0.099498 0.0755044 0.518456 0.0755044 #avg: 0.455493; avg_err: 0.0336964; sd: 1.76029; counts: 2730
sfh 0.102873 0.102774 0.598013 0.102774 #avg: 0.549806; avg_err: 0.0426653; sd: 2.22883; counts: 2730
sfh 0.106248 0.131317 0.689905 0.131317 #avg: 0.666408; avg_err: 0.0552581; sd: 2.88667; counts: 2730
sfh 0.109623 0.16767 0.769992 0.164678 #avg: 0.749917; avg_err: 0.0522366; sd: 2.72883; counts: 2730
sfh 0.112998 0.194494 0.917316 0.185442 #avg: 0.859475; avg_err: 0.0666474; sd: 3.48165; counts: 2730
sfh 0.116373 0.218175 1.05627 0.20295 #avg: 0.931773; avg_err: 0.0626636; sd: 3.27354; counts: 2730
sfh 0.119748 0.2496 1.21235 0.229402 #avg: 1.08778; avg_err: 0.0931302; sd: 4.8651; counts: 2730
sfh 0.123123 0.277952 1.31968 0.251406 #avg: 1.22622; avg_err: 0.125628; sd: 6.56278; counts: 2730
sfh 0.126498 0.31079 1.41691 0.274406 #avg: 1.2942; avg_err: 0.0929436; sd: 4.85536; counts: 2730
sfh 0.129873 0.35081 1.56209 0.30802 #avg: 1.37667; avg_err: 0.0866054; sd: 4.52425; counts: 2730
sfh 0.133248 0.395397 1.66595 0.346827 #avg: 1.46008; avg_err: 0.0877677; sd: 4.58497; counts: 2730
sfh 0.136623 0.442253 1.86055 0.386302 #avg: 1.57104; avg_err: 0.0858767; sd: 4.48619; counts: 2730
sfh 0.141685 0.506092 2.0748 0.441976 #avg: 1.68035; avg_err: 0.0768999; sd: 4.01724; counts: 2730
sfh 0.146748 0.591125 2.14184 0.509623 #avg: 1.9336; avg_err: 0.105237; sd: 5.49755; counts: 2730
sfh 0.15181 0.6859 2.47983 0.596063 #avg: 2.18058; avg_err: 0.1029; sd: 5.37546; counts: 2730
sfh 0.156873 0.75821 2.86436 0.651862 #avg: 2.4947; avg_err: 0.120392; sd: 6.28927; counts: 2730
sfh 0.161935 0.851525 3.19681 0.731426 #avg: 2.79286; avg_err: 0.130356; sd: 6.80978; counts: 2730
sfh 0.166998 0.931792 3.62504 0.794631 #avg: 3.08373; avg_err: 0.136988; sd: 7.15622; counts: 2730
sfh 0.17206 1.05325 3.88613 0.907732 #avg: 3.37392; avg_err: 0.168651; sd: 8.81028; counts: 2730
sfh 0.177123 1.15615 4.2712 0.998441 #avg: 3.60136; avg_err: 0.166977; sd: 8.72283; counts: 2730
sfh 0.182185 1.24269 4.83177 1.06403 #avg: 3.93118; avg_err: 0.165759; sd: 8.65924; counts: 2730
sfh 0.187248 1.36621 5.31345 1.16862 #avg: 4.3711; avg_err: 0.196375; sd: 10.2586; counts: 2730
sfh 0.19231 1.49813 5.62333 1.27624 #avg: 4.79578; avg_err: 0.250472; sd: 13.0846; counts: 2730
