#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.11667 - 2.28333
#HM   Stats: 7.335290e+11 (median) + 5.289711e+11  / - 3.117640e+11
#SM   Stats: 2.104680e+10 (median) + 2.589620e+10  / - 1.158929e+10
#VMP  Stats: 1.521100e+02 (median) + 2.373000e+01  / - 1.564000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.697172e-12 (median) + 3.008625e-12  / - 1.088269e-12
sfh 0.055623 0 0 0 #avg: 2.75457e-05; avg_err: 1.64223e-05; sd: 0.00471294; counts: 82361
sfh 0.060123 0 0 0 #avg: 0.000332564; avg_err: 0.000157225; sd: 0.0451211; counts: 82361
sfh 0.062373 0 0 0 #avg: 0.000764011; avg_err: 0.000307834; sd: 0.0883435; counts: 82361
sfh 0.064623 0 0 0 #avg: 0.00102285; avg_err: 0.000200209; sd: 0.057457; counts: 82361
sfh 0.066873 0 0 0 #avg: 0.00230898; avg_err: 0.000478037; sd: 0.137189; counts: 82361
sfh 0.069123 0 0 0 #avg: 0.00370459; avg_err: 0.000429628; sd: 0.123296; counts: 82361
sfh 0.071373 0 0 0 #avg: 0.00664946; avg_err: 0.000632791; sd: 0.181601; counts: 82361
sfh 0.073623 0 0 0 #avg: 0.00955693; avg_err: 0.00068564; sd: 0.196768; counts: 82361
sfh 0.075873 0 0 0 #avg: 0.0136254; avg_err: 0.000820378; sd: 0.235436; counts: 82361
sfh 0.078123 0 0 0 #avg: 0.0188303; avg_err: 0.000917912; sd: 0.263426; counts: 82361
sfh 0.080373 0 0 0 #avg: 0.0236518; avg_err: 0.000890976; sd: 0.255696; counts: 82361
sfh 0.082623 0 0 0 #avg: 0.0279567; avg_err: 0.000811374; sd: 0.232852; counts: 82361
sfh 0.085998 0 0.0042139 0 #avg: 0.0433335; avg_err: 0.00122294; sd: 0.350964; counts: 82361
sfh 0.089373 0 0.0259748 0 #avg: 0.058326; avg_err: 0.00177487; sd: 0.50936; counts: 82361
sfh 0.092748 0 0.0597719 0 #avg: 0.0726184; avg_err: 0.0014253; sd: 0.40904; counts: 82361
sfh 0.096123 0 0.0964966 0 #avg: 0.0890864; avg_err: 0.0014905; sd: 0.42775; counts: 82361
sfh 0.099498 0.000684426 0.131511 0.000684426 #avg: 0.105276; avg_err: 0.00183589; sd: 0.526872; counts: 82361
sfh 0.102873 0.00696534 0.154841 0.00696534 #avg: 0.121944; avg_err: 0.00218926; sd: 0.628282; counts: 82361
sfh 0.106248 0.0159689 0.173374 0.0159689 #avg: 0.13945; avg_err: 0.0023163; sd: 0.664743; counts: 82361
sfh 0.109623 0.0254659 0.1908 0.0254659 #avg: 0.156824; avg_err: 0.00227971; sd: 0.654241; counts: 82361
sfh 0.112998 0.0344212 0.20799 0.0344212 #avg: 0.174065; avg_err: 0.0021355; sd: 0.612854; counts: 82361
sfh 0.116373 0.0421808 0.225534 0.0421808 #avg: 0.193577; avg_err: 0.00231911; sd: 0.665547; counts: 82361
sfh 0.119748 0.0504613 0.245484 0.0493651 #avg: 0.21487; avg_err: 0.00270425; sd: 0.776078; counts: 82361
sfh 0.123123 0.0586249 0.267783 0.05566 #avg: 0.23508; avg_err: 0.00328482; sd: 0.942691; counts: 82361
sfh 0.126498 0.0679952 0.286849 0.0629541 #avg: 0.255098; avg_err: 0.003152; sd: 0.904574; counts: 82361
sfh 0.129873 0.0782116 0.316352 0.0709001 #avg: 0.278057; avg_err: 0.00310939; sd: 0.892345; counts: 82361
sfh 0.133248 0.0890329 0.341432 0.0790555 #avg: 0.304897; avg_err: 0.00354809; sd: 1.01824; counts: 82361
sfh 0.136623 0.0989292 0.376002 0.0861266 #avg: 0.332982; avg_err: 0.00384228; sd: 1.10267; counts: 82361
sfh 0.141685 0.115239 0.423356 0.0977322 #avg: 0.371117; avg_err: 0.00401784; sd: 1.15306; counts: 82361
sfh 0.146748 0.133727 0.476105 0.11146 #avg: 0.410288; avg_err: 0.00410044; sd: 1.17676; counts: 82361
sfh 0.15181 0.15341 0.520987 0.125937 #avg: 0.453377; avg_err: 0.00474632; sd: 1.36212; counts: 82361
sfh 0.156873 0.171677 0.565609 0.139085 #avg: 0.500482; avg_err: 0.00530051; sd: 1.52116; counts: 82361
sfh 0.161935 0.193185 0.620297 0.155565 #avg: 0.548579; avg_err: 0.00585875; sd: 1.68137; counts: 82361
sfh 0.166998 0.214853 0.68786 0.171146 #avg: 0.596336; avg_err: 0.00617897; sd: 1.77327; counts: 82361
sfh 0.17206 0.234111 0.737754 0.185724 #avg: 0.648801; avg_err: 0.00765764; sd: 2.19762; counts: 82361
sfh 0.177123 0.256445 0.791545 0.202404 #avg: 0.698271; avg_err: 0.00803413; sd: 2.30567; counts: 82361
sfh 0.182185 0.282747 0.848113 0.221704 #avg: 0.756795; avg_err: 0.0114753; sd: 3.29324; counts: 82361
sfh 0.187248 0.302552 0.904728 0.235118 #avg: 0.807977; avg_err: 0.0127357; sd: 3.65494; counts: 82361
sfh 0.19231 0.326279 0.949931 0.252709 #avg: 0.853416; avg_err: 0.0105699; sd: 3.03339; counts: 82361
sfh 0.197373 0.350725 1.01472 0.270611 #avg: 0.899519; avg_err: 0.0101368; sd: 2.90909; counts: 82361
sfh 0.202435 0.376741 1.07287 0.28911 #avg: 0.949653; avg_err: 0.0103415; sd: 2.96785; counts: 82361
sfh 0.207498 0.403523 1.14586 0.30847 #avg: 1.00018; avg_err: 0.0103065; sd: 2.9578; counts: 82361
sfh 0.21256 0.432968 1.19654 0.330157 #avg: 1.04809; avg_err: 0.010071; sd: 2.89022; counts: 82361
sfh 0.217623 0.460996 1.26012 0.350707 #avg: 1.09789; avg_err: 0.0100527; sd: 2.88496; counts: 82361
sfh 0.222685 0.490704 1.32177 0.372447 #avg: 1.15738; avg_err: 0.0108254; sd: 3.10673; counts: 82361
sfh 0.227748 0.522262 1.39156 0.395275 #avg: 1.21891; avg_err: 0.0118681; sd: 3.40595; counts: 82361
sfh 0.23281 0.548933 1.44153 0.414535 #avg: 1.27907; avg_err: 0.0124633; sd: 3.57676; counts: 82361
sfh 0.237873 0.581927 1.49964 0.43939 #avg: 1.3411; avg_err: 0.0128098; sd: 3.67621; counts: 82361
sfh 0.242935 0.613899 1.582 0.461903 #avg: 1.40389; avg_err: 0.0126838; sd: 3.64006; counts: 82361
sfh 0.247998 0.646136 1.63887 0.484392 #avg: 1.47583; avg_err: 0.0137117; sd: 3.93505; counts: 82361
sfh 0.25306 0.675864 1.72406 0.503416 #avg: 1.54343; avg_err: 0.0144976; sd: 4.16058; counts: 82361
sfh 0.258123 0.709437 1.79408 0.525069 #avg: 1.60502; avg_err: 0.0146366; sd: 4.20048; counts: 82361
sfh 0.263185 0.744149 1.86303 0.548859 #avg: 1.67152; avg_err: 0.0152403; sd: 4.37374; counts: 82361
sfh 0.268248 0.784175 1.94758 0.577364 #avg: 1.75678; avg_err: 0.016844; sd: 4.83397; counts: 82361
sfh 0.27331 0.816403 2.02533 0.597381 #avg: 1.8315; avg_err: 0.0186284; sd: 5.34606; counts: 82361
sfh 0.278373 0.854537 2.10991 0.625706 #avg: 1.91925; avg_err: 0.0191689; sd: 5.50118; counts: 82361
sfh 0.283435 0.885983 2.19784 0.641964 #avg: 1.99847; avg_err: 0.0206192; sd: 5.9174; counts: 82361
sfh 0.288498 0.922689 2.2981 0.664584 #avg: 2.09281; avg_err: 0.0216241; sd: 6.20579; counts: 82361
sfh 0.29356 0.968502 2.37432 0.698099 #avg: 2.19314; avg_err: 0.0230043; sd: 6.60187; counts: 82361
sfh 0.298623 1.00877 2.4567 0.724964 #avg: 2.29569; avg_err: 0.0238004; sd: 6.83033; counts: 82361
sfh 0.303685 1.05075 2.56605 0.755327 #avg: 2.39478; avg_err: 0.0236873; sd: 6.79789; counts: 82361
sfh 0.308748 1.09808 2.69689 0.786666 #avg: 2.50384; avg_err: 0.0243632; sd: 6.99185; counts: 82361
sfh 0.31381 1.13591 2.81851 0.809702 #avg: 2.62218; avg_err: 0.0237021; sd: 6.80214; counts: 82361
sfh 0.318873 1.17757 2.97149 0.835678 #avg: 2.74761; avg_err: 0.0238055; sd: 6.83181; counts: 82361
sfh 0.323935 1.23209 3.13206 0.874962 #avg: 2.88801; avg_err: 0.0244336; sd: 7.01205; counts: 82361
sfh 0.328997 1.28239 3.31679 0.910028 #avg: 3.0352; avg_err: 0.0252785; sd: 7.25453; counts: 82361
sfh 0.33406 1.33736 3.48206 0.949508 #avg: 3.18138; avg_err: 0.0255862; sd: 7.34283; counts: 82361
sfh 0.339122 1.39295 3.68554 0.98798 #avg: 3.34116; avg_err: 0.0263508; sd: 7.56228; counts: 82361
sfh 0.344185 1.45025 3.97116 1.02936 #avg: 3.53329; avg_err: 0.0273987; sd: 7.86299; counts: 82361
sfh 0.349247 1.51596 4.20773 1.07679 #avg: 3.73988; avg_err: 0.0289994; sd: 8.32239; counts: 82361
sfh 0.35431 1.57512 4.46769 1.12049 #avg: 3.94287; avg_err: 0.0303489; sd: 8.70966; counts: 82361
sfh 0.359372 1.64706 4.78166 1.17291 #avg: 4.15806; avg_err: 0.0315426; sd: 9.05224; counts: 82361
sfh 0.364435 1.72035 5.10138 1.22603 #avg: 4.39124; avg_err: 0.0327479; sd: 9.39813; counts: 82361
sfh 0.369497 1.80005 5.46821 1.28486 #avg: 4.64438; avg_err: 0.0337173; sd: 9.67635; counts: 82361
sfh 0.37456 1.87483 5.86265 1.33864 #avg: 4.90258; avg_err: 0.0352697; sd: 10.1218; counts: 82361
sfh 0.379622 1.97011 6.31924 1.4121 #avg: 5.1905; avg_err: 0.0376162; sd: 10.7953; counts: 82361
sfh 0.384685 2.07724 6.73282 1.49669 #avg: 5.46377; avg_err: 0.0384368; sd: 11.0308; counts: 82361
sfh 0.389747 2.18566 7.19405 1.57989 #avg: 5.76223; avg_err: 0.0402981; sd: 11.5649; counts: 82361
sfh 0.39481 2.30866 7.55098 1.67808 #avg: 6.0601; avg_err: 0.0424904; sd: 12.1941; counts: 82361
sfh 0.399872 2.41844 8.08406 1.76347 #avg: 6.39202; avg_err: 0.0450397; sd: 12.9257; counts: 82361
sfh 0.404935 2.55793 8.54377 1.87345 #avg: 6.7126; avg_err: 0.0461169; sd: 13.2348; counts: 82361
sfh 0.409997 2.6997 9.0091 1.98568 #avg: 7.00678; avg_err: 0.0473006; sd: 13.5745; counts: 82361
sfh 0.41506 2.85329 9.38681 2.10363 #avg: 7.27912; avg_err: 0.0479672; sd: 13.7658; counts: 82361
sfh 0.420122 2.99988 9.73652 2.21771 #avg: 7.56945; avg_err: 0.0493027; sd: 14.1491; counts: 82361
sfh 0.425185 3.16117 10.1168 2.34466 #avg: 7.84485; avg_err: 0.0499448; sd: 14.3334; counts: 82361
sfh 0.430247 3.32719 10.5738 2.47015 #avg: 8.15554; avg_err: 0.0510715; sd: 14.6567; counts: 82361
sfh 0.43531 3.49515 11.0282 2.59558 #avg: 8.40971; avg_err: 0.0510727; sd: 14.6571; counts: 82361
sfh 0.440372 3.66706 11.3839 2.72624 #avg: 8.66539; avg_err: 0.0513163; sd: 14.727; counts: 82361
sfh 0.445435 3.84698 11.7904 2.86211 #avg: 8.90623; avg_err: 0.051488; sd: 14.7762; counts: 82361
sfh 0.450497 4.03449 12.0139 3.00919 #avg: 9.12189; avg_err: 0.0516118; sd: 14.8118; counts: 82361
sfh 0.45556 4.20107 12.2154 3.13082 #avg: 9.33088; avg_err: 0.0520043; sd: 14.9244; counts: 82361
sfh 0.460622 4.3839 12.4047 3.26608 #avg: 9.50223; avg_err: 0.0519491; sd: 14.9086; counts: 82361
sfh 0.465685 4.52979 12.4984 3.36987 #avg: 9.64196; avg_err: 0.0517259; sd: 14.8445; counts: 82361
sfh 0.470747 4.70015 12.6159 3.48942 #avg: 9.78823; avg_err: 0.0517074; sd: 14.8392; counts: 82361
sfh 0.47581 4.87302 12.659 3.61606 #avg: 9.92207; avg_err: 0.0520543; sd: 14.9388; counts: 82361
sfh 0.480872 5.00097 12.7267 3.69036 #avg: 10.0175; avg_err: 0.0517651; sd: 14.8558; counts: 82361
sfh 0.485935 5.1344 12.6479 3.78033 #avg: 10.0881; avg_err: 0.0514179; sd: 14.7561; counts: 82361
sfh 0.490997 5.26752 12.6641 3.8681 #avg: 10.1688; avg_err: 0.0512256; sd: 14.7009; counts: 82361
sfh 0.49606 5.3782 12.6272 3.94145 #avg: 10.1705; avg_err: 0.0503765; sd: 14.4573; counts: 82361
sfh 0.501122 5.47183 12.5343 3.99477 #avg: 10.1861; avg_err: 0.049868; sd: 14.3113; counts: 82361
sfh 0.506185 5.56151 12.4824 4.04625 #avg: 10.1889; avg_err: 0.0490915; sd: 14.0885; counts: 82361
sfh 0.511247 5.62624 12.3088 4.08368 #avg: 10.1566; avg_err: 0.0482493; sd: 13.8468; counts: 82361
sfh 0.51631 5.6812 12.0847 4.10472 #avg: 10.0773; avg_err: 0.0471748; sd: 13.5384; counts: 82361
sfh 0.521372 5.73686 11.8201 4.14616 #avg: 9.97949; avg_err: 0.0460588; sd: 13.2182; counts: 82361
sfh 0.526435 5.75532 11.5903 4.15146 #avg: 9.87935; avg_err: 0.0450697; sd: 12.9343; counts: 82361
sfh 0.531497 5.78234 11.3191 4.17033 #avg: 9.75127; avg_err: 0.0438322; sd: 12.5791; counts: 82361
