#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 14.25 - 14.75
#HM   Stats: 3.011760e+14 (median) + 2.055890e+14  / - 1.198520e+14
#SM   Stats: 3.629570e+11 (median) + 3.100210e+11  / - 2.356420e+11
#VMP  Stats: 8.801600e+02 (median) + 2.521401e+02  / - 7.417999e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.617667e-11 (median) + 4.775797e-11  / - 5.742535e-12
sfh 0.102873 4.58484e-11 1.74349e-10 3.97807e-11 #avg: 7.80476e-11; avg_err: 3.40556e-11; sd: 7.61506e-11; counts: 6
sfh 0.106248 5.13598e-11 3.10907e-10 4.55269e-11 #avg: 1.18146e-10; avg_err: 5.69891e-11; sd: 1.27432e-10; counts: 6
sfh 0.109623 4.63105e-11 5.9168e-10 3.89743e-11 #avg: 1.48315e-10; avg_err: 1.00046e-10; sd: 2.2371e-10; counts: 6
sfh 0.112998 7.03758e-11 2.77659e-10 5.82486e-11 #avg: 9.88605e-11; avg_err: 5.13145e-11; sd: 1.14743e-10; counts: 6
sfh 0.116373 5.51037e-11 1.97652e-10 3.57993e-11 #avg: 7.95399e-11; avg_err: 3.56886e-11; sd: 7.98022e-11; counts: 6
sfh 0.119748 5.31805e-11 1.15689e-10 3.98897e-11 #avg: 6.34946e-11; avg_err: 2.29366e-11; sd: 5.12878e-11; counts: 6
sfh 0.123123 9.72597e-11 5.29458e-11 8.37048e-11 #avg: 7.98649e-11; avg_err: 2.17394e-11; sd: 4.86107e-11; counts: 6
sfh 0.126498 8.98917e-11 1.20339e-10 7.68451e-11 #avg: 9.15143e-11; avg_err: 3.01204e-11; sd: 6.73514e-11; counts: 6
sfh 0.129873 8.79826e-11 3.39938e-10 7.17454e-11 #avg: 1.3102e-10; avg_err: 6.27823e-11; sd: 1.40385e-10; counts: 6
sfh 0.133248 1.10841e-10 5.14152e-10 9.00475e-11 #avg: 1.72205e-10; avg_err: 9.31858e-11; sd: 2.0837e-10; counts: 6
sfh 0.136623 1.32399e-10 4.08301e-10 8.97173e-11 #avg: 1.65699e-10; avg_err: 7.70185e-11; sd: 1.72219e-10; counts: 6
sfh 0.141685 1.07922e-10 4.01731e-10 4.02418e-11 #avg: 1.65328e-10; avg_err: 7.03728e-11; sd: 1.57358e-10; counts: 6
sfh 0.146748 2.32239e-10 1.02184e-10 1.56615e-10 #avg: 1.77433e-10; avg_err: 4.62686e-11; sd: 1.0346e-10; counts: 6
sfh 0.15181 2.39084e-10 1.11819e-10 1.71648e-10 #avg: 1.79799e-10; avg_err: 4.96759e-11; sd: 1.11079e-10; counts: 6
sfh 0.156873 2.04734e-10 2.55064e-10 1.24053e-10 #avg: 1.95395e-10; avg_err: 5.87524e-11; sd: 1.31374e-10; counts: 6
sfh 0.161935 2.0648e-10 3.64804e-10 1.08287e-10 #avg: 2.57169e-10; avg_err: 7.79927e-11; sd: 1.74397e-10; counts: 6
sfh 0.166998 2.79871e-10 7.91484e-10 1.67865e-10 #avg: 3.99351e-10; avg_err: 1.56098e-10; sd: 3.49045e-10; counts: 6
sfh 0.17206 3.23723e-10 4.11339e-10 2.33263e-10 #avg: 3.91005e-10; avg_err: 1.13015e-10; sd: 2.5271e-10; counts: 6
sfh 0.177123 3.08414e-10 6.2571e-10 2.33303e-10 #avg: 4.45671e-10; avg_err: 1.41503e-10; sd: 3.16411e-10; counts: 6
sfh 0.182185 7.72833e-10 3.84709e-10 6.88196e-10 #avg: 5.94121e-10; avg_err: 1.74547e-10; sd: 3.90298e-10; counts: 6
sfh 0.187248 1.02987e-09 3.95816e-10 9.39618e-10 #avg: 7.73623e-10; avg_err: 2.3294e-10; sd: 5.2087e-10; counts: 6
sfh 0.19231 9.36326e-10 8.67241e-10 8.06483e-10 #avg: 8.38715e-10; avg_err: 2.73102e-10; sd: 6.10675e-10; counts: 6
