#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#vmpeak range: 2.78333 - 2.95
#HM   Stats: 1.102210e+14 (median) + 6.183801e+13  / - 3.289749e+13
#SM   Stats: 5.064020e+11 (median) + 2.971920e+11  / - 2.274620e+11
#VMP  Stats: 6.890800e+02 (median) + 1.054100e+02  / - 6.212000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.956609e-12 (median) + 3.419573e-12  / - 1.295340e-12
sfh 0.055623 0 0 0 #avg: 7.47224e-14; avg_err: 3.29273e-14; sd: 1.05932e-12; counts: 1036
sfh 0.060123 0 0 0 #avg: 5.16986e-13; avg_err: 1.51527e-13; sd: 4.87485e-12; counts: 1036
sfh 0.062373 0 3.5963e-13 0 #avg: 1.07041e-12; avg_err: 2.12978e-13; sd: 6.85181e-12; counts: 1036
sfh 0.064623 0 1.49483e-12 0 #avg: 2.4153e-12; avg_err: 4.09986e-13; sd: 1.31898e-11; counts: 1036
sfh 0.066873 1.72547e-14 3.42963e-12 1.72547e-14 #avg: 3.5474e-12; avg_err: 5.0899e-13; sd: 1.63749e-11; counts: 1036
sfh 0.069123 2.65282e-13 5.67542e-12 2.65282e-13 #avg: 5.19538e-12; avg_err: 7.54877e-13; sd: 2.42855e-11; counts: 1036
sfh 0.071373 8.70707e-13 8.08085e-12 8.70707e-13 #avg: 6.91212e-12; avg_err: 1.30818e-12; sd: 4.20859e-11; counts: 1036
sfh 0.073623 1.65414e-12 9.25109e-12 1.62698e-12 #avg: 1.0901e-11; avg_err: 3.25262e-12; sd: 1.04641e-10; counts: 1036
sfh 0.075873 2.54562e-12 1.22764e-11 2.36931e-12 #avg: 1.12495e-11; avg_err: 1.91004e-12; sd: 6.14486e-11; counts: 1036
sfh 0.078123 3.63146e-12 1.46279e-11 3.15654e-12 #avg: 1.28145e-11; avg_err: 1.1099e-12; sd: 3.57071e-11; counts: 1036
sfh 0.080373 5.04934e-12 1.86796e-11 4.13612e-12 #avg: 1.66748e-11; avg_err: 1.64725e-12; sd: 5.29944e-11; counts: 1036
