#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 13.25 - 13.75
#HM   Stats: 2.551470e+13 (median) + 1.313240e+13  / - 6.102899e+12
#SM   Stats: 1.750880e+11 (median) + 1.502970e+11  / - 1.015666e+11
#VMP  Stats: 5.253100e+02 (median) + 8.033002e+01  / - 4.904001e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.227054e-12 (median) + 3.116154e-12  / - 1.367905e-12
sfh 0.055623 0 0 0 #avg: 0.0101756; avg_err: 0.00371446; sd: 0.176701; counts: 2264
sfh 0.060123 0 0 0 #avg: 0.137476; avg_err: 0.0290038; sd: 1.37974; counts: 2264
sfh 0.062373 0 0 0 #avg: 0.327239; avg_err: 0.0589238; sd: 2.80307; counts: 2264
sfh 0.064623 0 0.105351 0 #avg: 0.651673; avg_err: 0.107212; sd: 5.10017; counts: 2264
sfh 0.066873 0 0.311286 0 #avg: 0.8884; avg_err: 0.119918; sd: 5.70464; counts: 2264
sfh 0.069123 0 0.794613 0 #avg: 1.32369; avg_err: 0.249162; sd: 11.8529; counts: 2264
sfh 0.071373 0.0115246 1.33101 0.0115246 #avg: 1.49496; avg_err: 0.198371; sd: 9.43672; counts: 2264
sfh 0.073623 0.0696397 2.02264 0.0696397 #avg: 2.09936; avg_err: 0.236835; sd: 11.2665; counts: 2264
sfh 0.075873 0.197011 2.79446 0.197011 #avg: 2.66337; avg_err: 0.257732; sd: 12.2606; counts: 2264
sfh 0.078123 0.376757 3.35854 0.376757 #avg: 3.35829; avg_err: 0.295604; sd: 14.0622; counts: 2264
sfh 0.080373 0.568235 4.24989 0.562173 #avg: 3.9349; avg_err: 0.321505; sd: 15.2943; counts: 2264
sfh 0.082623 0.811709 4.42039 0.781764 #avg: 3.82237; avg_err: 0.332525; sd: 15.8185; counts: 2264
sfh 0.085998 1.35974 6.13617 1.25334 #avg: 5.76791; avg_err: 0.535603; sd: 25.4792; counts: 2264
sfh 0.089373 1.82474 7.77534 1.62767 #avg: 6.90415; avg_err: 0.532396; sd: 25.3266; counts: 2264
sfh 0.092748 2.16923 9.90947 1.85681 #avg: 8.66243; avg_err: 0.660103; sd: 31.4018; counts: 2264
sfh 0.096123 2.8061 11.5309 2.34084 #avg: 10.5185; avg_err: 0.738456; sd: 35.1291; counts: 2264
sfh 0.099498 3.42837 13.7928 2.8219 #avg: 12.6049; avg_err: 0.823536; sd: 39.1764; counts: 2264
sfh 0.102873 4.23566 15.7702 3.48509 #avg: 14.8011; avg_err: 0.883157; sd: 42.0127; counts: 2264
sfh 0.106248 5.13134 19.1983 4.18781 #avg: 17.0712; avg_err: 0.932527; sd: 44.3612; counts: 2264
sfh 0.109623 6.20995 21.5685 4.97989 #avg: 20.093; avg_err: 1.06658; sd: 50.7382; counts: 2264
sfh 0.112998 7.65083 26.5624 6.17968 #avg: 23.4987; avg_err: 1.17709; sd: 55.9951; counts: 2264
sfh 0.116373 8.45005 30.1035 6.73153 #avg: 25.9263; avg_err: 1.23174; sd: 58.5951; counts: 2264
sfh 0.119748 9.88828 33.3471 7.90823 #avg: 29.3881; avg_err: 1.43888; sd: 68.4489; counts: 2264
sfh 0.123123 11.1218 37.466 8.81261 #avg: 33.145; avg_err: 1.6252; sd: 77.3126; counts: 2264
