#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
46.1244 0.00025202 0.000253722 1.47942e-05 0 0 0 0.000113971 2.34965e-06 0 0 0 1174512
62.4856 0.000504248 0.000504248 2.72597e-05 0 0 0 0.000283487 4.09509e-06 0 0 0 678238
79.4692 0.00128087 0.00128311 5.37563e-05 0 0 0 0.000717219 8.55744e-06 0 0 0 445011
98.4668 0.00360556 0.00363198 0.000117738 0 0 0 0.00146558 1.7771e-05 0 0 0 264869
123.9 0.0113761 0.0116151 0.000319687 0 0 0 0.00347749 5.03773e-05 0 0 0 117175
155.267 0.0387617 0.0413049 0.000991255 0 0 0 0.0117147 0.000187427 0 0.0123281 0 45612
192.952 0.107756 0.116256 0.00326826 0 0 0 0.0360185 0.000722584 0 0.0736933 0 11294
240.943 0.174703 0.199161 0.0121531 0 1 0 0.0824916 0.00309108 0.0300094 0.155409 0.0300094 1431
306.933 0.299492 0.340102 0.0394898 0 1 0 0.174527 0.0123719 0.131131 0.217327 0.131131 197
393.856 0.222222 0.222222 0.0571062 0 1 0 0.309498 0.0298721 0.292198 0.263297 0.232394 54
497.937 0.333333 0.380952 0.12866 0 1 0 0.364658 0.0476827 0.346224 0.26995 0.193255 21
630.359 0 0 0 0 0 0 0.471124 0.0918492 0.444123 0.228341 0.283078 5
