#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.45 - 2.61667
#HM   Stats: 4.785290e+12 (median) + 2.350000e+12  / - 1.147050e+12
#SM   Stats: 1.605940e+11 (median) + 1.154330e+11  / - 8.126960e+10
#VMP  Stats: 3.023500e+02 (median) + 4.784000e+01  / - 1.542001e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 9.235159e-11 (median) + 3.254162e-10  / - 7.300401e-11
sfh 0.055623 0 0 0 #avg: 0.00699206; avg_err: 0.00546897; sd: 0.180227; counts: 1087
sfh 0.060123 0 0 0 #avg: 0.0234792; avg_err: 0.0135285; sd: 0.445824; counts: 1087
sfh 0.062373 0 0 0 #avg: 0.0569161; avg_err: 0.0312995; sd: 1.03146; counts: 1087
sfh 0.064623 0 0 0 #avg: 0.0954031; avg_err: 0.0413214; sd: 1.36173; counts: 1087
sfh 0.066873 0 0 0 #avg: 0.202667; avg_err: 0.123845; sd: 4.08125; counts: 1087
sfh 0.069123 0 0 0 #avg: 0.18264; avg_err: 0.101699; sd: 3.35143; counts: 1087
sfh 0.071373 0 0 0 #avg: 0.142385; avg_err: 0.0421943; sd: 1.39049; counts: 1087
sfh 0.073623 0 0.0274234 0 #avg: 0.169237; avg_err: 0.0333056; sd: 1.09757; counts: 1087
sfh 0.075873 0 0.0827731 0 #avg: 0.271717; avg_err: 0.061736; sd: 2.03448; counts: 1087
sfh 0.078123 0 0.187832 0 #avg: 0.342048; avg_err: 0.0591683; sd: 1.94986; counts: 1087
sfh 0.080373 0 0.254435 0 #avg: 0.424602; avg_err: 0.0694752; sd: 2.28952; counts: 1087
sfh 0.082623 0 0.394867 0 #avg: 0.481105; avg_err: 0.0808669; sd: 2.66493; counts: 1087
sfh 0.085998 0.0300755 0.57915 0.0300755 #avg: 0.868997; avg_err: 0.163439; sd: 5.38606; counts: 1087
sfh 0.089373 0.0729356 0.868181 0.0729356 #avg: 0.862132; avg_err: 0.143546; sd: 4.7305; counts: 1087
sfh 0.092748 0.126668 0.936132 0.126668 #avg: 0.938532; avg_err: 0.111676; sd: 3.68022; counts: 1087
sfh 0.096123 0.190682 1.21063 0.189128 #avg: 1.19108; avg_err: 0.143433; sd: 4.72677; counts: 1087
sfh 0.099498 0.275223 1.32052 0.263572 #avg: 1.30412; avg_err: 0.139188; sd: 4.58687; counts: 1087
sfh 0.102873 0.370626 1.56375 0.347606 #avg: 1.48893; avg_err: 0.15143; sd: 4.9903; counts: 1087
sfh 0.106248 0.451076 1.72576 0.412189 #avg: 1.71735; avg_err: 0.155201; sd: 5.11457; counts: 1087
sfh 0.109623 0.508834 2.01529 0.447258 #avg: 1.89732; avg_err: 0.155286; sd: 5.11737; counts: 1087
sfh 0.112998 0.592608 2.46425 0.514697 #avg: 2.26716; avg_err: 0.21251; sd: 7.00318; counts: 1087
sfh 0.116373 0.635947 2.71161 0.529572 #avg: 2.88659; avg_err: 0.359014; sd: 11.8311; counts: 1087
sfh 0.119748 0.725537 2.94614 0.596618 #avg: 3.25558; avg_err: 0.433244; sd: 14.2773; counts: 1087
sfh 0.123123 0.872825 3.29946 0.716825 #avg: 3.74145; avg_err: 0.446767; sd: 14.723; counts: 1087
sfh 0.126498 0.954687 3.81843 0.76917 #avg: 4.3454; avg_err: 0.499997; sd: 16.4771; counts: 1087
sfh 0.129873 1.06263 4.3305 0.852448 #avg: 4.77304; avg_err: 0.527311; sd: 17.3773; counts: 1087
sfh 0.133248 1.19119 5.65865 0.953433 #avg: 5.33082; avg_err: 0.504174; sd: 16.6148; counts: 1087
sfh 0.136623 1.3682 6.31519 1.10497 #avg: 5.82374; avg_err: 0.520703; sd: 17.1595; counts: 1087
sfh 0.141685 1.69533 6.96373 1.40492 #avg: 6.73099; avg_err: 0.589246; sd: 19.4183; counts: 1087
sfh 0.146748 2.03781 8.63739 1.66438 #avg: 7.2613; avg_err: 0.551054; sd: 18.1597; counts: 1087
sfh 0.15181 2.41277 9.16173 1.97576 #avg: 7.88047; avg_err: 0.588744; sd: 19.4018; counts: 1087
sfh 0.156873 2.67961 9.98429 2.18832 #avg: 9.10142; avg_err: 0.744118; sd: 24.522; counts: 1087
sfh 0.161935 3.09737 12.6353 2.49693 #avg: 10.6294; avg_err: 0.802321; sd: 26.4401; counts: 1087
sfh 0.166998 3.53142 14.3385 2.85469 #avg: 12.3455; avg_err: 0.951241; sd: 31.3477; counts: 1087
sfh 0.17206 3.96377 16.0027 3.19492 #avg: 14.506; avg_err: 1.27317; sd: 41.9566; counts: 1087
sfh 0.177123 4.25459 18.0534 3.35691 #avg: 15.6587; avg_err: 1.28166; sd: 42.2365; counts: 1087
sfh 0.182185 4.80786 20.3827 3.85348 #avg: 15.8827; avg_err: 1.13311; sd: 37.3413; counts: 1087
sfh 0.187248 5.47696 20.9887 4.41213 #avg: 17.3108; avg_err: 1.16864; sd: 38.512; counts: 1087
sfh 0.19231 6.32468 22.4817 5.06211 #avg: 19.3187; avg_err: 1.26917; sd: 41.8248; counts: 1087
sfh 0.197373 6.80712 25.3384 5.47484 #avg: 21.1896; avg_err: 1.4092; sd: 46.4394; counts: 1087
sfh 0.202435 7.50668 26.99 5.98162 #avg: 24.2545; avg_err: 1.7712; sd: 58.3692; counts: 1087
sfh 0.207498 7.95757 32.6068 6.29294 #avg: 26.4934; avg_err: 1.71493; sd: 56.5147; counts: 1087
