#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 14.25 - 14.75
#HM   Stats: 2.177940e+14 (median) + 0.000000e+00  / - 0.000000e+00
#SM   Stats: 1.070280e+11 (median) + 0.000000e+00  / - 0.000000e+00
#VMP  Stats: 7.853000e+02 (median) + 0.000000e+00  / - 0.000000e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.122453e-11 (median) + 0.000000e+00  / - 0.000000e+00
sfh 0.263185 53.2221 0 0 #avg: 53.2221; avg_err: 53.2221; sd: 0; counts: 1
sfh 0.268248 89.0801 0 0 #avg: 89.0801; avg_err: 89.0801; sd: 0; counts: 1
sfh 0.27331 100.53 0 0 #avg: 100.53; avg_err: 100.53; sd: 0; counts: 1
sfh 0.278373 94.5903 0 0 #avg: 94.5903; avg_err: 94.5903; sd: 0; counts: 1
sfh 0.283435 73.7181 0 0 #avg: 73.7181; avg_err: 73.7181; sd: 0; counts: 1
sfh 0.288498 68.5823 0 0 #avg: 68.5823; avg_err: 68.5823; sd: 0; counts: 1
sfh 0.29356 86.5021 0 0 #avg: 86.5021; avg_err: 86.5021; sd: 0; counts: 1
sfh 0.298623 104.376 0 0 #avg: 104.376; avg_err: 104.376; sd: 0; counts: 1
sfh 0.303685 79.4951 0 0 #avg: 79.4951; avg_err: 79.4951; sd: 0; counts: 1
sfh 0.308748 58.806 0 0 #avg: 58.806; avg_err: 58.806; sd: 0; counts: 1
sfh 0.31381 46.882 0 0 #avg: 46.882; avg_err: 46.882; sd: 0; counts: 1
sfh 0.318873 40.6641 0 0 #avg: 40.6641; avg_err: 40.6641; sd: 0; counts: 1
sfh 0.323935 41.61 0 0 #avg: 41.61; avg_err: 41.61; sd: 0; counts: 1
sfh 0.328997 47.6483 0 0 #avg: 47.6483; avg_err: 47.6483; sd: 0; counts: 1
sfh 0.33406 60.4623 0 0 #avg: 60.4623; avg_err: 60.4623; sd: 0; counts: 1
sfh 0.339122 11.4925 0 0 #avg: 11.4925; avg_err: 11.4925; sd: 0; counts: 1
sfh 0.344185 12.8317 0 0 #avg: 12.8317; avg_err: 12.8317; sd: 0; counts: 1
sfh 0.349247 12.3071 0 0 #avg: 12.3071; avg_err: 12.3071; sd: 0; counts: 1
sfh 0.35431 13.7383 0 0 #avg: 13.7383; avg_err: 13.7383; sd: 0; counts: 1
sfh 0.359372 13.2251 0 0 #avg: 13.2251; avg_err: 13.2251; sd: 0; counts: 1
sfh 0.364435 13.061 0 0 #avg: 13.061; avg_err: 13.061; sd: 0; counts: 1
sfh 0.369497 10.8889 0 0 #avg: 10.8889; avg_err: 10.8889; sd: 0; counts: 1
sfh 0.37456 14.9694 0 0 #avg: 14.9694; avg_err: 14.9694; sd: 0; counts: 1
sfh 0.379622 13.7539 0 0 #avg: 13.7539; avg_err: 13.7539; sd: 0; counts: 1
sfh 0.384685 10.922 0 0 #avg: 10.922; avg_err: 10.922; sd: 0; counts: 1
sfh 0.389747 5.24825 0 0 #avg: 5.24825; avg_err: 5.24825; sd: 0; counts: 1
sfh 0.39481 5.52257 0 0 #avg: 5.52257; avg_err: 5.52257; sd: 0; counts: 1
sfh 0.399872 4.72488 0 0 #avg: 4.72488; avg_err: 4.72488; sd: 0; counts: 1
