#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#vmpeak range: 2.11667 - 2.28333
#HM   Stats: 2.405880e+11 (median) + 1.479410e+11  / - 8.382300e+10
#SM   Stats: 1.864320e+09 (median) + 2.937900e+09  / - 9.905380e+08
#VMP  Stats: 1.468200e+02 (median) + 2.220999e+01  / - 1.195001e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.353692e-09 (median) + 1.348647e-09  / - 6.674558e-10
sfh 0.055623 0 0 0 #avg: 3.57653e-15; avg_err: 2.34332e-15; sd: 6.62928e-13; counts: 80034
sfh 0.060123 0 0 0 #avg: 7.0381e-14; avg_err: 1.73071e-14; sd: 4.8962e-12; counts: 80034
sfh 0.062373 0 0 0 #avg: 3.18885e-13; avg_err: 7.21916e-14; sd: 2.04231e-11; counts: 80034
sfh 0.064623 0 0 0 #avg: 8.62564e-13; avg_err: 1.75907e-13; sd: 4.97642e-11; counts: 80034
sfh 0.066873 0 0 0 #avg: 1.61061e-12; avg_err: 2.33997e-13; sd: 6.6198e-11; counts: 80034
sfh 0.069123 0 0 0 #avg: 2.65645e-12; avg_err: 2.48347e-13; sd: 7.02575e-11; counts: 80034
sfh 0.071373 0 0 0 #avg: 4.4352e-12; avg_err: 3.61277e-13; sd: 1.02206e-10; counts: 80034
sfh 0.073623 0 0 0 #avg: 6.37583e-12; avg_err: 3.20694e-13; sd: 9.07247e-11; counts: 80034
sfh 0.075873 0 0 0 #avg: 9.93859e-12; avg_err: 5.42487e-13; sd: 1.5347e-10; counts: 80034
sfh 0.078123 0 0 0 #avg: 1.39802e-11; avg_err: 5.89165e-13; sd: 1.66675e-10; counts: 80034
sfh 0.080373 0 0 0 #avg: 1.80301e-11; avg_err: 5.91278e-13; sd: 1.67273e-10; counts: 80034
sfh 0.082623 0 1.17143e-12 0 #avg: 2.05753e-11; avg_err: 5.36037e-13; sd: 1.51646e-10; counts: 80034
sfh 0.085998 0 1.26753e-11 0 #avg: 3.02606e-11; avg_err: 6.35727e-13; sd: 1.79848e-10; counts: 80034
sfh 0.089373 0 3.0108e-11 0 #avg: 3.86126e-11; avg_err: 6.6323e-13; sd: 1.87629e-10; counts: 80034
sfh 0.092748 0 5.08015e-11 0 #avg: 4.73107e-11; avg_err: 7.22592e-13; sd: 2.04422e-10; counts: 80034
sfh 0.096123 0 7.34456e-11 0 #avg: 5.83544e-11; avg_err: 7.84153e-13; sd: 2.21838e-10; counts: 80034
sfh 0.099498 2.74946e-12 9.25867e-11 2.74946e-12 #avg: 6.86919e-11; avg_err: 8.49635e-13; sd: 2.40363e-10; counts: 80034
sfh 0.102873 7.54962e-12 1.0693e-10 7.54962e-12 #avg: 7.97461e-11; avg_err: 9.08738e-13; sd: 2.57083e-10; counts: 80034
sfh 0.106248 1.28886e-11 1.21433e-10 1.28886e-11 #avg: 9.1558e-11; avg_err: 1.01213e-12; sd: 2.86332e-10; counts: 80034
sfh 0.109623 1.85833e-11 1.38911e-10 1.85833e-11 #avg: 1.02975e-10; avg_err: 1.02711e-12; sd: 2.9057e-10; counts: 80034
sfh 0.112998 2.39057e-11 1.52857e-10 2.39057e-11 #avg: 1.14697e-10; avg_err: 1.08111e-12; sd: 3.05847e-10; counts: 80034
sfh 0.116373 2.91705e-11 1.68227e-10 2.91705e-11 #avg: 1.27253e-10; avg_err: 1.15272e-12; sd: 3.26107e-10; counts: 80034
sfh 0.119748 3.5117e-11 1.87814e-10 3.44324e-11 #avg: 1.4135e-10; avg_err: 1.20744e-12; sd: 3.41587e-10; counts: 80034
sfh 0.123123 4.18969e-11 2.07644e-10 4.01021e-11 #avg: 1.55765e-10; avg_err: 1.29232e-12; sd: 3.65599e-10; counts: 80034
sfh 0.126498 4.82854e-11 2.25979e-10 4.52511e-11 #avg: 1.69733e-10; avg_err: 1.35528e-12; sd: 3.83409e-10; counts: 80034
sfh 0.129873 5.57235e-11 2.47412e-10 5.13349e-11 #avg: 1.86176e-10; avg_err: 1.4421e-12; sd: 4.07971e-10; counts: 80034
sfh 0.133248 6.34101e-11 2.72151e-10 5.7588e-11 #avg: 2.0365e-10; avg_err: 1.524e-12; sd: 4.31142e-10; counts: 80034
sfh 0.136623 7.23111e-11 2.96487e-10 6.47908e-11 #avg: 2.19399e-10; avg_err: 1.56351e-12; sd: 4.42318e-10; counts: 80034
sfh 0.141685 8.5334e-11 3.32024e-10 7.52329e-11 #avg: 2.41701e-10; avg_err: 1.6023e-12; sd: 4.53293e-10; counts: 80034
sfh 0.146748 1.01448e-10 3.66543e-10 8.7938e-11 #avg: 2.63983e-10; avg_err: 1.63419e-12; sd: 4.62314e-10; counts: 80034
sfh 0.15181 1.19373e-10 4.05573e-10 1.02587e-10 #avg: 2.91564e-10; avg_err: 1.72695e-12; sd: 4.88555e-10; counts: 80034
sfh 0.156873 1.38753e-10 4.44274e-10 1.18367e-10 #avg: 3.20373e-10; avg_err: 1.80597e-12; sd: 5.10911e-10; counts: 80034
sfh 0.161935 1.60574e-10 4.73025e-10 1.35475e-10 #avg: 3.4809e-10; avg_err: 1.8791e-12; sd: 5.31599e-10; counts: 80034
sfh 0.166998 1.83566e-10 5.00692e-10 1.53208e-10 #avg: 3.74762e-10; avg_err: 1.91153e-12; sd: 5.40775e-10; counts: 80034
sfh 0.17206 2.06376e-10 5.29149e-10 1.71029e-10 #avg: 3.9708e-10; avg_err: 1.93099e-12; sd: 5.46279e-10; counts: 80034
sfh 0.177123 2.33662e-10 5.45381e-10 1.91456e-10 #avg: 4.20687e-10; avg_err: 1.93045e-12; sd: 5.46127e-10; counts: 80034
sfh 0.182185 2.61868e-10 5.55929e-10 2.1191e-10 #avg: 4.46189e-10; avg_err: 1.96226e-12; sd: 5.55126e-10; counts: 80034
sfh 0.187248 2.8792e-10 5.74339e-10 2.31263e-10 #avg: 4.70072e-10; avg_err: 1.98158e-12; sd: 5.60591e-10; counts: 80034
sfh 0.19231 3.15458e-10 5.82715e-10 2.50153e-10 #avg: 4.9292e-10; avg_err: 2.0058e-12; sd: 5.67444e-10; counts: 80034
sfh 0.197373 3.41761e-10 5.83419e-10 2.66964e-10 #avg: 5.12602e-10; avg_err: 2.00368e-12; sd: 5.66842e-10; counts: 80034
sfh 0.202435 3.66311e-10 5.79937e-10 2.8223e-10 #avg: 5.3143e-10; avg_err: 2.00711e-12; sd: 5.67813e-10; counts: 80034
sfh 0.207498 3.9097e-10 5.75725e-10 2.94857e-10 #avg: 5.4783e-10; avg_err: 1.99555e-12; sd: 5.64543e-10; counts: 80034
sfh 0.21256 4.12265e-10 5.70545e-10 3.03061e-10 #avg: 5.63999e-10; avg_err: 1.99236e-12; sd: 5.63639e-10; counts: 80034
sfh 0.217623 4.312e-10 5.62747e-10 3.07814e-10 #avg: 5.76469e-10; avg_err: 1.95057e-12; sd: 5.5182e-10; counts: 80034
sfh 0.222685 4.50578e-10 5.41569e-10 3.12158e-10 #avg: 5.85861e-10; avg_err: 1.91393e-12; sd: 5.41452e-10; counts: 80034
sfh 0.227748 4.64967e-10 5.31674e-10 3.09602e-10 #avg: 5.95861e-10; avg_err: 1.89578e-12; sd: 5.36318e-10; counts: 80034
sfh 0.23281 4.76522e-10 5.44206e-10 3.04835e-10 #avg: 6.09502e-10; avg_err: 1.89684e-12; sd: 5.36618e-10; counts: 80034
sfh 0.237873 4.88984e-10 5.38852e-10 2.98478e-10 #avg: 6.21483e-10; avg_err: 1.89465e-12; sd: 5.36e-10; counts: 80034
sfh 0.242935 5.00954e-10 5.32323e-10 2.92175e-10 #avg: 6.33663e-10; avg_err: 1.89205e-12; sd: 5.35263e-10; counts: 80034
