#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
44.0228 9.03185e+08 1.33774e+06 6.87229e+08 7.16645e+08 3.28748e+08 1.93624e+09 2.83599e+06 1.51125e+09 1.89008e+09 8.31719e+08 261549
62.2113 7.85874e+08 2.40837e+06 5.80006e+08 6.05459e+08 2.33234e+08 1.52942e+09 5.44958e+06 1.05478e+09 1.38931e+09 4.91763e+08 59659
78.7443 8.43649e+08 3.56414e+06 6.05234e+08 7.04838e+08 2.5599e+08 1.48369e+09 7.19674e+06 1.05478e+09 1.2713e+09 4.83141e+08 32236
99.5174 9.23395e+08 4.69544e+06 6.92286e+08 8.04673e+08 3.36013e+08 1.59019e+09 9.12862e+06 1.16825e+09 1.39422e+09 5.63017e+08 22305
125.17 1.08341e+09 6.50487e+06 8.00274e+08 1.00162e+09 4.31479e+08 1.79153e+09 1.09699e+07 1.39649e+09 1.52337e+09 7.91253e+08 17350
157.545 1.30021e+09 9.22463e+06 9.41735e+08 1.22895e+09 4.84031e+08 2.10572e+09 1.38333e+07 1.62642e+09 2.01761e+09 9.0946e+08 13195
197.774 1.66466e+09 1.48531e+07 1.16825e+09 1.75161e+09 6.80412e+08 2.52462e+09 1.90132e+07 1.97444e+09 2.52813e+09 1.14531e+09 9429
247.841 2.20592e+09 2.74681e+07 1.50769e+09 2.63716e+09 9.25641e+08 2.48951e+09 2.56333e+07 1.97444e+09 2.40471e+09 1.14531e+09 4959
309.968 2.67625e+09 4.81932e+07 1.91353e+09 3.19806e+09 1.22376e+09 2.25482e+09 3.44176e+07 1.85802e+09 1.90783e+09 1.02889e+09 2067
389.826 3.21716e+09 8.72625e+07 2.56349e+09 3.38882e+09 1.76025e+09 1.92662e+09 5.28137e+07 1.51125e+09 1.73649e+09 8.18961e+08 757
489.152 3.07003e+09 1.435e+08 2.56247e+09 3.02115e+09 1.73334e+09 1.54369e+09 7.05945e+07 1.28215e+09 1.16194e+09 5.77702e+08 223
608.362 3.3642e+09 3.1704e+08 3.01613e+09 3.7346e+09 1.95778e+09 1.47864e+09 1.814e+08 1.05478e+09 8.95366e+08 3.70096e+08 53
779.23 2.98427e+09 4.70416e+08 3.1599e+09 1.29236e+09 1.52219e+09 1.46041e+09 2.43533e+08 1.16825e+09 1.51297e+09 4.51291e+08 13
1055.38 2.34669e+09 8.1321e+08 3.1599e+09 0 1.62642e+09 1.73246e+09 1.06037e+08 1.83849e+09 0 2.12074e+08 2
