#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 10.25 - 10.75
#HM   Stats: 1.120590e+12 (median) + 5.279401e+11  / - 3.120610e+11
#SM   Stats: 2.901230e+10 (median) + 1.533230e+10  / - 8.462399e+09
#VMP  Stats: 2.199300e+02 (median) + 2.959001e+01  / - 2.117999e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.717859e-09 (median) + 3.323069e-09  / - 1.515835e-09
sfh 0.222685 5.99936 13.2415 4.62687 #avg: 10.8129; avg_err: 0.0915702; sd: 14.6835; counts: 25714
sfh 0.227748 6.60006 14.055 5.05173 #avg: 11.5502; avg_err: 0.0941598; sd: 15.0988; counts: 25714
sfh 0.23281 7.2021 14.682 5.48239 #avg: 12.2896; avg_err: 0.0978925; sd: 15.6973; counts: 25714
sfh 0.237873 7.90152 15.106 6.00557 #avg: 13.0367; avg_err: 0.101854; sd: 16.3326; counts: 25714
sfh 0.242935 8.56934 15.8169 6.46094 #avg: 13.8284; avg_err: 0.104661; sd: 16.7826; counts: 25714
sfh 0.247998 9.3975 16.5489 7.00333 #avg: 14.7746; avg_err: 0.109171; sd: 17.5059; counts: 25714
sfh 0.25306 10.127 17.7059 7.44092 #avg: 15.8445; avg_err: 0.113342; sd: 18.1747; counts: 25714
sfh 0.258123 11.0301 18.91 8.04288 #avg: 16.9063; avg_err: 0.117686; sd: 18.8713; counts: 25714
sfh 0.263185 12.0474 19.7538 8.62193 #avg: 18.0559; avg_err: 0.123959; sd: 19.8772; counts: 25714
sfh 0.268248 13.1154 20.6335 9.2471 #avg: 19.1865; avg_err: 0.126551; sd: 20.2928; counts: 25714
sfh 0.27331 14.3118 21.5004 9.92359 #avg: 20.4591; avg_err: 0.130682; sd: 20.9553; counts: 25714
sfh 0.278373 15.5238 22.3451 10.5962 #avg: 21.7381; avg_err: 0.133338; sd: 21.3812; counts: 25714
sfh 0.283435 17.1036 23.2521 11.2404 #avg: 23.2801; avg_err: 0.136581; sd: 21.9011; counts: 25714
sfh 0.288498 18.7414 24.1453 11.8538 #avg: 25.0398; avg_err: 0.14205; sd: 22.778; counts: 25714
sfh 0.29356 20.6082 25.46 12.4307 #avg: 26.9684; avg_err: 0.145496; sd: 23.3308; counts: 25714
sfh 0.298623 22.893 26.4577 13.254 #avg: 29.3208; avg_err: 0.151531; sd: 24.2984; counts: 25714
sfh 0.303685 25.4804 27.6409 14.2099 #avg: 31.8219; avg_err: 0.155181; sd: 24.8837; counts: 25714
sfh 0.308748 28.1839 29.191 15.1972 #avg: 34.8207; avg_err: 0.16349; sd: 26.2161; counts: 25714
sfh 0.31381 31.1924 31.4889 16.5411 #avg: 38.1413; avg_err: 0.174526; sd: 27.9857; counts: 25714
sfh 0.318873 33.963 35.05 18.0491 #avg: 41.6325; avg_err: 0.188155; sd: 30.1711; counts: 25714
sfh 0.323935 36.0514 37.8547 19.761 #avg: 44.569; avg_err: 0.207862; sd: 33.3313; counts: 25714
sfh 0.328997 37.3097 42.6016 20.5552 #avg: 47.8759; avg_err: 0.23852; sd: 38.2473; counts: 25714
sfh 0.33406 37.6684 46.204 20.9287 #avg: 50.5185; avg_err: 0.276162; sd: 44.2834; counts: 25714
iclh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 25714
iclh 0.060123 0 0 0 #avg: 1.81491e-06; avg_err: 1.81491e-06; sd: 0.000291025; counts: 25714
iclh 0.062373 0 0 0 #avg: 1.05035e-05; avg_err: 1.05035e-05; sd: 0.00168426; counts: 25714
iclh 0.064623 0 0 0 #avg: 9.55773e-05; avg_err: 8.66766e-05; sd: 0.0138988; counts: 25714
iclh 0.066873 0 0 0 #avg: 0.000296058; avg_err: 0.000278728; sd: 0.0446949; counts: 25714
iclh 0.069123 0 0 0 #avg: 0.000147415; avg_err: 9.07266e-05; sd: 0.0145483; counts: 25714
iclh 0.071373 0 0 0 #avg: 0.000171884; avg_err: 0.000105126; sd: 0.0168572; counts: 25714
iclh 0.073623 0 0 0 #avg: 0.00018642; avg_err: 0.000105661; sd: 0.016943; counts: 25714
iclh 0.075873 0 0 0 #avg: 0.000302909; avg_err: 0.000137588; sd: 0.0220627; counts: 25714
iclh 0.078123 0 0 0 #avg: 0.000365564; avg_err: 0.000129793; sd: 0.0208126; counts: 25714
iclh 0.080373 0 0 0 #avg: 0.000508913; avg_err: 0.000131705; sd: 0.0211192; counts: 25714
iclh 0.082623 0 0 0 #avg: 0.000589023; avg_err: 0.000120449; sd: 0.0193143; counts: 25714
iclh 0.085998 0 0 0 #avg: 0.000849884; avg_err: 0.000145378; sd: 0.0233117; counts: 25714
iclh 0.089373 0 0 0 #avg: 0.00121424; avg_err: 0.000173642; sd: 0.027844; counts: 25714
iclh 0.092748 0 0 0 #avg: 0.00176577; avg_err: 0.000241299; sd: 0.038693; counts: 25714
iclh 0.096123 0 0 0 #avg: 0.00206927; avg_err: 0.000254413; sd: 0.0407958; counts: 25714
iclh 0.099498 0 0 0 #avg: 0.0025956; avg_err: 0.000316618; sd: 0.0507705; counts: 25714
iclh 0.102873 0 0 0 #avg: 0.00278103; avg_err: 0.000320156; sd: 0.0513379; counts: 25714
iclh 0.106248 0 0 0 #avg: 0.0031508; avg_err: 0.000357789; sd: 0.0573725; counts: 25714
iclh 0.109623 0 0 0 #avg: 0.00317822; avg_err: 0.00031152; sd: 0.049953; counts: 25714
