#mpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
8.24733e+09 0.0743268 0.0843278 0.000165904 0 0 0 0.0130766 2.43688e-05 0 0.00843583 0 3596751
1.56902e+10 0.0651669 0.076441 0.000239743 0 0 0 0.00947368 2.58733e-05 0 0.00707443 0 1669052
2.47376e+10 0.0604801 0.0709051 0.000273642 0 0 0 0.00873322 2.81905e-05 0 0.00851446 0 1192707
3.91158e+10 0.0607251 0.0712871 0.000332445 0 0 0 0.0089193 3.4099e-05 0 0.00875507 0 814046
6.20284e+10 0.0670965 0.0786683 0.000426838 0 0 0 0.00990859 4.50349e-05 0 0.00895651 0 539760
9.83586e+10 0.0790701 0.0922479 0.000566388 0 0 0 0.0117317 6.15145e-05 0 0.0127394 0 352409
1.5578e+11 0.0981971 0.115702 0.000791158 0 0 0 0.0147932 8.93922e-05 0 0.0187325 0 225475
2.46722e+11 0.130634 0.154776 0.00113702 0 0 0 0.0194985 0.000131993 0 0.0349547 0 142651
3.9073e+11 0.181219 0.221158 0.00172791 0 1 0 0.0281608 0.000211187 0 0.0597193 0 87833
6.18801e+11 0.253426 0.320526 0.00262678 0 1 0 0.0415912 0.000342705 0 0.0949987 0 54292
9.79459e+11 0.362487 0.493913 0.0042329 0 1 0 0.0662278 0.000588305 0.0123573 0.14107 0.0123573 31706
1.54863e+12 0.523936 0.784301 0.00676152 1 1 1 0.114369 0.00103875 0.0574334 0.197579 0.0574334 18090
2.44876e+12 0.688811 1.11857 0.00975038 1 1 1 0.190134 0.00173743 0.139357 0.249331 0.130005 10492
3.89899e+12 0.815193 1.40716 0.0133207 1 1 1 0.295396 0.00275925 0.271635 0.26581 0.21191 5779
6.13005e+12 0.875357 1.51189 0.0171052 1 1 0 0.395194 0.00380516 0.409029 0.216056 0.266186 3153
9.75793e+12 0.886857 1.476 0.022303 1 1 0 0.495683 0.00484574 0.520734 0.181337 0.244741 1750
1.56292e+13 0.839532 1.26567 0.0278401 1 1 1 0.585885 0.00602332 0.615098 0.149856 0.210631 941
2.43358e+13 0.822695 1.23404 0.0411201 1 1 1 0.624764 0.00859714 0.666314 0.116429 0.227882 423
3.86391e+13 0.721519 1.08861 0.0602652 1 1 1 0.679846 0.0103388 0.718174 0.0970802 0.179537 237
6.04706e+13 0.711538 1.125 0.0972815 1 1 1 0.711969 0.0141046 0.749085 0.0828997 0.157926 104
9.45949e+13 0.5 0.75 0.116105 1 1 1 0.739343 0.0246815 0.768812 0.103327 0.134646 52
1.61204e+14 0.647059 0.941176 0.234373 1 1 1 0.735205 0.0470858 0.776682 0.125204 0.190811 17
2.32377e+14 0.666667 0.666667 0.210819 1 0 1 0.831806 0.0421418 0.889139 0.0630327 0.18335 6
3.75618e+14 0.4 0.4 0.244949 0 1 0 0.739421 0.128342 0.846737 0.0944099 0.61448 5
6.06629e+14 0.333333 0.333333 0.333333 0 1 0 0.844852 0.0312503 0.821515 0.0852179 0.0152067 3
