#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
45.3158 0.000200468 0.000202378 5.30226e-06 0 0 0 8.11669e-05 8.3568e-07 0 0 0 7332827
62.1114 0.000404443 0.000404827 1.24729e-05 0 0 0 0.000241443 1.90785e-06 0 0 0 2606052
78.7008 0.000870937 0.00087327 2.61172e-05 0 0 0 0.000568475 4.20207e-06 0 0 0 1285971
98.5574 0.00240747 0.0024211 6.08133e-05 0 0 0 0.00114173 9.25974e-06 0 0 0 660444
124.109 0.00753197 0.00768949 0.000159883 0 0 0 0.00255337 2.42964e-05 0 0 0 311074
155.934 0.0274076 0.028825 0.000469353 0 0 0 0.00808447 8.34339e-05 0 0.00528752 0 140399
194.779 0.0892233 0.0969081 0.00143835 0 0 0 0.0278651 0.00029745 0 0.0526197 0 50099
242.73 0.188804 0.211866 0.00455843 0 1 0 0.0725827 0.00108462 0.0154693 0.154041 0.0154693 10450
307.387 0.267386 0.29976 0.0129474 0 1 0 0.168171 0.00411493 0.125637 0.215482 0.125637 1668
390.76 0.257463 0.294776 0.0229795 0 1 0 0.30986 0.00850534 0.30083 0.222845 0.211616 536
495.71 0.320652 0.36413 0.0417183 0 1 0 0.432226 0.0142838 0.454571 0.168717 0.247351 184
612.299 0.323944 0.380282 0.0705432 0 1 0 0.505698 0.0237942 0.538337 0.174795 0.273746 71
776.12 0.315789 0.315789 0.109561 0 1 0 0.522756 0.0308157 0.533679 0.12591 0.155057 19
943.267 0.333333 0.333333 0.333333 0 1 0 0.617706 0.0587411 0.584806 0.147021 0.048322 3
