#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#vmpeak range: 2.11667 - 2.28333
#HM   Stats: 3.158820e+11 (median) + 1.895590e+11  / - 9.705801e+10
#SM   Stats: 2.080800e+09 (median) + 3.436060e+09  / - 1.155278e+09
#VMP  Stats: 1.487400e+02 (median) + 2.315999e+01  / - 1.330000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.870012e-09 (median) + 2.661033e-09  / - 9.661952e-10
sfh 0.055623 0 0 0 #avg: 1.13368e-15; avg_err: 6.80887e-16; sd: 3.5961e-13; counts: 278943
sfh 0.060123 0 0 0 #avg: 3.02177e-14; avg_err: 5.60516e-15; sd: 2.96036e-12; counts: 278943
sfh 0.062373 0 0 0 #avg: 1.58229e-13; avg_err: 2.68711e-14; sd: 1.41919e-11; counts: 278943
sfh 0.064623 0 0 0 #avg: 4.45271e-13; avg_err: 5.82047e-14; sd: 3.07408e-11; counts: 278943
sfh 0.066873 0 0 0 #avg: 8.92121e-13; avg_err: 7.78102e-14; sd: 4.10954e-11; counts: 278943
sfh 0.069123 0 0 0 #avg: 1.57895e-12; avg_err: 9.63674e-14; sd: 5.08964e-11; counts: 278943
sfh 0.071373 0 0 0 #avg: 2.64302e-12; avg_err: 1.27385e-13; sd: 6.72784e-11; counts: 278943
sfh 0.073623 0 0 0 #avg: 4.07572e-12; avg_err: 1.38996e-13; sd: 7.34108e-11; counts: 278943
sfh 0.075873 0 0 0 #avg: 6.17235e-12; avg_err: 2.0182e-13; sd: 1.06591e-10; counts: 278943
sfh 0.078123 0 0 0 #avg: 8.67538e-12; avg_err: 2.06137e-13; sd: 1.08871e-10; counts: 278943
sfh 0.080373 0 0 0 #avg: 1.16089e-11; avg_err: 2.20507e-13; sd: 1.16461e-10; counts: 278943
sfh 0.082623 0 0 0 #avg: 1.37568e-11; avg_err: 2.12099e-13; sd: 1.1202e-10; counts: 278943
sfh 0.085998 0 5.29503e-12 0 #avg: 2.10498e-11; avg_err: 2.6413e-13; sd: 1.395e-10; counts: 278943
sfh 0.089373 0 1.70624e-11 0 #avg: 2.75233e-11; avg_err: 2.8432e-13; sd: 1.50164e-10; counts: 278943
sfh 0.092748 0 3.26307e-11 0 #avg: 3.42131e-11; avg_err: 3.0069e-13; sd: 1.58809e-10; counts: 278943
sfh 0.096123 0 4.96995e-11 0 #avg: 4.20744e-11; avg_err: 3.178e-13; sd: 1.67846e-10; counts: 278943
sfh 0.099498 8.28667e-13 6.53176e-11 8.28667e-13 #avg: 4.96785e-11; avg_err: 3.47604e-13; sd: 1.83587e-10; counts: 278943
sfh 0.102873 3.954e-12 7.70733e-11 3.954e-12 #avg: 5.78297e-11; avg_err: 3.8289e-13; sd: 2.02223e-10; counts: 278943
sfh 0.106248 7.93183e-12 8.77769e-11 7.93183e-12 #avg: 6.58049e-11; avg_err: 4.00167e-13; sd: 2.11348e-10; counts: 278943
sfh 0.109623 1.22887e-11 9.88928e-11 1.22887e-11 #avg: 7.40233e-11; avg_err: 4.11331e-13; sd: 2.17244e-10; counts: 278943
sfh 0.112998 1.64568e-11 1.08775e-10 1.64568e-11 #avg: 8.22534e-11; avg_err: 4.38564e-13; sd: 2.31628e-10; counts: 278943
