#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.03699e+07 5.70834e+08 7.28211e+06 4.77585e+08 3.4276e+08 1.45296e+08 1.28386e+09 1.30917e+07 1.26943e+09 6.03326e+08 5.94649e+08 1517
1.5851e+08 5.75015e+08 1.05134e+07 4.87529e+08 3.27677e+08 1.48881e+08 1.22519e+09 1.91951e+07 1.20565e+09 5.51314e+08 5.30864e+08 714
2.5206e+08 5.7243e+08 1.01034e+07 4.7771e+08 3.50531e+08 1.44458e+08 1.17577e+09 1.87179e+07 1.0763e+09 6.80662e+08 4.01517e+08 740
3.97992e+08 5.87475e+08 1.03761e+07 5.07642e+08 3.28356e+08 1.66364e+08 1.13567e+09 1.86672e+07 1.0763e+09 6.22037e+08 4.70296e+08 729
6.35224e+08 5.94704e+08 1.09692e+07 4.97762e+08 4.01036e+08 1.59114e+08 1.08841e+09 1.92103e+07 1.01076e+09 6.28269e+08 4.74045e+08 686
9.80845e+08 6.04141e+08 1.18433e+07 5.35262e+08 3.10222e+08 1.93535e+08 1.09598e+09 2.04786e+07 1.0763e+09 5.62728e+08 5.39586e+08 584
1.5672e+09 5.71173e+08 1.2811e+07 5.02745e+08 3.02025e+08 1.6677e+08 1.07347e+09 2.28929e+07 9.64245e+08 6.74785e+08 3.58239e+08 473
2.51501e+09 6.04487e+08 1.5255e+07 5.0218e+08 4.07089e+08 1.60902e+08 1.02329e+09 2.54426e+07 9.44654e+08 6.34393e+08 4.46893e+08 391
4.05886e+09 5.9228e+08 1.51839e+07 5.02745e+08 3.50221e+08 1.40957e+08 1.06543e+09 2.8618e+07 1.01076e+09 5.68287e+08 4.74045e+08 311
6.26156e+09 5.8889e+08 1.98781e+07 4.70295e+08 3.86944e+08 1.26066e+08 1.02143e+09 3.17002e+07 1.01076e+09 4.46348e+08 5.43816e+08 226
9.8558e+09 5.62711e+08 1.74548e+07 4.79075e+08 3.31714e+08 1.43099e+08 1.05778e+09 3.73906e+07 1.01076e+09 5.68287e+08 4.74045e+08 203
1.56376e+10 5.7815e+08 2.38476e+07 4.74045e+08 3.71439e+08 1.43565e+08 1.00823e+09 4.0144e+07 9.44654e+08 5.73748e+08 4.7771e+08 142
2.51595e+10 6.43538e+08 3.26063e+07 5.84489e+08 4.10277e+08 2.43211e+08 1.01414e+09 5.46345e+07 8.77994e+08 8.20345e+08 3.41278e+08 94
3.95069e+10 5.40394e+08 2.87951e+07 4.5052e+08 3.85478e+08 1.20041e+08 9.25716e+08 5.35808e+07 8.77994e+08 5.17181e+08 4.1105e+08 78
6.25882e+10 5.93249e+08 3.70866e+07 4.74045e+08 3.77057e+08 1.32318e+08 9.4564e+08 5.97889e+07 8.65669e+08 6.52733e+08 3.98725e+08 63
9.7533e+10 5.32444e+08 4.57309e+07 4.10865e+08 4.85116e+08 6.70201e+07 1.11054e+09 1.03616e+08 1.20565e+09 3.73398e+08 7.31604e+08 27
1.49784e+11 5.91353e+08 1.01893e+08 5.12454e+08 4.33721e+08 1.58097e+08 1.23478e+09 1.46816e+08 1.14127e+09 3.77135e+08 3.3048e+08 9
2.31076e+11 3.96002e+08 4.19277e+07 4.28905e+08 1.74433e+07 1.16151e+08 1.16195e+09 7.7804e+07 1.20565e+09 6.37852e+07 1.94889e+08 3
