#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 11.75 - 12.25
#HM   Stats: 8.757350e+11 (median) + 4.683850e+11  / - 2.389700e+11
#SM   Stats: 3.139230e+10 (median) + 3.687010e+10  / - 1.800790e+10
#VMP  Stats: 1.674900e+02 (median) + 2.618999e+01  / - 2.116000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.433749e-12 (median) + 2.585009e-12  / - 9.212553e-13
sfh 0.055623 0 0 0 #avg: 4.05865e-14; avg_err: 3.22198e-14; sd: 5.38775e-12; counts: 27963
sfh 0.060123 0 0 0 #avg: 4.2487e-13; avg_err: 3.30793e-13; sd: 5.53146e-11; counts: 27963
sfh 0.062373 0 0 0 #avg: 6.66723e-13; avg_err: 5.50511e-13; sd: 9.20556e-11; counts: 27963
sfh 0.064623 0 0 0 #avg: 3.83556e-13; avg_err: 2.63223e-13; sd: 4.40157e-11; counts: 27963
sfh 0.066873 0 0 0 #avg: 4.64794e-13; avg_err: 2.5668e-13; sd: 4.29217e-11; counts: 27963
sfh 0.069123 0 0 0 #avg: 9.46666e-13; avg_err: 5.58867e-13; sd: 9.34529e-11; counts: 27963
sfh 0.071373 0 0 0 #avg: 8.07122e-13; avg_err: 3.25013e-13; sd: 5.43481e-11; counts: 27963
sfh 0.073623 0 0 0 #avg: 1.09279e-12; avg_err: 3.44872e-13; sd: 5.7669e-11; counts: 27963
sfh 0.075873 0 0 0 #avg: 1.29304e-12; avg_err: 2.91304e-13; sd: 4.87114e-11; counts: 27963
sfh 0.078123 0 0 0 #avg: 1.82637e-12; avg_err: 5.1354e-13; sd: 8.58734e-11; counts: 27963
sfh 0.080373 0 0 0 #avg: 1.6397e-12; avg_err: 1.90065e-13; sd: 3.17824e-11; counts: 27963
sfh 0.082623 0 1.6043e-14 0 #avg: 1.74771e-12; avg_err: 1.85309e-13; sd: 3.0987e-11; counts: 27963
sfh 0.085998 0 6.81388e-13 0 #avg: 2.35426e-12; avg_err: 1.52816e-13; sd: 2.55537e-11; counts: 27963
sfh 0.089373 0 1.78001e-12 0 #avg: 2.95614e-12; avg_err: 1.1967e-13; sd: 2.00111e-11; counts: 27963
