#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
47.716 4.48846e+08 7.57843e+06 3.97718e+08 2.02147e+08 7.45712e+07 1.70815e+09 1.68603e+07 1.75696e+09 2.83103e+08 4.2435e+08 390
63.4831 4.60804e+08 7.37511e+06 4.10865e+08 1.79001e+08 8.82393e+07 1.68906e+09 1.84505e+07 1.75696e+09 3.90856e+08 4.87529e+08 510
82.2928 5.16448e+08 5.76898e+06 4.43556e+08 2.64059e+08 1.15796e+08 1.46395e+09 1.17546e+07 1.45711e+09 5.27932e+08 5.12454e+08 1564
99.9167 5.51889e+08 5.25731e+06 4.67161e+08 3.08193e+08 1.36682e+08 1.31099e+09 1.03054e+07 1.26943e+09 6.03326e+08 5.26385e+08 2372
125.762 5.94212e+08 6.00248e+06 5.07642e+08 3.49597e+08 1.66364e+08 1.11178e+09 1.0088e+07 1.0763e+09 5.62728e+08 4.70296e+08 2271
156.138 6.14684e+08 7.49981e+06 5.26385e+08 3.82884e+08 1.85107e+08 9.81486e+08 1.16715e+07 8.77994e+08 5.79115e+08 3.41278e+08 1574
195.754 6.1027e+08 1.16862e+07 5.07642e+08 3.88338e+08 1.66364e+08 9.37084e+08 1.73059e+07 8.77994e+08 5.17181e+08 4.1105e+08 681
245.65 6.23907e+08 2.02054e+07 5.30864e+08 3.81532e+08 1.76507e+08 8.23424e+08 2.75744e+07 7.43049e+08 4.626e+08 2.76105e+08 198
308.139 6.0184e+08 3.80132e+07 5.36715e+08 4.09459e+08 1.92871e+08 8.4604e+08 6.09728e+07 7.43049e+08 5.26385e+08 2.76105e+08 50
376.204 6.38565e+08 9.79018e+07 4.66944e+08 6.09358e+08 1.28296e+08 7.49182e+08 1.02235e+08 6.80662e+08 6.51951e+08 3.20497e+08 12
