#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#mpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.08197e+09 4.77624e+08 4.146e+06 4.2435e+08 2.12872e+08 1.01203e+08 1.58699e+09 8.43357e+06 1.57905e+09 4.05994e+08 3.73398e+08 1835
1.61665e+10 4.8186e+08 5.48086e+06 4.14234e+08 2.22988e+08 9.10868e+07 1.65331e+09 1.08505e+07 1.69834e+09 3.95991e+08 4.28905e+08 1431
2.52679e+10 4.97072e+08 5.13718e+06 4.2435e+08 2.49912e+08 1.01203e+08 1.56063e+09 1.08066e+07 1.63903e+09 4.01037e+08 5.62728e+08 1790
3.97334e+10 5.07165e+08 5.25218e+06 4.24463e+08 2.83152e+08 1.01316e+08 1.47586e+09 1.15292e+07 1.5184e+09 5.21663e+08 5.73748e+08 1903
6.28815e+10 5.26896e+08 5.80032e+06 4.37779e+08 2.96233e+08 1.12999e+08 1.39186e+09 1.20905e+07 1.39517e+09 5.89866e+08 5.84386e+08 1958
1.00197e+11 5.52335e+08 6.01904e+06 4.66933e+08 3.1539e+08 1.36454e+08 1.26169e+09 1.2049e+07 1.20565e+09 6.67111e+08 5.30864e+08 1934
1.57496e+11 5.48515e+08 6.04599e+06 4.626e+08 3.09644e+08 1.34841e+08 1.18609e+09 1.18099e+07 1.14127e+09 6.15695e+08 5.35262e+08 1923
2.48789e+11 5.49099e+08 6.18154e+06 4.70295e+08 3.04388e+08 1.38006e+08 1.13792e+09 1.24941e+07 1.0763e+09 6.22037e+08 4.70296e+08 1703
3.94635e+11 5.46792e+08 7.2946e+06 4.54619e+08 3.3338e+08 1.2414e+08 1.09137e+09 1.37787e+07 1.01076e+09 6.87579e+08 4.74045e+08 1373
6.23733e+11 5.45168e+08 7.53851e+06 4.55301e+08 3.25802e+08 1.17934e+08 1.01602e+09 1.44642e+07 9.44654e+08 6.34393e+08 4.07939e+08 1159
9.84992e+11 5.67695e+08 9.24385e+06 4.7771e+08 3.18187e+08 1.36432e+08 9.17596e+08 1.59918e+07 8.10788e+08 5.84386e+08 3.43845e+08 816
1.54654e+12 5.5064e+08 1.04698e+07 4.70295e+08 2.97963e+08 1.31647e+08 8.47119e+08 1.83636e+07 7.43049e+08 5.26385e+08 2.76105e+08 511
2.45911e+12 5.5153e+08 1.51609e+07 4.77585e+08 2.42805e+08 1.36307e+08 7.84543e+08 2.37348e+07 6.74785e+08 5.30864e+08 2.07841e+08 252
3.80796e+12 5.40238e+08 2.21683e+07 4.5052e+08 2.88185e+08 1.13154e+08 8.5411e+08 3.52694e+07 7.43049e+08 5.26385e+08 2.76105e+08 133
6.10962e+12 5.36367e+08 4.03535e+07 4.46348e+08 3.64441e+08 1.0507e+08 7.52139e+08 6.82262e+07 6.06006e+08 5.35262e+08 1.39062e+08 36
9.94324e+12 5.66282e+08 6.60631e+07 4.66483e+08 3.69515e+08 8.35994e+07 6.73034e+08 7.70637e+07 6.74785e+08 2.03209e+08 3.1462e+08 13
1.69044e+13 4.34854e+08 4.32509e+07 4.7771e+08 1.49795e+07 1.71294e+08 9.37064e+08 2.01505e+08 1.20565e+09 1.26964e+08 7.38705e+08 4
