#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
44.797 0.000221068 0.000221186 5.09528e-06 0 0 0 0.000216469 1.55584e-06 0 0 0 8526777
62.4905 0.000536609 0.0005372 1.26096e-05 0 0 0 0.000619174 3.90023e-06 0 0 0 3384213
78.5504 0.00151324 0.00151559 2.9856e-05 0 0 0 0.00153382 9.16521e-06 0 0 0 1702965
98.4722 0.00426626 0.00429195 7.27317e-05 0 0 0 0.00337092 2.26298e-05 0 0 0 817577
123.995 0.0106953 0.0107986 0.000172099 0 0 0 0.00773431 5.93441e-05 0 0 0 367639
156.01 0.0240394 0.0244437 0.000388643 0 0 0 0.0194886 0.000159213 0 0.0208066 0 163232
196.31 0.0458779 0.0468219 0.000809603 0 0 0 0.0461877 0.000386931 0 0.0947452 0 70971
246.863 0.0727127 0.0742191 0.0015503 0 0 0 0.0938745 0.000839261 0.0176467 0.208703 0.0176467 29871
310.676 0.0943396 0.0966981 0.00278486 0 0 0 0.168035 0.00169497 0.109584 0.254825 0.109584 11872
389.661 0.105066 0.106707 0.00480939 0 0 0 0.251437 0.00306567 0.226766 0.244955 0.204163 4264
490.439 0.0851513 0.0872625 0.00768528 0 0 0 0.335241 0.00540971 0.328008 0.22128 0.215697 1421
616.967 0.0906516 0.0906516 0.0153032 0 0 0 0.414269 0.010199 0.428543 0.177865 0.228543 353
767.696 0.0833333 0.0833333 0.0328009 0 0 0 0.50712 0.0197391 0.477334 0.211086 0.147682 72
973.363 0 0 0 0 0 0 0.479129 0.0501622 0.452958 0.172239 0.105435 9
