#For SF galaxies, QTime is the duration of the last period when they were quenched.
#sm <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
7.68976e+07 0.994552 0.000242991 1.19028e+09 3.87865e+06 8.29125e+08 1.49696e+09 8.29125e+08 0.341852 0.000298207 0.337329 0.0917462 0.0856478 0.656296 0.000308461 0.667261 0.0781379 0.0998518 0.881561 0.000226064 0.899014 0.0427361 0.079475 91772
1.57275e+08 0.9953 0.000380334 1.249e+09 6.7726e+06 9.41735e+08 1.50235e+09 9.41735e+08 0.347142 0.000491047 0.343639 0.0889136 0.0845727 0.658617 0.000490073 0.667082 0.0761253 0.0920383 0.879158 0.000392138 0.897258 0.0442233 0.0825708 32340
2.49094e+08 0.994884 0.000437566 1.291e+09 7.59202e+06 9.41735e+08 1.62073e+09 9.41735e+08 0.353617 0.000530821 0.350705 0.0861265 0.0832157 0.661522 0.00053054 0.669836 0.0749261 0.0919968 0.878131 0.000436734 0.897076 0.0438627 0.0859306 26584
3.96483e+08 0.995469 0.000452066 1.3367e+09 8.6238e+06 9.41735e+08 1.62073e+09 9.41735e+08 0.361953 0.000567909 0.359701 0.0838982 0.080741 0.666122 0.000574775 0.6747 0.0727916 0.0900307 0.875862 0.000494202 0.895783 0.0446209 0.0869414 22071
6.27491e+08 0.996033 0.000460249 1.39797e+09 9.65564e+06 1.05478e+09 1.62645e+09 1.05478e+09 0.37128 0.000605549 0.368777 0.0821256 0.0789405 0.669755 0.000614111 0.678246 0.0700862 0.0888634 0.871846 0.000551674 0.892837 0.0456868 0.0920521 18654
9.97021e+08 0.994012 0.000597025 1.45092e+09 1.03381e+07 1.05478e+09 1.74558e+09 1.05478e+09 0.381056 0.000632628 0.378809 0.0789589 0.0772286 0.67229 0.000620812 0.680499 0.0664861 0.084867 0.867437 0.000584059 0.887083 0.0480765 0.0895661 16700
1.57763e+09 0.995427 0.000553303 1.5221e+09 1.14726e+07 1.16825e+09 1.75161e+09 1.16825e+09 0.39069 0.000661404 0.387023 0.0795013 0.0744542 0.669893 0.000636759 0.678741 0.0622879 0.0818838 0.859323 0.0006482 0.880557 0.0490171 0.0943112 14870
2.50613e+09 0.995283 0.000588295 1.60178e+09 1.24394e+07 1.16825e+09 1.87146e+09 1.16825e+09 0.399342 0.000679742 0.396468 0.0792863 0.0740504 0.663344 0.000628678 0.671029 0.0590737 0.0750139 0.849341 0.000692784 0.870579 0.0507228 0.0961522 13567
3.96858e+09 0.99539 0.000598775 1.72449e+09 1.36761e+07 1.28215e+09 1.9983e+09 9.34134e+08 0.407052 0.000709908 0.405289 0.0789154 0.0762974 0.648364 0.000644322 0.656701 0.0564591 0.0740054 0.832967 0.00076433 0.855554 0.0543854 0.101705 12799
6.28766e+09 0.995293 0.000627605 1.86293e+09 1.50985e+07 1.39649e+09 2.12603e+09 9.02545e+08 0.407573 0.000724111 0.40745 0.0765728 0.077006 0.626724 0.000651718 0.63712 0.0518436 0.0735779 0.813044 0.000837286 0.837438 0.0559189 0.110591 11896
