#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.08695e+07 5.059e+08 1.03504e+07 4.2435e+08 2.76703e+08 9.6591e+07 3.99136e+09 2.96157e+07 4.10191e+09 5.21663e+08 7.07614e+08 483
1.57997e+08 5.414e+08 1.69831e+07 4.3338e+08 3.28337e+08 1.11528e+08 3.85615e+09 4.2351e+07 3.97868e+09 5.89866e+08 7.89168e+08 277
2.47028e+08 5.19249e+08 1.46544e+07 4.3338e+08 2.74073e+08 1.086e+08 3.86392e+09 4.69449e+07 4.04061e+09 5.27933e+08 8.51102e+08 285
3.93941e+08 5.5846e+08 1.57789e+07 4.77585e+08 2.761e+08 1.44332e+08 3.72432e+09 5.02906e+07 3.85294e+09 7.15607e+08 8.72755e+08 274
6.3253e+08 5.87399e+08 1.86767e+07 4.74045e+08 3.60372e+08 1.41756e+08 3.57472e+09 5.00399e+07 3.72477e+09 7.31492e+08 1.0303e+09 333
1.00702e+09 5.8477e+08 1.81234e+07 4.9269e+08 3.58312e+08 1.70837e+08 3.34048e+09 6.07158e+07 3.52816e+09 8.12309e+08 1.20096e+09 296
1.57633e+09 6.83787e+08 2.36357e+07 5.47975e+08 4.37972e+08 2.01605e+08 3.17435e+09 6.43729e+07 3.4615e+09 8.20345e+08 1.66412e+09 323
2.52292e+09 6.73396e+08 2.28574e+07 5.21825e+08 5.16058e+08 1.91345e+08 2.81604e+09 6.67556e+07 3.12022e+09 1.04233e+09 2.02722e+09 371
3.9629e+09 7.17322e+08 2.30066e+07 5.49915e+08 5.43082e+08 1.89418e+08 2.54988e+09 6.55468e+07 2.76658e+09 1.2121e+09 1.91317e+09 407
6.3509e+09 6.77251e+08 1.97576e+07 5.29821e+08 5.63257e+08 1.68032e+08 2.32001e+09 6.2762e+07 2.25261e+09 1.53655e+09 1.45795e+09 400
1.00928e+10 7.42641e+08 2.60366e+07 5.58931e+08 5.70325e+08 1.96245e+08 2.06511e+09 6.42444e+07 1.84937e+09 1.74489e+09 1.13757e+09 375
1.58911e+10 7.90405e+08 2.48332e+07 6.09358e+08 6.42132e+08 2.30869e+08 2.00821e+09 6.12045e+07 1.79737e+09 1.59692e+09 1.10482e+09 404
2.51212e+10 7.41491e+08 2.31492e+07 6.04553e+08 5.10914e+08 2.50915e+08 1.83629e+09 6.10778e+07 1.48721e+09 1.77108e+09 7.94653e+08 359
3.90888e+10 7.3836e+08 2.78315e+07 5.95336e+08 5.80489e+08 2.37076e+08 1.8303e+09 6.9917e+07 1.64291e+09 1.47731e+09 1.0311e+09 260
6.27067e+10 6.17147e+08 2.31003e+07 5.21825e+08 3.50986e+08 1.98476e+08 1.67832e+09 8.9391e+07 1.25149e+09 1.93802e+09 7.20614e+08 182
9.67928e+10 7.28843e+08 4.41208e+07 6.04553e+08 4.89079e+08 2.27883e+08 1.63716e+09 1.12382e+08 1.25149e+09 1.79896e+09 6.89369e+08 104
1.52846e+11 8.06016e+08 5.33131e+07 6.92559e+08 4.76226e+08 2.42813e+08 1.26794e+09 1.40805e+08 9.3351e+08 1.3191e+09 4.83764e+08 50
2.27294e+11 7.5136e+08 1.36218e+08 5.47975e+08 9.39237e+08 2.27159e+08 9.87907e+08 1.8041e+08 7.65396e+08 7.21816e+08 3.1565e+08 15
3.27421e+11 7.17388e+08 1.55266e+08 8.72654e+08 0 3.10533e+08 6.11718e+08 8.08411e+07 6.92559e+08 0 1.61682e+08 2
5.38947e+11 3.15921e+08 3.15921e+08 3.15921e+08 0 0 1.093e+09 1.093e+09 1.093e+09 0 0 1
