#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 11.25 - 11.75
#HM   Stats: 4.072060e+11 (median) + 1.048530e+11  / - 1.295590e+11
#SM   Stats: 5.744430e+09 (median) + 9.376370e+09  / - 3.680620e+09
#VMP  Stats: 1.646000e+02 (median) + 1.839000e+01  / - 1.666000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.038168e-12 (median) + 3.039989e-12  / - 1.277392e-12
sfh 0.217623 0.876776 3.43347 0.727911 #avg: 2.79784; avg_err: 0.0937857; sd: 6.68515; counts: 5082
sfh 0.222685 0.965784 3.56486 0.802019 #avg: 2.87988; avg_err: 0.0900655; sd: 6.41997; counts: 5082
sfh 0.227748 1.02693 3.61863 0.860159 #avg: 2.95084; avg_err: 0.0918924; sd: 6.5502; counts: 5082
sfh 0.23281 1.09109 3.70563 0.904118 #avg: 3.03462; avg_err: 0.0951286; sd: 6.78088; counts: 5082
sfh 0.237873 1.15436 3.73596 0.956237 #avg: 3.07012; avg_err: 0.0922682; sd: 6.57698; counts: 5082
sfh 0.242935 1.19343 3.75268 0.977198 #avg: 3.14457; avg_err: 0.0940365; sd: 6.70303; counts: 5082
sfh 0.247998 1.2538 3.8022 1.0299 #avg: 3.15335; avg_err: 0.0956373; sd: 6.81713; counts: 5082
sfh 0.25306 1.31436 3.7947 1.07827 #avg: 3.20258; avg_err: 0.101643; sd: 7.24521; counts: 5082
sfh 0.258123 1.3504 3.89859 1.10388 #avg: 3.30093; avg_err: 0.117953; sd: 8.40782; counts: 5082
sfh 0.263185 1.42701 3.86323 1.17185 #avg: 3.36056; avg_err: 0.137418; sd: 9.79534; counts: 5082
sfh 0.268248 1.43504 3.91032 1.17751 #avg: 3.35357; avg_err: 0.129766; sd: 9.2499; counts: 5082
sfh 0.27331 1.44149 3.854 1.17532 #avg: 3.38615; avg_err: 0.122711; sd: 8.74699; counts: 5082
sfh 0.278373 1.49643 3.94959 1.21352 #avg: 3.41866; avg_err: 0.124253; sd: 8.85687; counts: 5082
sfh 0.283435 1.48731 3.96756 1.20408 #avg: 3.43416; avg_err: 0.120482; sd: 8.58806; counts: 5082
sfh 0.288498 1.49441 4.10129 1.21406 #avg: 3.43185; avg_err: 0.110398; sd: 7.8693; counts: 5082
sfh 0.29356 1.5131 3.93552 1.22615 #avg: 3.40505; avg_err: 0.112189; sd: 7.99693; counts: 5082
sfh 0.298623 1.55257 3.90596 1.2521 #avg: 3.39241; avg_err: 0.122923; sd: 8.76211; counts: 5082
sfh 0.303685 1.57104 3.79279 1.25976 #avg: 3.40239; avg_err: 0.120694; sd: 8.60318; counts: 5082
sfh 0.308748 1.63191 3.77144 1.31219 #avg: 3.46785; avg_err: 0.134369; sd: 9.57801; counts: 5082
sfh 0.31381 1.62954 3.84757 1.2999 #avg: 3.46527; avg_err: 0.108251; sd: 7.71624; counts: 5082
sfh 0.318873 1.64696 3.92453 1.3259 #avg: 3.54065; avg_err: 0.103722; sd: 7.39339; counts: 5082
