#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 1.61667 - 1.78333
#HM   Stats: 1.732350e+10 (median) + 1.116180e+10  / - 6.385299e+09
#SM   Stats: 2.150760e+07 (median) + 2.894630e+07  / - 1.268881e+07
#VMP  Stats: 5.029000e+01 (median) + 6.590000e+00  / - 6.000000e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.372852e-10 (median) + 2.893911e-10  / - 1.324313e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 632347
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 632347
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 632347
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 632347
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 632347
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 632347
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 632347
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 632347
sfh 0.075873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 632347
sfh 0.078123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 632347
sfh 0.080373 0 0 0 #avg: 1.37101e-08; avg_err: 1.37101e-08; sd: 1.09023e-05; counts: 632347
sfh 0.082623 0 0 0 #avg: 1.72314e-07; avg_err: 1.03238e-07; sd: 8.20947e-05; counts: 632347
sfh 0.085998 0 0 0 #avg: 2.2028e-07; avg_err: 1.26811e-07; sd: 0.00010084; counts: 632347
sfh 0.089373 0 0 0 #avg: 7.4119e-07; avg_err: 2.68692e-07; sd: 0.000213665; counts: 632347
sfh 0.092748 0 0 0 #avg: 2.37704e-06; avg_err: 6.502e-07; sd: 0.00051704; counts: 632347
sfh 0.096123 0 0 0 #avg: 3.66854e-06; avg_err: 7.81075e-07; sd: 0.000621112; counts: 632347
sfh 0.099498 0 0 0 #avg: 6.71567e-06; avg_err: 9.2909e-07; sd: 0.000738814; counts: 632347
sfh 0.102873 0 0 0 #avg: 1.18801e-05; avg_err: 1.16743e-06; sd: 0.000928344; counts: 632347
sfh 0.106248 0 0 0 #avg: 1.87919e-05; avg_err: 1.20931e-06; sd: 0.000961649; counts: 632347
sfh 0.109623 0 0 0 #avg: 3.0792e-05; avg_err: 1.61216e-06; sd: 0.00128199; counts: 632347
sfh 0.112998 0 0 0 #avg: 4.66803e-05; avg_err: 2.14719e-06; sd: 0.00170745; counts: 632347
sfh 0.116373 0 0 0 #avg: 6.24962e-05; avg_err: 2.32169e-06; sd: 0.00184622; counts: 632347
sfh 0.119748 0 0 0 #avg: 8.31172e-05; avg_err: 3.20202e-06; sd: 0.00254625; counts: 632347
sfh 0.123123 0 0 0 #avg: 0.000103218; avg_err: 3.04526e-06; sd: 0.0024216; counts: 632347
sfh 0.126498 0 0 0 #avg: 0.000128086; avg_err: 2.61326e-06; sd: 0.00207807; counts: 632347
sfh 0.129873 0 0 0 #avg: 0.000163967; avg_err: 3.21336e-06; sd: 0.00255527; counts: 632347
sfh 0.133248 0 0 0 #avg: 0.000207429; avg_err: 3.74514e-06; sd: 0.00297814; counts: 632347
sfh 0.136623 0 0 0 #avg: 0.000258168; avg_err: 3.86893e-06; sd: 0.00307658; counts: 632347
sfh 0.141685 0 0 0 #avg: 0.000352383; avg_err: 5.78152e-06; sd: 0.00459748; counts: 632347
sfh 0.146748 0 0 0 #avg: 0.00046175; avg_err: 5.41622e-06; sd: 0.00430699; counts: 632347
sfh 0.15181 0 0 0 #avg: 0.000591777; avg_err: 6.8811e-06; sd: 0.00547186; counts: 632347
sfh 0.156873 0 6.87228e-05 0 #avg: 0.000742423; avg_err: 7.39386e-06; sd: 0.00587961; counts: 632347
sfh 0.161935 0 0.000300788 0 #avg: 0.000902479; avg_err: 7.93872e-06; sd: 0.00631288; counts: 632347
sfh 0.166998 0 0.000599191 0 #avg: 0.00106534; avg_err: 7.95971e-06; sd: 0.00632957; counts: 632347
sfh 0.17206 0 0.000939476 0 #avg: 0.00120108; avg_err: 8.39203e-06; sd: 0.00667336; counts: 632347
sfh 0.177123 0 0.00128374 0 #avg: 0.00126249; avg_err: 8.55609e-06; sd: 0.00680382; counts: 632347
sfh 0.182185 0 0.00155204 0 #avg: 0.00130914; avg_err: 8.09857e-06; sd: 0.00644; counts: 632347
sfh 0.187248 0 0.00177058 0 #avg: 0.00138731; avg_err: 8.07319e-06; sd: 0.00641981; counts: 632347
sfh 0.19231 0 0.00197549 0 #avg: 0.00146433; avg_err: 7.96647e-06; sd: 0.00633495; counts: 632347
sfh 0.197373 0 0.00216644 0 #avg: 0.00153455; avg_err: 7.69877e-06; sd: 0.00612208; counts: 632347
sfh 0.202435 1.76086e-05 0.00234194 1.76086e-05 #avg: 0.00162728; avg_err: 8.24053e-06; sd: 0.00655288; counts: 632347
sfh 0.207498 6.314e-05 0.00248227 6.314e-05 #avg: 0.00171047; avg_err: 9.50615e-06; sd: 0.00755931; counts: 632347
sfh 0.21256 0.000127774 0.00260068 0.000127774 #avg: 0.00177841; avg_err: 7.81297e-06; sd: 0.00621289; counts: 632347
