#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
45.339 1.05389e+09 8.86772e+06 8.12717e+08 8.35939e+08 3.56251e+08 1.45176e+09 1.28296e+07 1.05478e+09 1.38931e+09 4.89588e+08 7588
62.4956 9.89881e+08 1.32118e+07 7.1696e+08 8.86273e+08 2.69168e+08 1.18111e+09 1.74616e+07 8.29125e+08 1.02889e+09 3.35182e+08 3061
79.1349 1.05544e+09 1.74042e+07 8.06187e+08 9.35822e+08 3.4972e+08 1.11116e+09 1.98585e+07 8.29125e+08 8.40464e+08 3.35182e+08 1949
99.3939 1.14166e+09 2.24997e+07 9.02545e+08 9.42964e+08 4.32894e+08 1.2163e+09 2.59938e+07 9.41735e+08 9.16891e+08 4.47792e+08 1398
124.973 1.34447e+09 3.06657e+07 1.02119e+09 1.3049e+09 5.27242e+08 1.37658e+09 3.69774e+07 1.04393e+09 1.28215e+09 5.49989e+08 1077
158.341 1.54573e+09 4.08376e+07 1.16825e+09 1.51297e+09 6.67782e+08 1.59487e+09 4.86391e+07 1.13248e+09 1.54875e+09 6.38534e+08 836
199.227 1.9267e+09 6.02622e+07 1.24807e+09 2.39596e+09 6.5429e+08 1.88722e+09 5.50357e+07 1.39649e+09 1.85125e+09 7.91253e+08 782
250.172 1.99116e+09 6.98284e+07 1.39649e+09 2.17101e+09 8.18537e+08 2.1879e+09 6.77844e+07 1.71038e+09 2.17483e+09 1.10514e+09 608
311.785 2.48366e+09 1.08494e+08 1.85802e+09 2.7682e+09 1.14106e+09 1.86132e+09 7.03883e+07 1.51125e+09 1.64866e+09 9.06013e+08 333
395.702 2.75452e+09 1.63176e+08 2.09125e+09 2.72736e+09 1.37429e+09 1.54711e+09 9.24058e+07 1.10125e+09 1.57998e+09 6.07124e+08 165
497.992 3.15017e+09 2.29106e+08 2.68123e+09 2.79509e+09 1.81743e+09 1.38155e+09 1.21747e+08 1.05478e+09 1.2534e+09 5.60837e+08 83
617.597 3.39005e+09 4.09446e+08 3.28045e+09 2.71561e+09 1.9983e+09 1.31243e+09 1.55026e+08 1.04393e+09 9.54364e+08 3.61324e+08 29
786.707 2.64476e+09 7.61857e+08 3.1599e+09 4.69154e+08 2.01459e+09 1.3721e+09 6.57727e+08 8.29125e+08 1.8521e+09 2.23181e+08 3
1010.35 3.1599e+09 3.1599e+09 3.1599e+09 0 0 1.83849e+09 1.83849e+09 1.83849e+09 0 0 1
