#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#sm range: 11.25 - 11.75
#HM   Stats: 7.470590e+12 (median) + 1.461761e+13  / - 4.336770e+12
#SM   Stats: 2.234980e+11 (median) + 8.737700e+10  / - 3.552099e+10
#VMP  Stats: 2.939800e+02 (median) + 1.178000e+02  / - 6.781001e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.624568e-11 (median) + 1.255462e-11  / - 4.895166e-12
sfh 0.055623 0 0 0 #avg: 3.15263e-15; avg_err: 2.38063e-15; sd: 1.19507e-13; counts: 2521
sfh 0.060123 0 0 0 #avg: 7.14627e-14; avg_err: 2.67075e-14; sd: 1.3407e-12; counts: 2521
sfh 0.062373 0 0 0 #avg: 1.29107e-13; avg_err: 4.07024e-14; sd: 2.04325e-12; counts: 2521
sfh 0.064623 0 0 0 #avg: 1.73887e-13; avg_err: 3.67632e-14; sd: 1.8455e-12; counts: 2521
sfh 0.066873 0 0 0 #avg: 3.74544e-13; avg_err: 5.33622e-14; sd: 2.67876e-12; counts: 2521
sfh 0.069123 0 0 0 #avg: 5.66772e-13; avg_err: 7.82808e-14; sd: 3.92967e-12; counts: 2521
sfh 0.071373 0 1.72057e-13 0 #avg: 9.98759e-13; avg_err: 1.48061e-13; sd: 7.43262e-12; counts: 2521
sfh 0.073623 0 5.64898e-13 0 #avg: 1.57489e-12; avg_err: 4.50486e-13; sd: 2.26142e-11; counts: 2521
sfh 0.075873 0 1.17715e-12 0 #avg: 2.02348e-12; avg_err: 3.84465e-13; sd: 1.93e-11; counts: 2521
sfh 0.078123 0 2.20399e-12 0 #avg: 2.23596e-12; avg_err: 2.28885e-13; sd: 1.14899e-11; counts: 2521
sfh 0.080373 4.27986e-14 3.13821e-12 4.27986e-14 #avg: 2.56733e-12; avg_err: 1.83299e-13; sd: 9.20152e-12; counts: 2521
sfh 0.082623 1.63439e-13 3.87568e-12 1.63439e-13 #avg: 2.80454e-12; avg_err: 1.79715e-13; sd: 9.0216e-12; counts: 2521
sfh 0.085998 4.73178e-13 5.06794e-12 4.73178e-13 #avg: 4.07582e-12; avg_err: 2.62205e-13; sd: 1.31626e-11; counts: 2521
sfh 0.089373 9.31819e-13 6.04667e-12 9.31819e-13 #avg: 4.99284e-12; avg_err: 3.07579e-13; sd: 1.54403e-11; counts: 2521
sfh 0.092748 1.38183e-12 7.46839e-12 1.34181e-12 #avg: 5.72763e-12; avg_err: 3.04874e-13; sd: 1.53045e-11; counts: 2521
sfh 0.096123 1.97071e-12 8.77776e-12 1.84433e-12 #avg: 7.12761e-12; avg_err: 3.78229e-13; sd: 1.8987e-11; counts: 2521
sfh 0.099498 2.32242e-12 1.03184e-11 2.07673e-12 #avg: 8.73778e-12; avg_err: 4.78251e-13; sd: 2.4008e-11; counts: 2521
sfh 0.102873 2.91266e-12 1.17442e-11 2.51011e-12 #avg: 1.08841e-11; avg_err: 6.59927e-13; sd: 3.31281e-11; counts: 2521
sfh 0.106248 3.47531e-12 1.40391e-11 2.90068e-12 #avg: 1.22914e-11; avg_err: 6.59583e-13; sd: 3.31108e-11; counts: 2521
sfh 0.109623 3.99896e-12 1.62569e-11 3.21452e-12 #avg: 1.46629e-11; avg_err: 7.97153e-13; sd: 4.00168e-11; counts: 2521
sfh 0.112998 4.62554e-12 1.91991e-11 3.68751e-12 #avg: 1.66122e-11; avg_err: 8.62409e-13; sd: 4.32926e-11; counts: 2521
sfh 0.116373 5.19128e-12 2.24795e-11 4.04392e-12 #avg: 1.86614e-11; avg_err: 9.24325e-13; sd: 4.64008e-11; counts: 2521
sfh 0.119748 6.12335e-12 2.48621e-11 4.83228e-12 #avg: 2.16719e-11; avg_err: 1.12954e-12; sd: 5.67025e-11; counts: 2521
sfh 0.123123 6.78066e-12 2.8757e-11 5.36296e-12 #avg: 2.52854e-11; avg_err: 1.53043e-12; sd: 7.6827e-11; counts: 2521
sfh 0.126498 7.63597e-12 3.15775e-11 6.06603e-12 #avg: 2.85363e-11; avg_err: 1.67826e-12; sd: 8.4248e-11; counts: 2521
sfh 0.129873 8.72188e-12 3.30734e-11 6.89855e-12 #avg: 3.13835e-11; avg_err: 1.68108e-12; sd: 8.43898e-11; counts: 2521
sfh 0.133248 9.89283e-12 3.86208e-11 7.82259e-12 #avg: 3.42456e-11; avg_err: 1.7389e-12; sd: 8.72921e-11; counts: 2521
sfh 0.136623 1.10731e-11 4.33022e-11 8.72047e-12 #avg: 3.79509e-11; avg_err: 1.90776e-12; sd: 9.57687e-11; counts: 2521
sfh 0.141685 1.23703e-11 4.64606e-11 9.67679e-12 #avg: 4.39321e-11; avg_err: 2.16152e-12; sd: 1.08507e-10; counts: 2521
sfh 0.146748 1.39213e-11 5.37354e-11 1.07333e-11 #avg: 5.09978e-11; avg_err: 2.91858e-12; sd: 1.46512e-10; counts: 2521
sfh 0.15181 1.58522e-11 6.22272e-11 1.212e-11 #avg: 5.67269e-11; avg_err: 3.08607e-12; sd: 1.54919e-10; counts: 2521
sfh 0.156873 1.77676e-11 6.86375e-11 1.35197e-11 #avg: 6.31843e-11; avg_err: 3.36663e-12; sd: 1.69003e-10; counts: 2521
sfh 0.161935 2.05693e-11 7.29828e-11 1.57886e-11 #avg: 6.90324e-11; avg_err: 3.41045e-12; sd: 1.71203e-10; counts: 2521
sfh 0.166998 2.35389e-11 8.72634e-11 1.82506e-11 #avg: 7.67483e-11; avg_err: 3.77743e-12; sd: 1.89626e-10; counts: 2521
sfh 0.17206 2.64249e-11 9.6582e-11 2.04735e-11 #avg: 8.65881e-11; avg_err: 4.27002e-12; sd: 2.14353e-10; counts: 2521
sfh 0.177123 3.02588e-11 1.08316e-10 2.36423e-11 #avg: 9.7945e-11; avg_err: 4.69371e-12; sd: 2.35623e-10; counts: 2521
sfh 0.182185 3.36943e-11 1.27644e-10 2.60711e-11 #avg: 1.06942e-10; avg_err: 5.54499e-12; sd: 2.78356e-10; counts: 2521
sfh 0.187248 3.74671e-11 1.43551e-10 2.92786e-11 #avg: 1.14367e-10; avg_err: 4.93601e-12; sd: 2.47786e-10; counts: 2521
sfh 0.19231 3.98932e-11 1.55072e-10 3.09191e-11 #avg: 1.23861e-10; avg_err: 5.01212e-12; sd: 2.51607e-10; counts: 2521
sfh 0.197373 4.31614e-11 1.76259e-10 3.36867e-11 #avg: 1.32867e-10; avg_err: 5.11237e-12; sd: 2.56639e-10; counts: 2521
