#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
47.7332 4.48488e+08 7.56751e+06 3.97718e+08 1.98936e+08 7.45712e+07 1.70914e+09 1.68461e+07 1.75696e+09 2.83103e+08 4.2435e+08 391
63.4972 4.61016e+08 7.33875e+06 4.10865e+08 1.76723e+08 8.82393e+07 1.68913e+09 1.83971e+07 1.75696e+09 3.90856e+08 4.87529e+08 513
82.2914 5.16196e+08 5.74392e+06 4.43556e+08 2.63897e+08 1.15796e+08 1.4657e+09 1.17198e+07 1.45711e+09 5.27932e+08 5.12454e+08 1572
99.9667 5.49838e+08 5.17963e+06 4.66638e+08 3.08045e+08 1.36158e+08 1.31451e+09 1.0193e+07 1.33261e+09 5.40147e+08 5.89564e+08 2404
125.876 5.90159e+08 5.85095e+06 5.02745e+08 3.42739e+08 1.64097e+08 1.12626e+09 1.00125e+07 1.0763e+09 6.22037e+08 4.70296e+08 2364
156.346 6.10911e+08 7.12626e+06 5.21825e+08 3.87445e+08 1.80546e+08 1.01531e+09 1.15225e+07 9.44654e+08 5.73748e+08 4.07939e+08 1735
196.385 6.18486e+08 1.10276e+07 5.17181e+08 3.87081e+08 1.75903e+08 9.90383e+08 1.67018e+07 9.44654e+08 5.12454e+08 4.2283e+08 818
246.568 6.23501e+08 1.8717e+07 5.17828e+08 3.94568e+08 1.73984e+08 9.24964e+08 2.85569e+07 8.10788e+08 5.84386e+08 3.43845e+08 261
306.039 5.91925e+08 3.37246e+07 5.27932e+08 3.50061e+08 1.84088e+08 8.61961e+08 5.28891e+07 8.10788e+08 4.58646e+08 3.43845e+08 64
380.241 7.4829e+08 1.01556e+08 7.01053e+08 3.75248e+08 3.46696e+08 8.54471e+08 9.32813e+07 8.77994e+08 3.91441e+08 5.17828e+08 16
