#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 13.75 - 14.25
#HM   Stats: 8.126470e+13 (median) + 1.780881e+13  / - 2.447060e+13
#SM   Stats: 3.101730e+11 (median) + 4.188050e+11  / - 2.121867e+11
#VMP  Stats: 7.721100e+02 (median) + 5.222003e+01  / - 4.340997e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.851733e-11 (median) + 3.882115e-12  / - 3.813786e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
sfh 0.062373 0 0.48263 0 #avg: 0.0804383; avg_err: 0.0804383; sd: 0.179866; counts: 6
sfh 0.064623 0 5.2135 0 #avg: 0.868917; avg_err: 0.868917; sd: 1.94296; counts: 6
sfh 0.066873 0.168784 38.7801 0.168784 #avg: 6.56002; avg_err: 6.47786; sd: 14.4849; counts: 6
sfh 0.069123 0.215234 20.9191 0.215234 #avg: 3.69447; avg_err: 3.48884; sd: 7.80129; counts: 6
sfh 0.071373 0.89563 4.01829 0.89563 #avg: 1.28304; avg_err: 0.739288; sd: 1.6531; counts: 6
sfh 0.073623 0.697714 0.932026 0.668867 #avg: 0.769817; avg_err: 0.250395; sd: 0.559901; counts: 6
sfh 0.075873 1.09646 0.92688 0.946021 #avg: 0.963198; avg_err: 0.268285; sd: 0.599904; counts: 6
sfh 0.078123 1.70755 0.83226 1.2615 #avg: 1.5152; avg_err: 0.320367; sd: 0.716361; counts: 6
sfh 0.080373 3.31856 0.54971 2.42956 #avg: 2.57038; avg_err: 0.480569; sd: 1.07459; counts: 6
sfh 0.082623 2.59697 2.99019 1.6148 #avg: 2.98869; avg_err: 0.642471; sd: 1.43661; counts: 6
sfh 0.085998 3.59219 3.01573 2.15592 #avg: 3.49097; avg_err: 0.774837; sd: 1.73259; counts: 6
sfh 0.089373 5.07666 1.81282 2.66689 #avg: 4.29786; avg_err: 0.870908; sd: 1.94741; counts: 6
sfh 0.092748 5.78557 5.10973 4.11308 #avg: 5.45886; avg_err: 1.4161; sd: 3.1665; counts: 6
sfh 0.096123 8.52384 4.86886 6.69868 #avg: 6.81097; avg_err: 1.78121; sd: 3.9829; counts: 6
sfh 0.099498 8.18496 10.8181 5.67557 #avg: 8.35419; avg_err: 2.47033; sd: 5.52382; counts: 6
sfh 0.102873 10.3917 6.8408 6.1118 #avg: 10.4802; avg_err: 2.17621; sd: 4.86616; counts: 6
sfh 0.106248 14.8128 20.5587 11.2073 #avg: 14.5214; avg_err: 4.77281; sd: 10.6723; counts: 6
sfh 0.109623 13.6989 17.4962 11.8574 #avg: 14.6789; avg_err: 4.71766; sd: 10.549; counts: 6
sfh 0.112998 18.0611 11.7556 15.9549 #avg: 16.0414; avg_err: 4.665; sd: 10.4313; counts: 6
sfh 0.116373 17.226 40.7032 14.5835 #avg: 22.2927; avg_err: 8.56725; sd: 19.1569; counts: 6
sfh 0.119748 18.1447 61.9955 14.4358 #avg: 30.887; avg_err: 13.4872; sd: 30.1584; counts: 6
sfh 0.123123 22.5708 68.6042 16.5796 #avg: 36.568; avg_err: 16.1697; sd: 36.1565; counts: 6
sfh 0.126498 28.3552 64.4885 21.6215 #avg: 33.0617; avg_err: 13.9229; sd: 31.1325; counts: 6
sfh 0.129873 28.3536 92.5464 20.1437 #avg: 38.2263; avg_err: 17.3285; sd: 38.7477; counts: 6
sfh 0.133248 33.2118 130.044 23.6162 #avg: 47.1733; avg_err: 23.9948; sd: 53.654; counts: 6
sfh 0.136623 39.998 162.246 31.4375 #avg: 52.9884; avg_err: 30.4323; sd: 68.0487; counts: 6
sfh 0.141685 43.1982 113.092 37.8049 #avg: 49.7351; avg_err: 22.4742; sd: 50.2539; counts: 6
