#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 10.25 - 10.75
#HM   Stats: 2.963240e+10 (median) + 1.457350e+10  / - 8.897100e+09
#SM   Stats: 2.979940e+07 (median) + 5.362200e+07  / - 1.995410e+07
#VMP  Stats: 7.550000e+01 (median) + 1.201000e+01  / - 1.072000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.028330e-09 (median) + 1.189336e-09  / - 5.236106e-10
sfh 0.055623 0 0 0 #avg: 1.82646e-07; avg_err: 1.82165e-07; sd: 0.000172716; counts: 898944
sfh 0.060123 0 0 0 #avg: 1.17733e-06; avg_err: 1.01315e-06; sd: 0.000960597; counts: 898944
sfh 0.062373 0 0 0 #avg: 5.08123e-06; avg_err: 2.92548e-06; sd: 0.00277373; counts: 898944
sfh 0.064623 0 0 0 #avg: 3.18385e-05; avg_err: 2.35187e-05; sd: 0.0222987; counts: 898944
sfh 0.066873 0 0 0 #avg: 3.73992e-05; avg_err: 1.80515e-05; sd: 0.0171151; counts: 898944
sfh 0.069123 0 0 0 #avg: 5.36596e-05; avg_err: 1.45632e-05; sd: 0.0138078; counts: 898944
sfh 0.071373 0 0 0 #avg: 8.65628e-05; avg_err: 1.05289e-05; sd: 0.00998268; counts: 898944
sfh 0.073623 0 0 0 #avg: 0.000171176; avg_err: 1.71106e-05; sd: 0.016223; counts: 898944
sfh 0.075873 0 0 0 #avg: 0.000323792; avg_err: 3.29142e-05; sd: 0.0312068; counts: 898944
sfh 0.078123 0 0 0 #avg: 0.000475624; avg_err: 2.46906e-05; sd: 0.0234098; counts: 898944
sfh 0.080373 0 0 0 #avg: 0.000726393; avg_err: 2.95854e-05; sd: 0.0280507; counts: 898944
sfh 0.082623 0 0 0 #avg: 0.000954658; avg_err: 2.90174e-05; sd: 0.0275122; counts: 898944
sfh 0.085998 0 0 0 #avg: 0.00163442; avg_err: 4.11929e-05; sd: 0.039056; counts: 898944
sfh 0.089373 0 0 0 #avg: 0.00242153; avg_err: 4.53118e-05; sd: 0.0429613; counts: 898944
sfh 0.092748 0 0 0 #avg: 0.00342773; avg_err: 6.05936e-05; sd: 0.0574504; counts: 898944
sfh 0.096123 0 0 0 #avg: 0.00461207; avg_err: 6.38432e-05; sd: 0.0605314; counts: 898944
sfh 0.099498 0 0 0 #avg: 0.00589697; avg_err: 6.97872e-05; sd: 0.0661671; counts: 898944
sfh 0.102873 0 0 0 #avg: 0.00721315; avg_err: 6.61935e-05; sd: 0.0627598; counts: 898944
sfh 0.106248 0 0.000528042 0 #avg: 0.00862015; avg_err: 6.60249e-05; sd: 0.0625999; counts: 898944
sfh 0.109623 0 0.00345958 0 #avg: 0.0101942; avg_err: 7.28682e-05; sd: 0.0690882; counts: 898944
sfh 0.112998 0 0.00748368 0 #avg: 0.0116217; avg_err: 7.80543e-05; sd: 0.0740053; counts: 898944
sfh 0.116373 0 0.0108972 0 #avg: 0.012809; avg_err: 7.83724e-05; sd: 0.0743069; counts: 898944
sfh 0.119748 0 0.0136786 0 #avg: 0.0140343; avg_err: 8.18116e-05; sd: 0.0775677; counts: 898944
sfh 0.123123 0 0.0163618 0 #avg: 0.0153099; avg_err: 8.22293e-05; sd: 0.0779638; counts: 898944
sfh 0.126498 0 0.0192568 0 #avg: 0.016745; avg_err: 8.38379e-05; sd: 0.0794889; counts: 898944
sfh 0.129873 0 0.0220411 0 #avg: 0.0182077; avg_err: 8.63086e-05; sd: 0.0818315; counts: 898944
sfh 0.133248 0.000492553 0.024615 0.000492553 #avg: 0.0197664; avg_err: 9.04154e-05; sd: 0.0857252; counts: 898944
sfh 0.136623 0.00117086 0.0267059 0.00117086 #avg: 0.0212282; avg_err: 9.31751e-05; sd: 0.0883417; counts: 898944
sfh 0.141685 0.00216559 0.0299017 0.00216559 #avg: 0.0230473; avg_err: 9.09839e-05; sd: 0.0862642; counts: 898944
sfh 0.146748 0.00327569 0.0326096 0.00327569 #avg: 0.0247882; avg_err: 8.884e-05; sd: 0.0842316; counts: 898944
sfh 0.15181 0.00446721 0.0350377 0.00446721 #avg: 0.0263134; avg_err: 8.6643e-05; sd: 0.0821485; counts: 898944
sfh 0.156873 0.00573362 0.0366785 0.00573362 #avg: 0.0275839; avg_err: 8.43872e-05; sd: 0.0800097; counts: 898944
sfh 0.161935 0.00690074 0.0378629 0.00690074 #avg: 0.0288027; avg_err: 8.45298e-05; sd: 0.0801449; counts: 898944
sfh 0.166998 0.0080263 0.0391516 0.0079785 #avg: 0.029788; avg_err: 8.11153e-05; sd: 0.0769075; counts: 898944
sfh 0.17206 0.0088715 0.0397889 0.00860606 #avg: 0.0302858; avg_err: 7.88583e-05; sd: 0.0747676; counts: 898944
sfh 0.177123 0.00948295 0.0407085 0.00894495 #avg: 0.0307541; avg_err: 7.65004e-05; sd: 0.072532; counts: 898944
sfh 0.182185 0.0101946 0.041719 0.00938224 #avg: 0.0313264; avg_err: 7.48832e-05; sd: 0.0709987; counts: 898944
sfh 0.187248 0.0107401 0.0422229 0.00967244 #avg: 0.0315659; avg_err: 7.27982e-05; sd: 0.0690219; counts: 898944
sfh 0.19231 0.011319 0.0424882 0.0100034 #avg: 0.0316408; avg_err: 7.04405e-05; sd: 0.0667864; counts: 898944
sfh 0.197373 0.0118411 0.0421459 0.0102918 #avg: 0.0317048; avg_err: 6.85656e-05; sd: 0.0650088; counts: 898944
sfh 0.202435 0.0123876 0.0417611 0.0106012 #avg: 0.0316253; avg_err: 6.61786e-05; sd: 0.0627457; counts: 898944
sfh 0.207498 0.0129122 0.0412327 0.0108829 #avg: 0.0314485; avg_err: 6.46581e-05; sd: 0.061304; counts: 898944
sfh 0.21256 0.0133716 0.0408185 0.0111062 #avg: 0.0313001; avg_err: 6.33026e-05; sd: 0.0600188; counts: 898944
sfh 0.217623 0.0137817 0.0400819 0.0112771 #avg: 0.0310802; avg_err: 6.20613e-05; sd: 0.0588419; counts: 898944
sfh 0.222685 0.0141768 0.0393404 0.0115175 #avg: 0.030844; avg_err: 5.94399e-05; sd: 0.0563565; counts: 898944
sfh 0.227748 0.0144956 0.0386603 0.0116768 #avg: 0.0306037; avg_err: 5.59475e-05; sd: 0.0530453; counts: 898944
sfh 0.23281 0.0147968 0.0381393 0.0118477 #avg: 0.0305058; avg_err: 5.46912e-05; sd: 0.0518542; counts: 898944
sfh 0.237873 0.0150072 0.0371889 0.0118709 #avg: 0.030141; avg_err: 5.29416e-05; sd: 0.0501953; counts: 898944
sfh 0.242935 0.0151835 0.036218 0.0118473 #avg: 0.029711; avg_err: 5.104e-05; sd: 0.0483924; counts: 898944
sfh 0.247998 0.0155344 0.0354575 0.01199 #avg: 0.0295521; avg_err: 4.95563e-05; sd: 0.0469856; counts: 898944
sfh 0.25306 0.0155905 0.0343688 0.0118505 #avg: 0.0290874; avg_err: 4.87609e-05; sd: 0.0462315; counts: 898944
sfh 0.258123 0.0155817 0.0337026 0.011685 #avg: 0.0287851; avg_err: 5.06169e-05; sd: 0.0479912; counts: 898944
sfh 0.263185 0.0156708 0.0327813 0.0116052 #avg: 0.0283978; avg_err: 5.55105e-05; sd: 0.052631; counts: 898944
sfh 0.268248 0.0155709 0.0318517 0.0113527 #avg: 0.0278903; avg_err: 5.15397e-05; sd: 0.0488661; counts: 898944
sfh 0.27331 0.0155502 0.0311328 0.0111903 #avg: 0.0275824; avg_err: 4.41775e-05; sd: 0.0418858; counts: 898944
sfh 0.278373 0.015472 0.0304899 0.0110031 #avg: 0.0272201; avg_err: 4.27586e-05; sd: 0.0405405; counts: 898944
sfh 0.283435 0.0154874 0.0302647 0.0109125 #avg: 0.0271758; avg_err: 4.24193e-05; sd: 0.0402189; counts: 898944
sfh 0.288498 0.0153818 0.0296923 0.0107043 #avg: 0.0268516; avg_err: 4.21545e-05; sd: 0.0399678; counts: 898944
sfh 0.29356 0.0153675 0.029114 0.0105723 #avg: 0.0266159; avg_err: 4.14782e-05; sd: 0.0393265; counts: 898944
sfh 0.298623 0.0152744 0.0286777 0.010415 #avg: 0.0263564; avg_err: 4.09281e-05; sd: 0.038805; counts: 898944
sfh 0.303685 0.0151833 0.0283051 0.0102552 #avg: 0.0261458; avg_err: 4.0272e-05; sd: 0.038183; counts: 898944
sfh 0.308748 0.0150492 0.0279345 0.0100752 #avg: 0.0259182; avg_err: 3.95685e-05; sd: 0.037516; counts: 898944
