#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 14.25 - 14.75
#HM   Stats: 2.177940e+14 (median) + 0.000000e+00  / - 0.000000e+00
#SM   Stats: 1.070280e+11 (median) + 0.000000e+00  / - 0.000000e+00
#VMP  Stats: 7.853000e+02 (median) + 0.000000e+00  / - 0.000000e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.122453e-11 (median) + 0.000000e+00  / - 0.000000e+00
sfh 0.217623 4.56885e-10 0 0 #avg: 4.56885e-10; avg_err: 4.56885e-10; sd: 0; counts: 1
sfh 0.222685 5.04162e-10 0 0 #avg: 5.04162e-10; avg_err: 5.04162e-10; sd: 0; counts: 1
sfh 0.227748 4.0089e-10 0 0 #avg: 4.0089e-10; avg_err: 4.0089e-10; sd: 0; counts: 1
sfh 0.23281 3.94117e-10 0 0 #avg: 3.94117e-10; avg_err: 3.94117e-10; sd: 0; counts: 1
sfh 0.237873 2.88465e-10 0 0 #avg: 2.88465e-10; avg_err: 2.88465e-10; sd: 0; counts: 1
sfh 0.242935 3.00492e-10 0 0 #avg: 3.00492e-10; avg_err: 3.00492e-10; sd: 0; counts: 1
sfh 0.247998 2.14939e-10 0 0 #avg: 2.14939e-10; avg_err: 2.14939e-10; sd: 0; counts: 1
sfh 0.25306 2.39501e-10 0 0 #avg: 2.39501e-10; avg_err: 2.39501e-10; sd: 0; counts: 1
sfh 0.258123 2.76259e-10 0 0 #avg: 2.76259e-10; avg_err: 2.76259e-10; sd: 0; counts: 1
sfh 0.263185 4.97273e-10 0 0 #avg: 4.97273e-10; avg_err: 4.97273e-10; sd: 0; counts: 1
sfh 0.268248 8.32307e-10 0 0 #avg: 8.32307e-10; avg_err: 8.32307e-10; sd: 0; counts: 1
sfh 0.27331 9.39287e-10 0 0 #avg: 9.39287e-10; avg_err: 9.39287e-10; sd: 0; counts: 1
sfh 0.278373 8.8379e-10 0 0 #avg: 8.8379e-10; avg_err: 8.8379e-10; sd: 0; counts: 1
sfh 0.283435 6.88774e-10 0 0 #avg: 6.88774e-10; avg_err: 6.88774e-10; sd: 0; counts: 1
