#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 12.75 - 13.25
#HM   Stats: 8.208820e+12 (median) + 4.382380e+12  / - 2.004410e+12
#SM   Stats: 1.199220e+11 (median) + 8.771500e+10  / - 5.747030e+10
#VMP  Stats: 3.016800e+02 (median) + 4.524002e+01  / - 3.088000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.431073e-11 (median) + 3.335930e-11  / - 1.133882e-11
sfh 0.222685 11.2804 32.5814 8.62432 #avg: 26.2899; avg_err: 0.706298; sd: 48.0231; counts: 4624
sfh 0.227748 12.1044 34.9001 9.25577 #avg: 28.0111; avg_err: 0.718956; sd: 48.8837; counts: 4624
sfh 0.23281 13.0041 37.4136 10.0033 #avg: 29.7753; avg_err: 0.766202; sd: 52.0961; counts: 4624
sfh 0.237873 14.1721 39.2373 11.0794 #avg: 31.2525; avg_err: 0.781894; sd: 53.163; counts: 4624
sfh 0.242935 15.0408 41.6463 11.7747 #avg: 33.4226; avg_err: 0.830802; sd: 56.4884; counts: 4624
sfh 0.247998 15.9956 45.7579 12.576 #avg: 35.5951; avg_err: 0.884284; sd: 60.1248; counts: 4624
sfh 0.25306 17.0269 49.5647 13.3893 #avg: 37.5832; avg_err: 0.907241; sd: 61.6857; counts: 4624
sfh 0.258123 17.5457 54.6314 13.7447 #avg: 39.8782; avg_err: 0.931848; sd: 63.3588; counts: 4624
sfh 0.263185 18.835 58.405 14.7334 #avg: 42.331; avg_err: 0.968838; sd: 65.8739; counts: 4624
sfh 0.268248 20.4316 61.0938 16.097 #avg: 44.7223; avg_err: 1.05006; sd: 71.3961; counts: 4624
sfh 0.27331 21.9333 62.1345 17.3978 #avg: 46.5417; avg_err: 1.04889; sd: 71.3171; counts: 4624
sfh 0.278373 23.0714 66.3482 18.4846 #avg: 48.2764; avg_err: 1.04273; sd: 70.8981; counts: 4624
sfh 0.283435 25.3921 69.7033 20.543 #avg: 49.7938; avg_err: 0.989407; sd: 67.2724; counts: 4624
sfh 0.288498 26.9665 72.3003 21.9957 #avg: 51.6758; avg_err: 1.0197; sd: 69.3319; counts: 4624
sfh 0.29356 28.7245 75.4335 23.5413 #avg: 53.6964; avg_err: 1.04415; sd: 70.9942; counts: 4624
sfh 0.298623 29.8925 77.1265 24.6209 #avg: 55.3884; avg_err: 1.05742; sd: 71.897; counts: 4624
sfh 0.303685 31.9446 79.7924 26.5546 #avg: 57.5951; avg_err: 1.0996; sd: 74.7647; counts: 4624
sfh 0.308748 32.6549 79.6971 27.1366 #avg: 59.2036; avg_err: 1.11012; sd: 75.4802; counts: 4624
sfh 0.31381 33.8817 80.6873 28.1426 #avg: 60.1618; avg_err: 1.1123; sd: 75.628; counts: 4624
sfh 0.318873 36.6451 79.2999 30.8025 #avg: 61.4371; avg_err: 1.11213; sd: 75.6166; counts: 4624
sfh 0.323935 37.8567 78.5943 32.0945 #avg: 61.9539; avg_err: 1.09858; sd: 74.695; counts: 4624
sfh 0.328997 39.7012 77.1058 33.7359 #avg: 62.76; avg_err: 1.07617; sd: 73.1718; counts: 4624
