#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
41.8004 0 0 0 0 0 0 0.096616 0.0210013 0.0805119 0.0544834 0.0643112 17
61.5514 0 0 0 0 0 0 0.162923 0.073993 0.0996277 0.210789 0.0209017 3
77.1842 0.125 0.125 0.125 0 0 0 0.213991 0.0540793 0.189357 0.200656 0.0899953 8
101.487 0.03125 0.03125 0.03125 0 0 0 0.163426 0.0268918 0.11821 0.246749 0.0776025 32
130.196 0.032967 0.032967 0.0132715 0 0 0 0.145913 0.0101232 0.105989 0.164414 0.0666172 182
162.671 0.0511983 0.0511983 0.00727831 0 0 0 0.143096 0.0043006 0.111909 0.134276 0.074474 918
202.664 0.0413895 0.0424982 0.00398284 0 0 0 0.155871 0.00250428 0.117219 0.168052 0.0795704 2706
251.946 0.0405278 0.0414703 0.00313253 0 0 0 0.176309 0.00212376 0.13858 0.178245 0.0995908 4244
314.512 0.0437653 0.0440098 0.00322628 0 0 0 0.198287 0.00218537 0.16966 0.169229 0.107957 4090
391.972 0.0328358 0.0328358 0.00368083 0 0 0 0.224898 0.00291511 0.203013 0.166962 0.117613 2345
491.527 0.029029 0.029029 0.0053144 0 0 0 0.243801 0.00437269 0.225779 0.157122 0.137981 999
616.65 0.0109091 0.0109091 0.00627534 0 0 0 0.25939 0.00842823 0.254672 0.153784 0.146105 275
766.246 0 0 0 0 0 0 0.270962 0.0175114 0.260899 0.178894 0.13666 62
971.228 0 0 0 0 0 0 0.204076 0.0456479 0.274741 0.0181701 0.194376 8
