#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 8.25 - 8.75
#HM   Stats: 2.066180e+11 (median) + 2.217640e+11  / - 8.742700e+10
#SM   Stats: 3.940360e+08 (median) + 1.247730e+08  / - 1.412830e+08
#VMP  Stats: 1.261600e+02 (median) + 3.934000e+01  / - 1.132001e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.771683e-12 (median) + 2.916826e-12  / - 1.180200e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 135
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 135
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 135
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 135
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 135
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 135
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 135
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 135
sfh 0.075873 0 0 0 #avg: 0.000116131; avg_err: 0.000116131; sd: 0.00134431; counts: 135
sfh 0.078123 0 0 0 #avg: 0.000735833; avg_err: 0.000379269; sd: 0.00439035; counts: 135
sfh 0.080373 0 0 0 #avg: 0.00295745; avg_err: 0.00189717; sd: 0.0219613; counts: 135
sfh 0.082623 0 0 0 #avg: 0.00380856; avg_err: 0.00167718; sd: 0.0194148; counts: 135
sfh 0.085998 0 0 0 #avg: 0.0163036; avg_err: 0.00760597; sd: 0.0880455; counts: 135
sfh 0.089373 0 0 0 #avg: 0.0171246; avg_err: 0.00594465; sd: 0.0688143; counts: 135
sfh 0.092748 0 0.00333792 0 #avg: 0.0251224; avg_err: 0.00803993; sd: 0.093069; counts: 135
sfh 0.096123 0 0.0240456 0 #avg: 0.0274979; avg_err: 0.00806549; sd: 0.0933648; counts: 135
sfh 0.099498 0 0.0360812 0 #avg: 0.0348661; avg_err: 0.0106024; sd: 0.122732; counts: 135
sfh 0.102873 0 0.0455972 0 #avg: 0.0365407; avg_err: 0.0129718; sd: 0.150159; counts: 135
sfh 0.106248 0 0.074758 0 #avg: 0.0439847; avg_err: 0.0140602; sd: 0.162758; counts: 135
sfh 0.109623 0.00152679 0.077131 0.00152679 #avg: 0.0550557; avg_err: 0.0179705; sd: 0.208024; counts: 135
sfh 0.112998 0.003934 0.0837601 0.003934 #avg: 0.0655589; avg_err: 0.0194361; sd: 0.224989; counts: 135
sfh 0.116373 0.00722161 0.0756825 0.00722161 #avg: 0.0616408; avg_err: 0.0163641; sd: 0.189428; counts: 135
sfh 0.119748 0.00705029 0.0765594 0.00705029 #avg: 0.0441206; avg_err: 0.00760766; sd: 0.088065; counts: 135
sfh 0.123123 0.0123417 0.0757999 0.0123417 #avg: 0.0481729; avg_err: 0.00892432; sd: 0.103306; counts: 135
sfh 0.126498 0.0151902 0.0645304 0.0151902 #avg: 0.0545558; avg_err: 0.0103022; sd: 0.119257; counts: 135
sfh 0.129873 0.0214545 0.0950305 0.0214545 #avg: 0.0728625; avg_err: 0.0127493; sd: 0.147583; counts: 135
sfh 0.133248 0.0215487 0.123602 0.0215212 #avg: 0.101354; avg_err: 0.0198371; sd: 0.229631; counts: 135
sfh 0.136623 0.0260075 0.114312 0.0251919 #avg: 0.099207; avg_err: 0.0174333; sd: 0.201805; counts: 135
sfh 0.141685 0.042376 0.138031 0.0411561 #avg: 0.110027; avg_err: 0.0188212; sd: 0.217872; counts: 135
sfh 0.146748 0.0411011 0.160668 0.0396987 #avg: 0.143286; avg_err: 0.0259209; sd: 0.300056; counts: 135
sfh 0.15181 0.0432062 0.161417 0.0404802 #avg: 0.154152; avg_err: 0.029388; sd: 0.34019; counts: 135
sfh 0.156873 0.0430939 0.205395 0.0403997 #avg: 0.163939; avg_err: 0.0291561; sd: 0.337507; counts: 135
sfh 0.161935 0.0535043 0.161835 0.0487082 #avg: 0.179124; avg_err: 0.0359654; sd: 0.41633; counts: 135
sfh 0.166998 0.0518776 0.216493 0.046441 #avg: 0.159395; avg_err: 0.0353456; sd: 0.409155; counts: 135
sfh 0.17206 0.0604815 0.184226 0.0532905 #avg: 0.165187; avg_err: 0.0309392; sd: 0.358147; counts: 135
sfh 0.177123 0.059655 0.207443 0.0527066 #avg: 0.173237; avg_err: 0.0267909; sd: 0.310127; counts: 135
sfh 0.182185 0.0558068 0.206045 0.0493195 #avg: 0.181452; avg_err: 0.0309029; sd: 0.357727; counts: 135
sfh 0.187248 0.0589749 0.269546 0.0503236 #avg: 0.20196; avg_err: 0.0388162; sd: 0.44933; counts: 135
sfh 0.19231 0.0618418 0.238755 0.0528577 #avg: 0.203891; avg_err: 0.0366762; sd: 0.424558; counts: 135
sfh 0.197373 0.0675353 0.271741 0.0567868 #avg: 0.182905; avg_err: 0.0275773; sd: 0.31923; counts: 135
sfh 0.202435 0.0652897 0.26459 0.0582963 #avg: 0.186631; avg_err: 0.0314403; sd: 0.363947; counts: 135
sfh 0.207498 0.0742705 0.223739 0.0656681 #avg: 0.181313; avg_err: 0.0258082; sd: 0.298751; counts: 135
sfh 0.21256 0.073291 0.205716 0.0662939 #avg: 0.170551; avg_err: 0.0263321; sd: 0.304816; counts: 135
sfh 0.217623 0.0639577 0.181983 0.0624432 #avg: 0.148297; avg_err: 0.0207587; sd: 0.240299; counts: 135
