#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
46.995 1.09188e+09 1.9165e+07 8.29125e+08 9.12884e+08 3.69268e+08 1.41452e+09 2.65587e+07 1.05122e+09 1.27486e+09 4.79583e+08 1723
62.6875 1.06e+09 2.37507e+07 8.00274e+08 9.41735e+08 3.48983e+08 1.19516e+09 2.81502e+07 9.02545e+08 9.99473e+08 4.08602e+08 1118
79.6486 1.15824e+09 2.78148e+07 9.12884e+08 9.45742e+08 4.18941e+08 1.13462e+09 3.29665e+07 8.29125e+08 7.97294e+08 3.35182e+08 875
99.3524 1.2706e+09 3.59652e+07 9.60049e+08 1.1312e+09 4.66106e+08 1.26723e+09 4.19969e+07 9.41735e+08 1.0327e+09 4.47792e+08 669
125.216 1.42159e+09 4.93967e+07 1.13248e+09 1.25854e+09 6.38534e+08 1.42261e+09 6.22758e+07 1.05478e+09 1.2713e+09 5.60837e+08 462
158.289 1.7436e+09 8.01534e+07 1.2713e+09 1.7684e+09 6.7941e+08 1.78975e+09 9.95525e+07 1.16825e+09 1.88064e+09 6.74308e+08 302
197.887 2.28734e+09 1.32638e+08 1.39649e+09 2.98865e+09 7.91253e+08 2.12858e+09 1.34034e+08 1.39649e+09 2.51277e+09 7.54572e+08 222
249.306 2.71237e+09 2.04063e+08 1.85802e+09 3.68135e+09 1.25278e+09 2.32932e+09 1.51395e+08 1.72713e+09 2.77544e+09 1.15977e+09 152
312.139 3.10744e+09 3.19564e+08 1.8907e+09 4.25265e+09 1.17374e+09 2.05778e+09 1.97399e+08 1.75492e+09 2.3781e+09 1.18973e+09 68
382.478 3.19584e+09 7.18537e+08 2.09125e+09 6.61737e+09 1.37429e+09 1.50063e+09 2.70239e+08 8.29125e+08 2.28636e+09 3.79579e+08 23
519.865 5.40789e+09 1.25029e+09 5.25949e+09 5.31299e+09 3.63307e+09 1.14631e+09 2.76736e+08 7.1696e+08 1.95838e+09 3.57418e+08 10
642.88 8.85906e+09 8.85906e+09 8.85906e+09 0 0 1.39649e+09 1.39649e+09 1.39649e+09 0 0 1
