#For SF galaxies, QTime is the duration of the last period when they were quenched.
#vmpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
46.1243 6.64088e-05 7.51907e-06 152788 9176.31 0 0 0 0.277231 6.99568e-05 0.269105 0.0851909 0.0690394 0.364054 6.2681e-05 0.369185 0.0633678 0.0737005 0.462512 2.98946e-05 0.470912 0.0171564 0.0322451 1174543
62.4856 1.91672e-05 5.31598e-06 227425 13070.8 0 0 0 0.233183 7.8348e-05 0.222795 0.0712912 0.0511103 0.342105 7.58502e-05 0.345407 0.0572326 0.0654213 0.460037 3.41747e-05 0.466724 0.0162419 0.0288105 678242
79.4693 4.49413e-05 1.0049e-05 659426 32508 0 0 0 0.217725 9.17457e-05 0.209178 0.0643566 0.0487282 0.341261 8.80589e-05 0.344437 0.0538782 0.0615854 0.462856 3.54127e-05 0.468253 0.0141303 0.0243641 445025
98.4672 0.000211388 2.82449e-05 2.03186e+06 73103.3 0 0 0 0.223801 0.000119297 0.216696 0.0635644 0.0510747 0.348174 0.000105389 0.351641 0.0487252 0.057002 0.466351 3.97103e-05 0.470985 0.012257 0.0210666 264916
123.938 0.00518042 0.000209206 8.70227e+06 249647 0 0 0 0.241396 0.000180583 0.235485 0.0641804 0.0538522 0.370821 0.000149015 0.375729 0.0446039 0.0557482 0.475995 4.63389e-05 0.479723 0.00853309 0.0152546 117751
156.011 0.103454 0.00135427 9.4847e+07 1.52885e+06 0 0 0 0.27031 0.000280489 0.267506 0.0642812 0.0602845 0.399073 0.000199252 0.40696 0.0306303 0.0464937 0.476317 0.000109537 0.483098 0.00699756 0.0154505 50573
196.236 0.493042 0.00341091 5.87568e+08 5.60329e+06 0 1.40892e+09 0 0.274937 0.00042691 0.273731 0.0624059 0.061956 0.372881 0.000371428 0.381121 0.0418205 0.0594803 0.438092 0.00035117 0.454792 0.0279059 0.0667651 21485
247.049 0.857209 0.00375305 1.48402e+09 1.1126e+07 1.40892e+09 1.14003e+09 1.08723e+09 0.252393 0.000646035 0.250346 0.0595132 0.0578959 0.325793 0.000620928 0.327982 0.0532475 0.0598282 0.377419 0.000657047 0.38035 0.0605841 0.0637463 8691
310.538 0.967724 0.00297419 2.22205e+09 1.70849e+07 2.25261e+09 9.36902e+08 1.08023e+09 0.228328 0.000925447 0.224757 0.0553914 0.04998 0.291404 0.000980401 0.29038 0.0538968 0.0540461 0.337213 0.00104948 0.336114 0.0620634 0.0581736 3532
390.105 0.985714 0.00334436 2.81926e+09 2.57567e+07 2.83824e+09 8.21568e+08 8.87711e+08 0.20379 0.00141493 0.199105 0.0469013 0.0415542 0.263395 0.00160938 0.25753 0.0541769 0.0462023 0.311246 0.00180986 0.303719 0.0693585 0.0516307 1260
490.151 0.981233 0.00703573 3.11397e+09 4.86111e+07 3.18951e+09 8.51102e+08 9.36902e+08 0.194428 0.00276945 0.189519 0.0456188 0.0427655 0.253117 0.00348344 0.244466 0.0652219 0.0519214 0.307803 0.00391052 0.297521 0.0938012 0.0600167 373
616.896 1 0 3.41459e+09 8.23548e+07 3.52816e+09 7.53685e+08 9.06235e+08 0.181571 0.00434291 0.177039 0.0322767 0.0348005 0.252045 0.00763638 0.235493 0.0751278 0.0498265 0.314409 0.00829223 0.297643 0.116318 0.0719573 103
756.353 1 0 3.2536e+09 2.15062e+08 3.32655e+09 1.01391e+09 7.0463e+08 0.181922 0.0102844 0.182122 0.0261737 0.0437683 0.238929 0.014445 0.22939 0.0383354 0.057466 0.305521 0.0158736 0.28882 0.10867 0.0546875 26
891.55 1 1 4.28184e+09 4.28184e+09 4.28184e+09 0 0 0.184068 0.184068 0.184068 0 0 0.200177 0.200177 0.200177 0 0 0.332017 0.332017 0.332017 0 0 1
1149.47 1 1 3.78915e+09 3.78915e+09 3.78915e+09 0 0 0.193678 0.193678 0.193678 0 0 0.385112 0.385112 0.385112 0 0 0.477491 0.477491 0.477491 0 0 1
