#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
46.2696 0.106417 0.122854 0.000396101 0 0 0 0.049553 0.000100612 0 0.119023 0 917438
62.4713 0.113552 0.130245 0.000570699 0 0 0 0.0617266 0.000148764 0 0.154652 0 461209
79.1043 0.129987 0.146713 0.000753521 0 0 0 0.0838583 0.000217436 0.0214313 0.184479 0.0214313 284282
98.6225 0.164203 0.186336 0.0010878 0 1 0 0.11566 0.000327362 0.0636238 0.202939 0.0636238 168438
124.135 0.22515 0.264152 0.00186331 0 1 0 0.159269 0.000549036 0.123763 0.214037 0.123763 80715
156.144 0.333466 0.425045 0.00349083 0 1 0 0.234578 0.000950952 0.223836 0.216534 0.214565 37596
196.571 0.490605 0.699116 0.00652431 0 2 0 0.357758 0.00165024 0.374351 0.213532 0.28288 17083
247.338 0.558928 0.8539 0.0109663 1 1 1 0.516072 0.00246248 0.560922 0.163973 0.289685 7577
311.164 0.464997 0.675619 0.0149146 0 2 0 0.655556 0.00301072 0.703119 0.100204 0.205162 3314
391.679 0.369197 0.492999 0.0202585 0 1 0 0.73061 0.00415558 0.765041 0.0849992 0.136375 1357
491.338 0.301708 0.383302 0.028336 0 1 0 0.780883 0.00537229 0.801064 0.0725826 0.102782 527
620.108 0.280952 0.371429 0.0465312 0 1 0 0.798305 0.00837264 0.823898 0.0687724 0.110654 210
767.545 0.292308 0.353846 0.0773067 0 1 0 0.826612 0.0140129 0.855033 0.0533782 0.0989608 65
961.47 0.0909091 0.0909091 0.0909091 0 0 0 0.84536 0.0168547 0.848904 0.0701825 0.0467473 11
1234.8 0 0 0 0 0 0 0.897917 0.897917 0.897917 0 0 1
