#For SF galaxies, QTime is the duration of the last period when they were quenched.
#vmpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
44.5115 0.00715635 3.93253e-05 8.61989e+07 166918 0 0 0 0.441401 5.64129e-05 0.431435 0.116152 0.101169 0.711172 4.37501e-05 0.714785 0.0842962 0.0943313 0.943469 1.44539e-05 0.949782 0.0185894 0.0305864 4594383
62.13 0.0100896 8.77208e-05 8.43796e+07 301724 0 0 0 0.375446 7.88028e-05 0.373125 0.085899 0.084843 0.701974 6.27777e-05 0.704753 0.0670606 0.0726913 0.943453 2.0666e-05 0.94748 0.0155566 0.022714 1297971
78.4319 0.0131138 0.000146637 1.16346e+08 546123 0 0 0 0.392152 0.000106391 0.390955 0.0757419 0.077156 0.7091 8.07688e-05 0.711601 0.0577596 0.0645288 0.94282 2.98468e-05 0.946526 0.014264 0.0201699 601883
98.5153 0.017984 0.000247379 1.83455e+08 1.04124e+06 0 0 0 0.421521 0.000147477 0.418769 0.071474 0.0698685 0.704849 0.000107211 0.705162 0.0522753 0.0544749 0.927427 5.80931e-05 0.932686 0.0190405 0.0276541 288590
123.827 0.0238414 0.000428213 3.18508e+08 2.16877e+06 0 7.0208e+08 0 0.435219 0.000208649 0.433349 0.0646301 0.0651923 0.649272 0.000166083 0.646252 0.0541651 0.0497577 0.873292 0.000145077 0.880863 0.0381064 0.054372 126922
155.798 0.0357991 0.000809662 5.89845e+08 4.83837e+06 0 1.30188e+09 0 0.410606 0.000300653 0.408015 0.0599622 0.0582321 0.571368 0.000274683 0.568314 0.0545815 0.0525367 0.787032 0.000319687 0.79072 0.0648937 0.0708681 52655
196.035 0.0771991 0.00183408 1.17484e+09 1.11294e+07 5.88031e+08 1.85606e+09 5.88031e+08 0.361821 0.000485843 0.3595 0.0594087 0.0598324 0.494756 0.000495497 0.490494 0.0631236 0.0592375 0.705104 0.00066338 0.708821 0.0856739 0.0961682 21179
246.854 0.131431 0.00373094 2.05816e+09 2.46814e+07 1.21925e+09 3.07911e+09 1.21925e+09 0.30604 0.000772875 0.303825 0.0611948 0.062426 0.420501 0.000876442 0.414357 0.0718566 0.0644757 0.635335 0.00144865 0.644131 0.122032 0.151723 8202
310.036 0.170484 0.00680376 2.81329e+09 4.62257e+07 1.94499e+09 3.78788e+09 1.46491e+09 0.264426 0.00121286 0.260487 0.0587681 0.0548941 0.366155 0.00142092 0.359707 0.0717545 0.0615903 0.569293 0.00266117 0.5513 0.17671 0.133096 3056
389.51 0.271914 0.0133131 3.6191e+09 8.48162e+07 3.00455e+09 3.88949e+09 2.28759e+09 0.235783 0.00175286 0.230965 0.0501947 0.0471493 0.329669 0.00215076 0.324946 0.0618453 0.0599681 0.502016 0.00403953 0.481053 0.142958 0.105352 1118
491.276 0.393162 0.0261089 3.57281e+09 1.33017e+08 3.28045e+09 3.03404e+09 2.45132e+09 0.217983 0.0032753 0.210896 0.0469798 0.0415579 0.309574 0.00369363 0.304219 0.0589076 0.0531634 0.471148 0.0060794 0.459801 0.0980497 0.0923993 351
610.832 0.568627 0.049281 4.41793e+09 2.59317e+08 4.50257e+09 2.80707e+09 3.22042e+09 0.202877 0.00466486 0.195429 0.042465 0.0282131 0.290124 0.00801902 0.28175 0.0444268 0.0334847 0.444003 0.00922576 0.43187 0.0886152 0.0646003 102
776.984 0.481481 0.0979908 3.76796e+09 4.51464e+08 3.62906e+09 2.85146e+09 2.48374e+09 0.18683 0.0094519 0.180831 0.0335318 0.0311815 0.277147 0.0142117 0.262386 0.0405657 0.0343717 0.476524 0.0233473 0.456181 0.108972 0.0777669 27
1017.8 0.8 0.2 3.25127e+09 5.53261e+08 3.1599e+09 1.34267e+09 1.62642e+09 0.175212 0.00993833 0.175881 0.0280759 0.0333613 0.268922 0.0185876 0.273206 0.0498571 0.053489 0.467334 0.0204254 0.478013 0.026184 0.088994 5
1227.55 0.666667 0.333333 3.10847e+09 1.63822e+09 3.76585e+09 1.79373e+09 3.76585e+09 0.205689 0.0267453 0.189858 0.0679961 0.0205015 0.296966 0.0316232 0.29682 0.0549912 0.0545544 0.556351 0.148568 0.509194 0.324801 0.18333 3
