#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
7.75055e+07 9.00935e+08 6.44568e+06 6.76918e+08 7.74881e+08 3.26469e+08 1.52458e+09 1.18065e+07 1.16825e+09 1.27584e+09 5.63017e+08 11780
1.57727e+08 9.40958e+08 1.10241e+07 6.84684e+08 8.26562e+08 3.34236e+08 1.51262e+09 1.97871e+07 1.05478e+09 1.38931e+09 4.49546e+08 4720
2.5099e+08 1.00944e+09 1.23532e+07 7.13623e+08 1.0009e+09 3.59622e+08 1.47174e+09 1.95835e+07 1.05478e+09 1.2713e+09 4.49546e+08 4389
3.99958e+08 1.06289e+09 1.2528e+07 7.91253e+08 9.89256e+08 4.31711e+08 1.52877e+09 1.94979e+07 1.16825e+09 1.27584e+09 5.63017e+08 4316
6.27957e+08 1.08428e+09 1.32393e+07 7.94287e+08 1.07079e+09 4.36896e+08 1.55084e+09 2.21788e+07 1.16825e+09 1.27584e+09 5.63017e+08 4231
9.94615e+08 1.11647e+09 1.4838e+07 8.03239e+08 1.06822e+09 4.40623e+08 1.61732e+09 2.36003e+07 1.26673e+09 1.29574e+09 6.61498e+08 3706
1.57755e+09 1.19322e+09 1.71663e+07 8.29125e+08 1.2394e+09 4.6033e+08 1.67594e+09 2.56951e+07 1.28215e+09 1.28032e+09 6.76918e+08 3252
2.50791e+09 1.19253e+09 1.84992e+07 8.36359e+08 1.23217e+09 4.70914e+08 1.68762e+09 2.72881e+07 1.28215e+09 1.39907e+09 6.76918e+08 2845
3.96729e+09 1.22354e+09 2.06094e+07 8.50454e+08 1.22554e+09 4.34802e+08 1.83442e+09 3.05086e+07 1.51125e+09 1.40861e+09 9.06013e+08 2594
6.27653e+09 1.30561e+09 2.32838e+07 8.65372e+08 1.3603e+09 4.15826e+08 1.89337e+09 3.31209e+07 1.51125e+09 1.52846e+09 8.34329e+08 2450
9.95173e+09 1.41597e+09 2.72924e+07 9.41735e+08 1.50959e+09 4.88708e+08 1.96404e+09 3.39799e+07 1.51125e+09 1.64866e+09 7.94287e+08 2143
1.58531e+10 1.49958e+09 3.06371e+07 9.82191e+08 1.64735e+09 5.25725e+08 2.11038e+09 3.76626e+07 1.62642e+09 1.8961e+09 9.0946e+08 2020
2.49222e+10 1.65665e+09 3.55051e+07 1.05478e+09 1.9533e+09 6.03489e+08 2.26293e+09 4.3367e+07 1.74201e+09 2.02384e+09 1.02505e+09 1948
3.93561e+10 1.86308e+09 4.05069e+07 1.26673e+09 2.27227e+09 7.88814e+08 2.37723e+09 4.49793e+07 1.85802e+09 2.39794e+09 1.14106e+09 1707
6.22831e+10 1.9209e+09 4.8317e+07 1.25748e+09 2.16118e+09 7.73355e+08 2.56999e+09 5.24847e+07 1.97444e+09 2.52813e+09 1.25748e+09 1440
9.69395e+10 2.01092e+09 6.14998e+07 1.28215e+09 2.50346e+09 7.93154e+08 2.58593e+09 6.56195e+07 1.97444e+09 2.65178e+09 1.25748e+09 934
1.48861e+11 2.25658e+09 1.09446e+08 1.39422e+09 2.95642e+09 8.10169e+08 2.60345e+09 1.04651e+08 1.97444e+09 3.02396e+09 1.14531e+09 352
2.24611e+11 2.40407e+09 2.73552e+08 1.74201e+09 3.35638e+09 1.08588e+09 2.36924e+09 2.62181e+08 1.6645e+09 2.46852e+09 9.4652e+08 55
3.86115e+11 1.10341e+09 1.64053e+08 1.08462e+09 3.11866e+08 2.55496e+08 2.46742e+09 4.43525e+08 2.68123e+09 4.24858e+08 1.06626e+09 3
