#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 14.25 - 14.75
#HM   Stats: 2.155880e+14 (median) + 0.000000e+00  / - 0.000000e+00
#SM   Stats: 4.065920e+11 (median) + 0.000000e+00  / - 0.000000e+00
#VMP  Stats: 9.969100e+02 (median) + 0.000000e+00  / - 0.000000e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.575792e-11 (median) + 0.000000e+00  / - 0.000000e+00
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
sfh 0.062373 2.20533e-12 0 0 #avg: 2.20533e-12; avg_err: 2.20533e-12; sd: 0; counts: 1
sfh 0.064623 1.1781e-11 0 0 #avg: 1.1781e-11; avg_err: 1.1781e-11; sd: 0; counts: 1
sfh 0.066873 8.14231e-12 0 0 #avg: 8.14231e-12; avg_err: 8.14231e-12; sd: 0; counts: 1
sfh 0.069123 9.7178e-12 0 0 #avg: 9.7178e-12; avg_err: 9.7178e-12; sd: 0; counts: 1
sfh 0.071373 1.15055e-11 0 0 #avg: 1.15055e-11; avg_err: 1.15055e-11; sd: 0; counts: 1
sfh 0.073623 1.99358e-11 0 0 #avg: 1.99358e-11; avg_err: 1.99358e-11; sd: 0; counts: 1
sfh 0.075873 3.59697e-11 0 0 #avg: 3.59697e-11; avg_err: 3.59697e-11; sd: 0; counts: 1
sfh 0.078123 5.30153e-11 0 0 #avg: 5.30153e-11; avg_err: 5.30153e-11; sd: 0; counts: 1
sfh 0.080373 6.32875e-11 0 0 #avg: 6.32875e-11; avg_err: 6.32875e-11; sd: 0; counts: 1
