#sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.77321e+07 0.0992053 0.112756 0.000675979 0 0 0 0.0552573 0.000180054 0 0.138268 0 284128
1.5744e+08 0.103158 0.116074 0.00108208 0 0 0 0.064535 0.000316154 0 0.162702 0 111722
2.49704e+08 0.112394 0.126543 0.0012177 0 0 0 0.073909 0.000362263 0.00855091 0.182326 0.00855091 95130
3.96737e+08 0.126504 0.141834 0.00135539 0 0 0 0.0819161 0.000392529 0.0179762 0.185526 0.0179762 84021
6.27079e+08 0.129674 0.145021 0.00143992 0 0 0 0.0816202 0.000416414 0.0179887 0.185424 0.0179887 75651
9.92086e+08 0.135177 0.152157 0.00161143 0 0 0 0.0865983 0.000473549 0.021245 0.191702 0.021245 63487
1.57101e+09 0.148535 0.16837 0.00189516 0 0 0 0.0956101 0.000558699 0.030425 0.202129 0.030425 50971
2.49309e+09 0.162388 0.185743 0.00219695 0 1 0 0.103516 0.000645027 0.0386475 0.209526 0.0386475 41875
3.95208e+09 0.183305 0.211159 0.00256158 0 1 0 0.117337 0.000769358 0.0552704 0.219438 0.0552704 34538
6.26417e+09 0.202653 0.239653 0.00303047 0 1 0 0.131766 0.000910391 0.0710225 0.230496 0.0710225 28946
9.94146e+09 0.232069 0.279802 0.00358053 0 1 0 0.152382 0.00109539 0.0939822 0.242859 0.0939822 24092
1.57454e+10 0.261994 0.322394 0.00418922 0 1 0 0.176084 0.00129556 0.122106 0.257062 0.122106 20447
2.49669e+10 0.310203 0.39443 0.00498789 0 1 0 0.210413 0.00152318 0.164895 0.271885 0.164895 17524
3.94444e+10 0.345383 0.452275 0.00583199 0 1 0 0.248244 0.00176786 0.216977 0.27415 0.216977 14772
6.2327e+10 0.381413 0.512696 0.00697049 0 1 0 0.273602 0.00205142 0.252359 0.272628 0.243176 11578
9.82016e+10 0.401158 0.537106 0.00858912 0 1 0 0.303557 0.00254112 0.292072 0.269682 0.264043 7775
1.53416e+11 0.417928 0.553473 0.0117758 0 1 0 0.342953 0.0034656 0.339874 0.260803 0.268868 4161
2.41384e+11 0.398115 0.509423 0.0173795 0 1 0 0.406115 0.00492969 0.423818 0.205326 0.265999 1698
3.81642e+11 0.355828 0.458078 0.0312736 0 1 0 0.454408 0.00742799 0.465254 0.165149 0.197598 489
5.96166e+11 0.27957 0.290323 0.049732 0 1 0 0.507196 0.0125981 0.505519 0.121177 0.133758 93
9.68979e+11 0.333333 0.333333 0.125988 0 1 0 0.501606 0.0288962 0.489716 0.129925 0.0983773 15
