#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#mpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.0841e+09 4.77706e+08 4.14649e+06 4.2435e+08 2.12872e+08 1.01203e+08 1.58751e+09 8.43459e+06 1.57905e+09 4.05994e+08 3.73398e+08 1835
1.61709e+10 4.82474e+08 5.52122e+06 4.14234e+08 2.22988e+08 9.10868e+07 1.65264e+09 1.08423e+07 1.69834e+09 3.95991e+08 4.28905e+08 1432
2.52728e+10 4.96954e+08 5.12213e+06 4.2435e+08 2.49017e+08 1.01203e+08 1.56144e+09 1.07864e+07 1.63903e+09 4.01037e+08 5.62728e+08 1796
3.97456e+10 5.06813e+08 5.22e+06 4.24463e+08 2.83151e+08 1.01316e+08 1.4759e+09 1.14752e+07 1.5184e+09 5.21663e+08 5.73748e+08 1911
6.29256e+10 5.24271e+08 5.65682e+06 4.37779e+08 2.96233e+08 1.12999e+08 1.39585e+09 1.18805e+07 1.39517e+09 5.89866e+08 5.84386e+08 2004
1.00314e+11 5.49063e+08 5.84437e+06 4.66596e+08 3.08758e+08 1.36117e+08 1.27338e+09 1.17922e+07 1.26943e+09 6.03326e+08 5.94649e+08 2022
1.58067e+11 5.45821e+08 5.75322e+06 4.58646e+08 3.09613e+08 1.30887e+08 1.20221e+09 1.13711e+07 1.20565e+09 6.09881e+08 5.99643e+08 2085
2.49625e+11 5.44749e+08 5.63735e+06 4.66483e+08 3.01775e+08 1.36004e+08 1.16347e+09 1.15404e+07 1.14127e+09 6.15695e+08 5.35262e+08 2013
3.97229e+11 5.48391e+08 6.2231e+06 4.58646e+08 3.22457e+08 1.25393e+08 1.1436e+09 1.21252e+07 1.0763e+09 6.80662e+08 4.70296e+08 1857
6.27619e+11 5.621e+08 6.60181e+06 4.66483e+08 3.44305e+08 1.30508e+08 1.06823e+09 1.1957e+07 1.01076e+09 6.28269e+08 4.74045e+08 1765
9.87704e+11 5.71087e+08 7.43712e+06 4.77585e+08 3.34724e+08 1.38937e+08 1.01899e+09 1.31224e+07 9.44654e+08 6.34393e+08 4.07939e+08 1411
1.55544e+12 5.85937e+08 8.89041e+06 4.87529e+08 3.46888e+08 1.43684e+08 9.88173e+08 1.50993e+07 9.44654e+08 5.73748e+08 4.7771e+08 1022
2.46216e+12 5.8092e+08 1.14489e+07 4.8097e+08 3.29818e+08 1.39692e+08 9.86201e+08 1.99116e+07 8.77994e+08 6.40409e+08 4.1105e+08 586
3.84167e+12 6.22558e+08 1.86719e+07 5.21825e+08 3.82438e+08 1.63402e+08 9.22358e+08 2.63004e+07 8.10788e+08 5.84386e+08 3.43845e+08 285
6.08786e+12 6.19659e+08 3.02691e+07 5.26385e+08 4.63779e+08 1.82541e+08 8.82766e+08 4.19232e+07 7.43049e+08 5.89564e+08 2.76105e+08 105
9.64929e+12 6.06475e+08 4.10399e+07 4.77585e+08 5.98717e+08 1.36307e+08 8.33077e+08 5.78363e+07 7.43049e+08 5.89564e+08 2.76105e+08 48
1.54756e+13 5.43889e+08 7.25319e+07 4.7771e+08 1.97075e+08 1.33866e+08 9.99396e+08 1.66477e+08 7.43049e+08 5.89564e+08 2.76105e+08 13
2.55242e+13 5.55882e+08 9.11434e+07 6.06006e+08 2.29992e+08 2.70031e+08 1.15941e+09 2.69521e+08 1.0763e+09 1.32682e+09 4.01517e+08 6
3.70162e+13 4.75118e+08 1.30889e+08 6.06006e+08 0 2.61777e+08 1.64939e+09 4.98431e+08 2.14782e+09 0 9.96862e+08 2
5.40147e+13 1.19797e+09 1.19797e+09 1.19797e+09 0 0 6.74785e+08 6.74785e+08 6.74785e+08 0 0 1
