#sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.7082e+07 0.0822527 0.0954601 0.000332195 0 0 0 0.0292311 6.69468e-05 0 0.0582395 0 1048805
1.57177e+08 0.0854437 0.09847 0.000556796 0 0 0 0.0333388 0.000122673 0 0.0695693 0 380075
2.48977e+08 0.0929362 0.107099 0.000644382 0 0 0 0.0380977 0.000147281 0 0.0839956 0 305091
3.95109e+08 0.103494 0.119414 0.000750453 0 0 0 0.0436638 0.000173545 0 0.105793 0 248816
6.26103e+08 0.111709 0.128484 0.00084965 0 0 0 0.0470394 0.000198069 0 0.115239 0 205776
9.91848e+08 0.12197 0.140941 0.000982194 0 0 0 0.051746 0.000231562 0 0.127138 0 168517
1.57224e+09 0.137647 0.160671 0.00116491 0 0 0 0.0578848 0.000275014 0 0.144304 0 136727
2.49362e+09 0.153604 0.180706 0.00135718 0 0 0 0.0642787 0.000321415 0 0.16073 0 112979
3.95401e+09 0.177128 0.209909 0.00158413 0 1 0 0.0742255 0.000385731 0.00836751 0.176563 0.00836751 94903
6.27382e+09 0.202933 0.246734 0.00188953 0 1 0 0.086281 0.000465952 0.0127417 0.199349 0.0127417 79997
9.94372e+09 0.238854 0.29829 0.00226447 0 1 0 0.103307 0.000577698 0.0260182 0.221618 0.0260182 67602
1.57729e+10 0.286011 0.371811 0.00274387 0 1 0 0.127856 0.000715814 0.0453047 0.254414 0.0453047 58683
2.49783e+10 0.346934 0.475978 0.00334301 0 1 0 0.161585 0.000880651 0.0771655 0.292697 0.0771655 51223
3.95754e+10 0.407101 0.583944 0.00391179 0 1 0 0.202562 0.00105301 0.122515 0.331567 0.122515 45006
6.25419e+10 0.471795 0.696975 0.00462686 0 2 0 0.24474 0.00125493 0.175777 0.354219 0.175777 36766
9.85146e+10 0.516427 0.772768 0.00551726 1 1 1 0.296386 0.00157555 0.243754 0.371204 0.233417 26968
1.54378e+11 0.530717 0.780843 0.00707588 1 1 1 0.375818 0.00216168 0.355807 0.347949 0.305325 15952
2.43107e+11 0.50802 0.729293 0.00991079 1 1 1 0.501912 0.00299169 0.553134 0.226096 0.395072 7606
3.82953e+11 0.408135 0.560841 0.0145397 0 1 0 0.652245 0.00386884 0.720738 0.113576 0.311002 2901
6.04238e+11 0.28377 0.357068 0.0203485 0 1 0 0.757762 0.00451155 0.795275 0.0754598 0.142431 955
9.56985e+11 0.220217 0.281588 0.036173 0 1 0 0.804192 0.00610129 0.822417 0.0664784 0.0847918 277
1.47577e+12 0.0652174 0.0652174 0.036807 0 0 0 0.848788 0.00985562 0.863208 0.0390209 0.069499 46
