#sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.75041e+07 0.0630783 0.0726728 0.000687279 0 0 0 0.00950392 7.66241e-05 0 0.00874041 0 187608
1.57238e+08 0.0672729 0.0762662 0.00113364 0 0 0 0.010305 0.000133485 0 0.00885644 0 70385
2.49137e+08 0.0770817 0.0886151 0.00135875 0 0 0 0.0123654 0.000167603 0 0.00951771 0 57225
3.96342e+08 0.0916674 0.104422 0.00159689 0 0 0 0.0144484 0.000199198 0 0.0175918 0 47356
6.2696e+08 0.0984478 0.111325 0.00171289 0 0 0 0.0152379 0.00021322 0 0.0183778 0 43099
9.91143e+08 0.104693 0.119372 0.00195644 0 0 0 0.0163185 0.000246222 0 0.0251813 0 35561
1.56998e+09 0.118682 0.136051 0.00237755 0 0 0 0.0188952 0.000311386 0 0.0271807 0 27519
2.48856e+09 0.13014 0.151997 0.00283594 0 0 0 0.0207208 0.000362803 0 0.0342874 0 21961
3.9447e+09 0.152261 0.177648 0.00343455 0 0 0 0.0237963 0.000448507 0 0.0439384 0 17135
6.25402e+09 0.177874 0.214991 0.0042711 0 1 0 0.0291144 0.000578277 0 0.0555073 0 13875
9.90955e+09 0.199132 0.246861 0.00520452 0 1 0 0.0349405 0.000744113 0 0.0714191 0 10832
1.5718e+10 0.234016 0.297378 0.0064329 0 1 0 0.0441148 0.000994598 0 0.0936749 0 8696
2.48524e+10 0.293795 0.388064 0.00830301 0 1 0 0.0588855 0.0013576 0 0.133821 0 6736
3.92531e+10 0.344505 0.46668 0.0103216 0 1 0 0.0763088 0.00179875 0.00829819 0.176614 0.00829819 5132
6.21535e+10 0.400155 0.570175 0.0130807 0 1 0 0.0948551 0.00234833 0.0177857 0.206837 0.0177857 3876
9.76064e+10 0.470563 0.66812 0.0174615 0 2 0 0.115866 0.00324195 0.0371247 0.246428 0.0371247 2293
1.49843e+11 0.529825 0.750877 0.0296968 1 1 1 0.152856 0.0056731 0.0775961 0.258362 0.0652172 855
2.30083e+11 0.589552 0.783582 0.0673012 1 1 1 0.242608 0.0156732 0.207701 0.242254 0.148303 134
3.71261e+11 1 1.4 0.4 1 2 0 0.291208 0.0490062 0.309448 0.101373 0.145361 5
5.1489e+11 0 0 0 0 0 0 0.468703 0.468703 0.468703 0 0 1
