#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#sm range: 8.25 - 8.75
#HM   Stats: 5.857350e+10 (median) + 2.802940e+10  / - 1.914700e+10
#SM   Stats: 2.969830e+08 (median) + 1.581590e+08  / - 9.029402e+07
#VMP  Stats: 7.386000e+01 (median) + 5.720001e+00  / - 4.590004e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.257369e-10 (median) + 2.670078e-10  / - 1.250049e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 134696
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 134696
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 134696
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 134696
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 134696
sfh 0.069123 0 0 0 #avg: 1.43726e-15; avg_err: 1.02715e-15; sd: 3.76974e-13; counts: 134696
sfh 0.071373 0 0 0 #avg: 4.81242e-15; avg_err: 3.15883e-15; sd: 1.15932e-12; counts: 134696
sfh 0.073623 0 0 0 #avg: 9.76157e-15; avg_err: 5.45037e-15; sd: 2.00033e-12; counts: 134696
sfh 0.075873 0 0 0 #avg: 1.02028e-14; avg_err: 4.06989e-15; sd: 1.49368e-12; counts: 134696
sfh 0.078123 0 0 0 #avg: 2.86907e-14; avg_err: 1.08972e-14; sd: 3.99935e-12; counts: 134696
sfh 0.080373 0 0 0 #avg: 4.94442e-14; avg_err: 1.13471e-14; sd: 4.16447e-12; counts: 134696
sfh 0.082623 0 0 0 #avg: 9.88402e-14; avg_err: 1.69915e-14; sd: 6.23603e-12; counts: 134696
sfh 0.085998 0 0 0 #avg: 2.44313e-13; avg_err: 3.10216e-14; sd: 1.13852e-11; counts: 134696
sfh 0.089373 0 0 0 #avg: 5.02917e-13; avg_err: 4.57785e-14; sd: 1.68011e-11; counts: 134696
sfh 0.092748 0 0 0 #avg: 9.91048e-13; avg_err: 6.84266e-14; sd: 2.51131e-11; counts: 134696
sfh 0.096123 0 0 0 #avg: 1.57655e-12; avg_err: 8.78266e-14; sd: 3.22331e-11; counts: 134696
sfh 0.099498 0 0 0 #avg: 2.33094e-12; avg_err: 8.86975e-14; sd: 3.25527e-11; counts: 134696
sfh 0.102873 0 0 0 #avg: 3.47762e-12; avg_err: 1.28928e-13; sd: 4.73176e-11; counts: 134696
sfh 0.106248 0 0 0 #avg: 4.91263e-12; avg_err: 1.18609e-13; sd: 4.35305e-11; counts: 134696
sfh 0.109623 0 0 0 #avg: 6.79708e-12; avg_err: 1.57069e-13; sd: 5.76455e-11; counts: 134696
sfh 0.112998 0 0 0 #avg: 8.27788e-12; avg_err: 1.59819e-13; sd: 5.86549e-11; counts: 134696
sfh 0.116373 0 8.47898e-13 0 #avg: 9.59912e-12; avg_err: 1.57925e-13; sd: 5.79599e-11; counts: 134696
sfh 0.119748 0 5.46621e-12 0 #avg: 1.10188e-11; avg_err: 1.52779e-13; sd: 5.60712e-11; counts: 134696
sfh 0.123123 0 1.04693e-11 0 #avg: 1.27127e-11; avg_err: 1.64628e-13; sd: 6.04198e-11; counts: 134696
sfh 0.126498 0 1.5489e-11 0 #avg: 1.47141e-11; avg_err: 1.96125e-13; sd: 7.19796e-11; counts: 134696
sfh 0.129873 0 2.03664e-11 0 #avg: 1.69052e-11; avg_err: 1.97486e-13; sd: 7.24791e-11; counts: 134696
sfh 0.133248 0 2.54818e-11 0 #avg: 1.94277e-11; avg_err: 2.10773e-13; sd: 7.73555e-11; counts: 134696
sfh 0.136623 0 3.09723e-11 0 #avg: 2.17032e-11; avg_err: 2.27318e-13; sd: 8.34276e-11; counts: 134696
sfh 0.141685 5.3373e-13 3.85808e-11 5.3373e-13 #avg: 2.56065e-11; avg_err: 2.30969e-13; sd: 8.47674e-11; counts: 134696
sfh 0.146748 2.28878e-12 4.43622e-11 2.28878e-12 #avg: 2.96354e-11; avg_err: 2.6444e-13; sd: 9.70515e-11; counts: 134696
sfh 0.15181 4.54215e-12 4.9895e-11 4.54215e-12 #avg: 3.34404e-11; avg_err: 2.89447e-13; sd: 1.06229e-10; counts: 134696
sfh 0.156873 7.13666e-12 5.38488e-11 7.13666e-12 #avg: 3.72179e-11; avg_err: 2.87816e-13; sd: 1.05631e-10; counts: 134696
sfh 0.161935 1.00477e-11 5.60194e-11 1.00477e-11 #avg: 4.03713e-11; avg_err: 3.02551e-13; sd: 1.11039e-10; counts: 134696
sfh 0.166998 1.29636e-11 5.92897e-11 1.29636e-11 #avg: 4.31336e-11; avg_err: 2.86879e-13; sd: 1.05287e-10; counts: 134696
sfh 0.17206 1.55248e-11 5.9223e-11 1.55248e-11 #avg: 4.50059e-11; avg_err: 2.84633e-13; sd: 1.04463e-10; counts: 134696
sfh 0.177123 1.74476e-11 5.9629e-11 1.71965e-11 #avg: 4.66804e-11; avg_err: 2.94012e-13; sd: 1.07905e-10; counts: 134696
sfh 0.182185 1.93467e-11 6.05993e-11 1.84921e-11 #avg: 4.79726e-11; avg_err: 2.86933e-13; sd: 1.05307e-10; counts: 134696
