#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
46.125 9.72192e+08 3.45007e+06 7.1696e+08 8.21479e+08 3.54345e+08 1.79918e+09 6.43641e+06 1.28215e+09 1.87775e+09 6.76918e+08 47194
62.4671 9.24576e+08 4.87811e+06 6.87229e+08 8.0973e+08 3.35583e+08 1.53424e+09 8.89606e+06 1.13248e+09 1.42999e+09 5.27242e+08 21627
79.4736 1.03581e+09 6.40652e+06 7.51009e+08 9.7612e+08 3.92528e+08 1.51815e+09 1.0959e+07 1.16825e+09 1.15783e+09 5.63017e+08 15830
99.1054 1.18374e+09 8.45006e+06 8.50454e+08 1.20803e+09 4.02662e+08 1.64639e+09 1.34048e+07 1.28215e+09 1.38381e+09 6.76918e+08 11821
124.921 1.33499e+09 1.25419e+07 9.39217e+08 1.38687e+09 4.8619e+08 1.91887e+09 1.96044e+07 1.51125e+09 1.52846e+09 9.00741e+08 7568
156.828 1.65543e+09 2.11562e+07 1.14952e+09 1.89019e+09 6.79867e+08 2.31774e+09 2.94038e+07 1.74201e+09 2.14595e+09 1.02505e+09 4545
196.946 2.14701e+09 3.8028e+07 1.39327e+09 2.76392e+09 8.92593e+08 2.7801e+09 4.45557e+07 2.09125e+09 2.90714e+09 1.37429e+09 2549
246.199 2.93749e+09 7.68422e+07 1.95869e+09 4.06606e+09 1.3405e+09 2.73593e+09 6.19104e+07 2.15234e+09 2.94976e+09 1.43538e+09 1125
309.898 3.88375e+09 1.59804e+08 2.88542e+09 5.0983e+09 2.16326e+09 2.36213e+09 9.25081e+07 1.85802e+09 2.52113e+09 1.17079e+09 363
388.282 4.66702e+09 4.04856e+08 3.03971e+09 6.66447e+09 2.24845e+09 1.92291e+09 1.47501e+08 1.62642e+09 1.53348e+09 1.02119e+09 89
499.158 4.54249e+09 6.9761e+08 3.29464e+09 6.12092e+09 2.22599e+09 1.815e+09 2.20269e+08 1.63253e+09 1.28733e+09 9.28077e+08 28
612.98 5.60473e+09 1.37221e+09 6.52966e+09 2.4747e+09 5.96015e+09 2.18323e+09 4.53058e+08 2.09125e+09 2.04177e+09 1.14952e+09 6
730.679 1.19325e+09 1.08631e+08 1.30188e+09 0 2.17263e+08 2.26962e+09 4.11603e+08 2.68123e+09 0 8.23207e+08 2
