#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 1.95 - 2.11667
#HM   Stats: 2.144120e+11 (median) + 1.554410e+11  / - 8.838300e+10
#SM   Stats: 2.511750e+09 (median) + 4.502580e+09  / - 1.362270e+09
#VMP  Stats: 1.023800e+02 (median) + 1.598000e+01  / - 9.790001e+00
#ICL  Stats: 1.614240e+07 (median) + 6.249550e+07  / - 1.546432e+07
#SSFR Stats: 8.212919e-11 (median) + 1.936506e-10  / - 8.062642e-11
sfh 0.055623 0 0 0 #avg: 1.30553e-09; avg_err: 1.04904e-09; sd: 8.00764e-07; counts: 582674
sfh 0.060123 0 0 0 #avg: 2.57335e-07; avg_err: 2.01768e-07; sd: 0.000154015; counts: 582674
sfh 0.062373 0 0 0 #avg: 3.32733e-06; avg_err: 1.92339e-06; sd: 0.00146818; counts: 582674
sfh 0.064623 0 0 0 #avg: 1.49336e-05; avg_err: 5.8142e-06; sd: 0.00443816; counts: 582674
sfh 0.066873 0 0 0 #avg: 4.67723e-05; avg_err: 1.02358e-05; sd: 0.00781331; counts: 582674
sfh 0.069123 0 0 0 #avg: 0.000105959; avg_err: 1.57122e-05; sd: 0.0119936; counts: 582674
sfh 0.071373 0 0 0 #avg: 0.000235672; avg_err: 2.74014e-05; sd: 0.0209163; counts: 582674
sfh 0.073623 0 0 0 #avg: 0.000437546; avg_err: 4.65206e-05; sd: 0.0355105; counts: 582674
sfh 0.075873 0 0 0 #avg: 0.000698174; avg_err: 5.14845e-05; sd: 0.0392997; counts: 582674
sfh 0.078123 0 0 0 #avg: 0.00105675; avg_err: 4.96122e-05; sd: 0.0378705; counts: 582674
sfh 0.080373 0 0 0 #avg: 0.00167758; avg_err: 6.62898e-05; sd: 0.050601; counts: 582674
sfh 0.082623 0 0 0 #avg: 0.00235846; avg_err: 7.92361e-05; sd: 0.0604833; counts: 582674
sfh 0.085998 0 0 0 #avg: 0.00406048; avg_err: 0.000114003; sd: 0.0870221; counts: 582674
sfh 0.089373 0 0 0 #avg: 0.00594381; avg_err: 0.00011309; sd: 0.0863248; counts: 582674
sfh 0.092748 0 0 0 #avg: 0.00809488; avg_err: 0.000104197; sd: 0.0795369; counts: 582674
