#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
44.2839 0.0889045 0.103947 0.000167363 0 0 0 0.0276108 3.37272e-05 0 0.0475173 0 4520332
62.0796 0.0872334 0.103354 0.00033233 0 0 0 0.0249994 5.73187e-05 0 0.0463016 0 1168819
78.3356 0.101562 0.11956 0.000526758 0 0 0 0.0287974 9.06165e-05 0 0.0597091 0 523954
98.7318 0.142429 0.168401 0.000874023 0 0 0 0.0406144 0.000153722 0 0.0976573 0 258698
124.11 0.222112 0.26947 0.00153964 0 1 0 0.0659962 0.000283615 0.00864446 0.156207 0.00864446 127814
156.532 0.346238 0.445127 0.00273563 0 1 0 0.108811 0.000524469 0.0528266 0.201582 0.0528266 63829
197.166 0.509408 0.710237 0.00453549 1 1 1 0.190427 0.000935612 0.149206 0.235517 0.139245 33800
248.098 0.582404 0.836291 0.0066297 1 1 1 0.292886 0.00148739 0.274104 0.238737 0.197126 17299
311.973 0.544682 0.751687 0.00890653 1 1 1 0.361071 0.00207957 0.356515 0.208741 0.206277 8594
392.794 0.466822 0.6156 0.0117179 0 1 0 0.400718 0.00274329 0.404042 0.184484 0.195231 4295
493.67 0.394464 0.509639 0.0160335 0 1 0 0.415843 0.00347459 0.419529 0.157316 0.162049 2023
619.903 0.32459 0.395628 0.0207125 0 1 0 0.407015 0.00461056 0.411821 0.133271 0.148779 915
780.421 0.264398 0.314136 0.0292245 0 1 0 0.383442 0.00647473 0.371219 0.139359 0.109858 382
974.588 0.201389 0.222222 0.0387304 0 1 0 0.347767 0.00832826 0.337763 0.11922 0.0948974 144
1214.48 0.05 0.05 0.0348991 0 0 0 0.29964 0.0148459 0.322851 0.0425855 0.0805857 40
1622.9 0 0 0 0 0 0 0.238268 0.0309365 0.269204 0 0.061873 2
