#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
46.1246 0.000247772 0.000249475 1.46719e-05 0 0 0 0.000110694 2.23829e-06 0 0 0 1174465
62.4856 0.000501306 0.000501306 2.71803e-05 0 0 0 0.000282215 4.07509e-06 0 0 0 678229
79.4692 0.00124718 0.00125167 5.31921e-05 0 0 0 0.000703377 8.30551e-06 0 0 0 445005
98.4668 0.00345088 0.00347731 0.000115251 0 0 0 0.00139693 1.74622e-05 0 0 0 264860
123.898 0.0102526 0.0104575 0.000303288 0 0 0 0.00305574 4.77533e-05 0 0 0 117141
155.228 0.0320019 0.034031 0.000904132 0 0 0 0.00945871 0.000170713 0 0.00514318 0 45341
192.809 0.082354 0.0874036 0.00287542 0 0 0 0.0270148 0.000630513 0 0.0464078 0 10892
240.32 0.133763 0.143433 0.0107692 0 0 0 0.0580821 0.00267755 0.0146332 0.115515 0.0146332 1241
305.6 0.263158 0.298246 0.0497312 0 1 0 0.108983 0.013843 0.040557 0.222437 0.040557 114
389.287 0.222222 0.222222 0.100832 0 1 0 0.151995 0.0357167 0.113423 0.216781 0.113423 18
507.947 0.285714 0.285714 0.184428 0 1 0 0.141993 0.0734929 0.0155867 0.383878 0.0155867 7
