#mpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.95788e+09 0.00015171 0.000152973 4.95422e-06 0 0 0 5.60206e-05 7.9179e-07 0 0 0 6334467
1.56668e+10 0.0003178 0.00031947 1.16089e-05 0 0 0 0.000136593 1.68646e-06 0 0 0 2394591
2.47404e+10 0.000486518 0.0004883 1.70893e-05 0 0 0 0.000255521 2.59213e-06 0 0 0 1683391
3.91566e+10 0.000704196 0.000705922 2.47336e-05 0 0 0 0.000412567 3.85722e-06 0 0 0 1158768
6.20443e+10 0.00110181 0.00111325 3.7977e-05 0 0 0 0.000616532 5.93086e-06 0 0 0 786885
9.83005e+10 0.00197639 0.00199598 6.3076e-05 0 0 0 0.000933512 9.98616e-06 0 0 0 510527
1.55781e+11 0.00364023 0.00371741 0.000109141 0 0 0 0.00144851 1.74827e-05 0 0 0 323881
2.46718e+11 0.00666498 0.00694228 0.000190735 0 0 0 0.00235239 3.16271e-05 0 0 0 205552
3.90886e+11 0.0129825 0.0135192 0.000334978 0 0 0 0.00417222 5.78264e-05 0 0 0 128558
6.17283e+11 0.02791 0.0294098 0.000642474 0 0 0 0.00832839 0.000118646 0 0.00486638 0 76675
9.74717e+11 0.0582204 0.0624576 0.00125749 0 0 0 0.0167132 0.000237477 0 0.0237799 0 42717
1.53074e+12 0.106306 0.116988 0.00255009 0 0 0 0.033345 0.000532834 0 0.0675361 0 19378
2.39286e+12 0.168154 0.185077 0.0053748 0 1 0 0.0548488 0.00119178 0 0.124919 0 6500
3.74926e+12 0.220477 0.255025 0.0128535 0 1 0 0.0788557 0.00295347 0.0154475 0.170743 0.0154475 1592
6.04254e+12 0.284457 0.334311 0.0310653 0 1 0 0.123236 0.00826134 0.0673579 0.208621 0.0673579 341
9.7633e+12 0.338028 0.415493 0.0531149 0 1 0 0.191303 0.0152961 0.169585 0.21234 0.169585 142
1.56126e+13 0.428571 0.517857 0.0882406 0 1 0 0.273766 0.0249348 0.237622 0.264626 0.148448 56
2.38219e+13 0.514286 0.571429 0.102782 1 0 1 0.337365 0.0308568 0.309071 0.26249 0.143129 35
3.77294e+13 0.346154 0.423077 0.126163 0 1 0 0.431529 0.0453172 0.485556 0.227576 0.302163 26
5.83632e+13 0.666667 0.666667 0.333333 1 0 1 0.364434 0.0833603 0.299668 0.230194 0.0358949 3
8.52611e+13 0.25 0.25 0.25 0 1 0 0.533107 0.0611562 0.575813 0.0837758 0.207135 4
