#mpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
8.19109e+09 0.0737854 0.0836023 0.000175313 0 0 0 0.0129822 2.5832e-05 0 0.00670257 0 3187973
1.56687e+10 0.0639855 0.0751797 0.000260308 0 0 0 0.00911962 2.73774e-05 0 0 0 1397958
2.47099e+10 0.058143 0.0683399 0.000299425 0 0 0 0.0081485 2.94542e-05 0 0.00434791 0 966170
3.91007e+10 0.0566511 0.0667335 0.000363241 0 0 0 0.00801622 3.49371e-05 0 0.00843471 0 644489
6.20009e+10 0.0602617 0.0711398 0.000462682 0 0 0 0.0083868 4.4011e-05 0 0.00859854 0 423237
9.83209e+10 0.0686662 0.0805684 0.000607273 0 0 0 0.00951072 5.88511e-05 0 0.00892292 0 273395
1.55853e+11 0.0846602 0.100003 0.000839794 0 0 0 0.0118607 8.44199e-05 0 0.0168977 0 175915
2.46923e+11 0.112735 0.132869 0.00119021 0 0 0 0.0156273 0.000124389 0 0.0260865 0 112946
3.90983e+11 0.157887 0.189898 0.00178906 0 0 0 0.0226182 0.000198844 0 0.0448991 0 70538
6.19271e+11 0.221517 0.274559 0.00268637 0 1 0 0.0335413 0.000321463 0 0.0757526 0 44606
9.79861e+11 0.315355 0.41072 0.00418492 0 1 0 0.0520071 0.000537812 0.00628373 0.116507 0.00628373 26624
1.54984e+12 0.452962 0.62874 0.00658003 0 1 0 0.0862275 0.000934071 0.0351159 0.160826 0.0351159 15275
2.44942e+12 0.58556 0.842129 0.00916716 1 1 1 0.132375 0.00150266 0.0861991 0.195876 0.0861991 9058
3.90209e+12 0.69573 1.029 0.0125432 1 1 1 0.193613 0.00244137 0.149591 0.233249 0.132256 5035
6.13864e+12 0.741533 1.10339 0.0167095 1 1 1 0.232146 0.00334622 0.203129 0.222666 0.16156 2805
9.75842e+12 0.774091 1.11168 0.0206998 1 1 1 0.275614 0.00465327 0.253439 0.220675 0.178829 1567
1.55803e+13 0.769683 1.07403 0.0279315 1 1 1 0.310522 0.00630434 0.306444 0.192124 0.205368 851
2.43103e+13 0.732648 1.04884 0.0447368 1 1 1 0.316824 0.00910115 0.32342 0.18843 0.216548 389
3.8813e+13 0.706977 1 0.0567159 1 1 1 0.346529 0.0115144 0.350387 0.168894 0.187711 215
6.03325e+13 0.614583 0.760417 0.0736647 1 0 1 0.345907 0.0160012 0.363311 0.140714 0.209433 96
9.48722e+13 0.541667 0.666667 0.100236 1 0 1 0.36832 0.0228059 0.387825 0.144845 0.162196 48
1.60064e+14 0.6 0.8 0.2 1 1 1 0.331364 0.0364301 0.339062 0.176539 0.165697 15
2.35409e+14 0.2 0.2 0.2 0 1 0 0.207658 0.0809318 0.190779 0.318731 0.147761 5
3.75618e+14 0.4 0.4 0.244949 0 1 0 0.247322 0.0622977 0.296876 0.0313814 0.296876 5
6.06629e+14 0.333333 0.333333 0.333333 0 1 0 0.272829 0.0716943 0.260562 0.142124 0.105322 3
