#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 12.25 - 12.75
#HM   Stats: 2.598530e+12 (median) + 1.451470e+12  / - 6.191199e+11
#SM   Stats: 7.405400e+10 (median) + 5.544500e+10  / - 3.562470e+10
#VMP  Stats: 2.112600e+02 (median) + 3.262001e+01  / - 2.214000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.906471e-11 (median) + 4.375177e-11  / - 1.476949e-11
sfh 0.055623 0 0 0 #avg: 2.06443e-16; avg_err: 1.59548e-16; sd: 2.30297e-14; counts: 20836
sfh 0.060123 0 0 0 #avg: 5.96555e-15; avg_err: 2.26561e-15; sd: 3.27026e-13; counts: 20836
sfh 0.062373 0 0 0 #avg: 3.42233e-14; avg_err: 1.01493e-14; sd: 1.46499e-12; counts: 20836
sfh 0.064623 0 0 0 #avg: 8.88885e-14; avg_err: 2.17957e-14; sd: 3.14607e-12; counts: 20836
sfh 0.066873 0 0 0 #avg: 1.90191e-13; avg_err: 6.33696e-14; sd: 9.14698e-12; counts: 20836
sfh 0.069123 0 0 0 #avg: 3.25654e-13; avg_err: 8.67436e-14; sd: 1.25209e-11; counts: 20836
sfh 0.071373 0 0 0 #avg: 4.3226e-13; avg_err: 4.99573e-14; sd: 7.21101e-12; counts: 20836
sfh 0.073623 0 0 0 #avg: 6.40765e-13; avg_err: 6.59011e-14; sd: 9.51239e-12; counts: 20836
sfh 0.075873 0 0 0 #avg: 9.31881e-13; avg_err: 8.99591e-14; sd: 1.2985e-11; counts: 20836
sfh 0.078123 0 2.50588e-14 0 #avg: 1.3431e-12; avg_err: 1.51411e-13; sd: 2.18552e-11; counts: 20836
sfh 0.080373 0 3.01732e-13 0 #avg: 1.72225e-12; avg_err: 2.23229e-13; sd: 3.22217e-11; counts: 20836
sfh 0.082623 0 7.61896e-13 0 #avg: 1.75168e-12; avg_err: 1.12484e-13; sd: 1.62363e-11; counts: 20836
sfh 0.085998 0 1.79139e-12 0 #avg: 2.48754e-12; avg_err: 1.29409e-13; sd: 1.86794e-11; counts: 20836
sfh 0.089373 0 3.06895e-12 0 #avg: 3.17217e-12; avg_err: 1.61151e-13; sd: 2.3261e-11; counts: 20836
sfh 0.092748 1.7882e-13 4.00427e-12 1.7882e-13 #avg: 3.89652e-12; avg_err: 1.80525e-13; sd: 2.60576e-11; counts: 20836
sfh 0.096123 4.63863e-13 5.02163e-12 4.63863e-13 #avg: 4.70866e-12; avg_err: 1.9251e-13; sd: 2.77875e-11; counts: 20836
sfh 0.099498 8.57587e-13 5.77047e-12 8.57587e-13 #avg: 5.46494e-12; avg_err: 1.95537e-13; sd: 2.82244e-11; counts: 20836
sfh 0.102873 1.25404e-12 6.54983e-12 1.25404e-12 #avg: 6.54065e-12; avg_err: 2.61535e-13; sd: 3.77508e-11; counts: 20836
sfh 0.106248 1.61804e-12 7.49382e-12 1.56015e-12 #avg: 7.42794e-12; avg_err: 2.23125e-13; sd: 3.22066e-11; counts: 20836
sfh 0.109623 1.99137e-12 8.39606e-12 1.83336e-12 #avg: 8.55021e-12; avg_err: 2.58195e-13; sd: 3.72688e-11; counts: 20836
sfh 0.112998 2.36166e-12 9.601e-12 2.07992e-12 #avg: 9.8852e-12; avg_err: 3.26616e-13; sd: 4.71449e-11; counts: 20836
sfh 0.116373 2.70165e-12 1.05949e-11 2.30364e-12 #avg: 1.08918e-11; avg_err: 3.57441e-13; sd: 5.15943e-11; counts: 20836
sfh 0.119748 3.05949e-12 1.19218e-11 2.5557e-12 #avg: 1.23415e-11; avg_err: 4.27255e-13; sd: 6.16714e-11; counts: 20836
sfh 0.123123 3.46833e-12 1.35756e-11 2.83366e-12 #avg: 1.3398e-11; avg_err: 3.85107e-13; sd: 5.55876e-11; counts: 20836
sfh 0.126498 3.92173e-12 1.47608e-11 3.14665e-12 #avg: 1.44995e-11; avg_err: 3.68868e-13; sd: 5.32436e-11; counts: 20836
sfh 0.129873 4.41142e-12 1.5812e-11 3.48454e-12 #avg: 1.57122e-11; avg_err: 3.94952e-13; sd: 5.70087e-11; counts: 20836
sfh 0.133248 4.92291e-12 1.73365e-11 3.82508e-12 #avg: 1.71334e-11; avg_err: 4.59122e-13; sd: 6.62711e-11; counts: 20836
sfh 0.136623 5.53457e-12 1.90311e-11 4.2764e-12 #avg: 1.85209e-11; avg_err: 4.21654e-13; sd: 6.0863e-11; counts: 20836
sfh 0.141685 6.4478e-12 2.13472e-11 4.93606e-12 #avg: 2.08844e-11; avg_err: 4.66398e-13; sd: 6.73215e-11; counts: 20836
sfh 0.146748 7.32636e-12 2.35336e-11 5.53226e-12 #avg: 2.31208e-11; avg_err: 4.87556e-13; sd: 7.03755e-11; counts: 20836
sfh 0.15181 8.28678e-12 2.60505e-11 6.16505e-12 #avg: 2.6143e-11; avg_err: 5.77451e-13; sd: 8.33512e-11; counts: 20836
sfh 0.156873 9.33387e-12 2.92261e-11 6.90786e-12 #avg: 2.908e-11; avg_err: 6.87917e-13; sd: 9.92963e-11; counts: 20836
sfh 0.161935 1.05289e-11 3.29096e-11 7.78893e-12 #avg: 3.17099e-11; avg_err: 6.67731e-13; sd: 9.63825e-11; counts: 20836
sfh 0.166998 1.1639e-11 3.62633e-11 8.54198e-12 #avg: 3.42917e-11; avg_err: 6.5577e-13; sd: 9.4656e-11; counts: 20836
sfh 0.17206 1.27735e-11 3.95314e-11 9.34882e-12 #avg: 3.70238e-11; avg_err: 6.74741e-13; sd: 9.73944e-11; counts: 20836
sfh 0.177123 1.40268e-11 4.20357e-11 1.01739e-11 #avg: 3.99197e-11; avg_err: 7.19802e-13; sd: 1.03899e-10; counts: 20836
sfh 0.182185 1.54101e-11 4.51787e-11 1.11498e-11 #avg: 4.35291e-11; avg_err: 7.66293e-13; sd: 1.10609e-10; counts: 20836
sfh 0.187248 1.67823e-11 5.03249e-11 1.21312e-11 #avg: 4.68748e-11; avg_err: 8.01618e-13; sd: 1.15708e-10; counts: 20836
sfh 0.19231 1.83519e-11 5.48483e-11 1.33489e-11 #avg: 5.0045e-11; avg_err: 8.42674e-13; sd: 1.21634e-10; counts: 20836
sfh 0.197373 2.00465e-11 5.89592e-11 1.45785e-11 #avg: 5.34604e-11; avg_err: 8.80222e-13; sd: 1.27054e-10; counts: 20836
sfh 0.202435 2.16497e-11 6.26461e-11 1.57018e-11 #avg: 5.69725e-11; avg_err: 9.03741e-13; sd: 1.30449e-10; counts: 20836
sfh 0.207498 2.32911e-11 6.6594e-11 1.67756e-11 #avg: 6.05028e-11; avg_err: 9.35942e-13; sd: 1.35097e-10; counts: 20836
sfh 0.21256 2.50829e-11 7.11945e-11 1.81731e-11 #avg: 6.44034e-11; avg_err: 9.86113e-13; sd: 1.42339e-10; counts: 20836
sfh 0.217623 2.69767e-11 7.45377e-11 1.95178e-11 #avg: 6.82599e-11; avg_err: 1.04891e-12; sd: 1.51403e-10; counts: 20836
sfh 0.222685 2.85753e-11 7.83586e-11 2.04678e-11 #avg: 7.11838e-11; avg_err: 1.0415e-12; sd: 1.50334e-10; counts: 20836
sfh 0.227748 3.03628e-11 8.45442e-11 2.16592e-11 #avg: 7.48731e-11; avg_err: 1.08169e-12; sd: 1.56135e-10; counts: 20836
sfh 0.23281 3.22855e-11 8.9188e-11 2.292e-11 #avg: 7.89081e-11; avg_err: 1.081e-12; sd: 1.56036e-10; counts: 20836
sfh 0.237873 3.42567e-11 9.4517e-11 2.43168e-11 #avg: 8.31148e-11; avg_err: 1.14962e-12; sd: 1.6594e-10; counts: 20836
sfh 0.242935 3.66183e-11 1.00493e-10 2.60285e-11 #avg: 8.82737e-11; avg_err: 1.25215e-12; sd: 1.8074e-10; counts: 20836
sfh 0.247998 3.88724e-11 1.05488e-10 2.75548e-11 #avg: 9.33927e-11; avg_err: 1.2748e-12; sd: 1.84009e-10; counts: 20836
sfh 0.25306 4.15119e-11 1.09643e-10 2.96252e-11 #avg: 9.93155e-11; avg_err: 1.37815e-12; sd: 1.98926e-10; counts: 20836
sfh 0.258123 4.38174e-11 1.16089e-10 3.10983e-11 #avg: 1.04324e-10; avg_err: 1.44278e-12; sd: 2.08256e-10; counts: 20836
sfh 0.263185 4.6538e-11 1.23543e-10 3.30587e-11 #avg: 1.0935e-10; avg_err: 1.45043e-12; sd: 2.09359e-10; counts: 20836
sfh 0.268248 4.9594e-11 1.33119e-10 3.52445e-11 #avg: 1.14262e-10; avg_err: 1.42908e-12; sd: 2.06279e-10; counts: 20836
sfh 0.27331 5.17003e-11 1.41615e-10 3.65459e-11 #avg: 1.194e-10; avg_err: 1.45021e-12; sd: 2.09329e-10; counts: 20836
sfh 0.278373 5.47935e-11 1.51196e-10 3.87761e-11 #avg: 1.25824e-10; avg_err: 1.514e-12; sd: 2.18536e-10; counts: 20836
sfh 0.283435 5.76528e-11 1.6026e-10 4.06538e-11 #avg: 1.32889e-10; avg_err: 1.57466e-12; sd: 2.27292e-10; counts: 20836
sfh 0.288498 6.09482e-11 1.67993e-10 4.28737e-11 #avg: 1.39773e-10; avg_err: 1.65226e-12; sd: 2.38492e-10; counts: 20836
sfh 0.29356 6.53273e-11 1.7546e-10 4.63522e-11 #avg: 1.46785e-10; avg_err: 1.70663e-12; sd: 2.46341e-10; counts: 20836
sfh 0.298623 6.97096e-11 1.85939e-10 4.97244e-11 #avg: 1.54357e-10; avg_err: 1.7557e-12; sd: 2.53423e-10; counts: 20836
