#Peak halo mass range: 11.875 < log10(Mh/Msun) < 12.125
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit halos in bin: 4625
#Bestfit SF halos in bin: 4004
#Bestfit Q halos in bin: 621
#Bestfit central halos in bin: 4309
#Bestfit satellite halos in bin: 316
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0.00858171 -0.000334296 0.00845581 0.0062682 -0.000513934 0.00620115 0.0234985 0.00027433 0.0231854 0.00901887 -0.000344578 0.00889519 0.00262059 0.00143351 0.00260634 0.000000 0.057873
0.059561 0.0720034 0.0587834 0.0694715 0.0640432 0.0533598 0.0615769 0.123329 0.100806 0.120644 0.0747528 0.0592147 0.0721423 0.034513 0.0354927 0.033512 0.057873 0.061248
0.062373 0.165703 0.0911826 0.157344 0.120509 0.0953836 0.113749 0.457098 0.169163 0.441191 0.140512 0.0936869 0.133244 0.50921 0.0280378 0.487771 0.061248 0.063498
0.064623 0.266292 0.19901 0.246822 0.233857 0.167294 0.2166 0.475424 0.376681 0.441672 0.259311 0.203718 0.239438 0.361487 0.185014 0.330736 0.063498 0.065748
0.066873 0.444162 0.174886 0.387287 0.425669 0.151335 0.373043 0.5634 0.368623 0.486566 0.443641 0.166158 0.387228 0.451266 0.216526 0.403896 0.065748 0.067998
0.069123 0.496044 0.319885 0.406572 0.456535 0.300611 0.377102 0.750782 0.554947 0.624361 0.487896 0.299174 0.397542 0.607146 0.495661 0.520566 0.067998 0.070248
0.071373 0.613292 0.4402 0.490317 0.569833 0.356923 0.461862 0.893497 0.593909 0.70096 0.594339 0.418615 0.471651 0.871736 0.658698 0.709528 0.070248 0.072498
0.073623 0.82492 0.460852 0.627227 0.766866 0.39871 0.578838 1.19924 0.935392 0.902528 0.802867 0.43474 0.608973 1.12564 0.809437 0.870124 0.072498 0.074748
0.075873 1.12372 0.626676 0.792982 1.02695 0.525668 0.717248 1.74769 1.14115 1.28267 1.09245 0.594823 0.76396 1.55008 0.848682 1.13772 0.074748 0.076998
0.078123 1.36067 0.638277 0.923691 1.21763 0.56677 0.810058 2.2829 1.07429 1.59812 1.34121 0.640324 0.904004 1.62592 0.735679 1.13589 0.076998 0.079248
