#Observed stellar mass range: 9 < log10(M*/Msun) < 9.2
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.202728 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 101713
#Bestfit SF galaxies in bin: 94879
#Bestfit Q galaxies in bin: 6834
#Bestfit central galaxies in bin: 63568
#Bestfit satellite galaxies in bin: 38145
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 2.79034e-07 1.44651e-08 2.79034e-07 0 1.2283e-08 0 4.15297e-06 -3.56367e-06 4.15297e-06 0 0 0 7.4404e-07 5.20113e-08 7.4404e-07 0.000000 0.057873
0.059561 4.20461e-06 2.37946e-06 4.20461e-06 1.14625e-06 2.12521e-06 1.14625e-06 4.6665e-05 -3.18211e-05 4.6665e-05 0 0 0 1.12115e-05 6.46665e-06 1.12115e-05 0.057873 0.061248
0.062373 2.30942e-05 8.67111e-06 2.27648e-05 1.56942e-05 5.18999e-06 1.56792e-05 0.000125832 -1.46816e-07 0.000125829 1.04214e-06 6.43129e-07 1.04214e-06 5.98436e-05 2.80508e-05 5.9207e-05 0.061248 0.063498
0.064623 5.54899e-05 3.59062e-05 5.29794e-05 3.48954e-05 1.07325e-05 3.35048e-05 0.000341411 0.000234928 0.000339926 2.23435e-06 5.68473e-06 2.12245e-06 0.000144239 8.99881e-05 0.000138367 0.063498 0.065748
0.066873 9.13896e-05 2.69698e-05 8.56558e-05 5.4539e-05 1.50237e-05 5.20954e-05 0.000603001 0.000129732 0.000587202 1.86971e-05 1.16632e-05 1.78707e-05 0.00021253 6.30985e-05 0.00020008 0.065748 0.067998
0.069123 0.000145132 0.00010021 0.000122926 0.000106193 3.97959e-05 9.52924e-05 0.000685737 0.000557785 0.000629166 3.88798e-05 3.94357e-05 3.35465e-05 0.0003222 0.000165549 0.000281962 0.067998 0.070248
0.071373 0.000227864 0.000156468 0.000190205 0.000167413 8.63809e-05 0.00014524 0.00106714 0.000603343 0.000931366 6.6238e-05 8.97439e-05 5.2691e-05 0.000497212 0.000261929 0.000420396 0.070248 0.072498
0.073623 0.000400609 0.000229998 0.000325166 0.000321559 0.000188376 0.000256871 0.00149809 0.00109419 0.00125326 0.000139999 0.000155879 0.00010637 0.000834912 0.000475666 0.000674681 0.072498 0.074748
0.075873 0.000583691 0.000492696 0.000440202 0.000475182 0.000400336 0.000370441 0.00209016 0.00133995 0.00169409 0.000235255 0.000298402 0.000168055 0.00116435 0.000728118 0.000919963 0.074748 0.076998
0.078123 0.000823075 0.000726704 0.000583326 0.000674895 0.000546087 0.000487227 0.00288031 0.00213072 0.00214364 0.000417269 0.000438249 0.000292261 0.00149934 0.00117682 0.00110211 0.076998 0.079248
0.080373 0.00130065 0.00107478 0.000888298 0.00106367 0.00092234 0.000744641 0.00459073 0.00237757 0.00344386 0.000795719 0.000744184 0.000548056 0.00214212 0.00164957 0.0014783 0.079248 0.081498
0.082904 0.0018823 0.00142887 0.00123336 0.00157812 0.00112467 0.00103738 0.00610526 0.0031538 0.00446305 0.00127173 0.000913103 0.000835591 0.0028998 0.00205769 0.00189561 0.081498 0.084311
0.085998 0.00306425 0.00230939 0.00177649 0.00271359 0.00198837 0.00160142 0.00793263 0.00509433 0.0051293 0.0021203 0.00166871 0.00126353 0.00463732 0.00341586 0.00271457 0.084311 0.087685
0.089373 0.00465362 0.0030058 0.00269002 0.0040766 0.00265842 0.00235238 0.0126646 0.0055854 0.00820032 0.00326302 0.00247192 0.0019209 0.00697103 0.00445093 0.00409654 0.087685 0.091061
0.092748 0.00645019 0.00418004 0.00339455 0.00572638 0.00370004 0.0030164 0.0164992 0.00745892 0.0100716 0.00462899 0.00342392 0.0023356 0.00948518 0.00573225 0.00528265 0.091061 0.094435
0.096123 0.00861931 0.00505863 0.00418318 0.00778071 0.0045174 0.00376817 0.020262 0.00970458 0.0114342 0.00635403 0.00385381 0.00302292 0.0123943 0.00666828 0.00624665 0.094435 0.097811
0.099498 0.0107437 0.00605828 0.00490379 0.00982049 0.00492562 0.00466621 0.0235611 0.0120828 0.0116772 0.00803828 0.00480826 0.00363186 0.0152523 0.0079479 0.00721254 0.097811 0.101186
0.102873 0.0134016 0.00610834 0.00578236 0.0122911 0.00514058 0.00537163 0.0288191 0.0112465 0.0139477 0.0100933 0.00511818 0.00427671 0.0189148 0.00769886 0.00829681 0.101186 0.104560
0.106248 0.0158979 0.00648656 0.00635152 0.0143074 0.00632631 0.00580518 0.0379801 0.00751001 0.0194713 0.0120328 0.00566552 0.00472163 0.0223392 0.00818786 0.00903309 0.104560 0.107936
0.109623 0.017881 0.00741656 0.00638581 0.0165325 0.00716703 0.00619349 0.0366033 0.0130533 0.0147289 0.0142107 0.00636171 0.00520884 0.0239975 0.0102893 0.00868122 0.107936 0.111310
0.112998 0.019662 0.00808444 0.00668204 0.0181917 0.00727012 0.00620183 0.0400755 0.0137909 0.0149529 0.0157187 0.00686559 0.0050587 0.0262335 0.00996324 0.00889734 0.111310 0.114686
