#Observed stellar mass range: 11.6 < log10(M*/Msun) < 11.8
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.16864 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 572
#Bestfit SF galaxies in bin: 36
#Bestfit Q galaxies in bin: 536
#Bestfit central galaxies in bin: 513
#Bestfit satellite galaxies in bin: 59
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0.0115992 0.000305769 0.0114888 0.0147578 -0.0119187 0.0147578 0.011387 0.00120386 0.0112699 0.0111748 0.000933551 0.0110592 0.0152892 0.000215977 0.0152892 0.000000 0.057873
0.059561 0.128633 0.13975 0.124016 0.0672984 0 0.0669056 0.132753 0.154988 0.127777 0.133551 0.153325 0.128781 0.0858686 0.0900456 0.0837354 0.057873 0.061248
0.062373 0.387138 0.40188 0.369646 0.0897604 0.0934661 0.0876178 0.407111 0.413019 0.38864 0.380794 0.410609 0.361886 0.442295 0.266074 0.428987 0.061248 0.063498
0.064623 0.835196 0.502029 0.780813 0.219236 0.352235 0.20413 0.876566 0.536721 0.819183 0.819667 0.451568 0.763316 0.970222 0.40445 0.921741 0.063498 0.065748
0.066873 1.41234 0.520676 1.2838 0.551929 0.319075 0.510225 1.47013 0.58189 1.3377 1.2619 0.578662 1.14052 2.7204 0.219303 2.56593 0.065748 0.067998
0.069123 2.2452 0.165438 2.0084 0.562631 0.687597 0.481116 2.3582 0.136869 2.11959 2.14318 0.11957 1.91802 3.13226 -0.639932 2.81323 0.067998 0.070248
0.071373 2.32697 0.794561 1.88221 1.11999 0.345584 0.979749 2.40803 0.773242 1.99899 2.30647 0.780893 1.86205 2.50521 0.585045 2.10767 0.070248 0.072498
0.073623 2.80487 1.29941 2.22509 1.69565 0.110126 1.47902 2.87937 1.32463 2.2685 2.84773 1.08041 2.26906 2.43216 1.8223 1.87127 0.072498 0.074748
0.075873 3.55419 1.51421 2.64818 2.43096 -0.292123 2.07988 3.62963 1.72729 2.69074 3.68292 1.53837 2.79035 2.43489 1.21881 1.78285 0.074748 0.076998
0.078123 4.21112 1.78234 2.88824 2.87904 -0.159311 2.43838 4.30059 1.95247 2.92727 4.36839 1.93996 3.07672 2.84367 1.06611 1.96104 0.076998 0.079248
0.080373 5.29675 2.00275 3.50767 2.93091 0.41928 2.18564 5.45565 2.33158 3.6051 5.4218 2.25322 3.59541 4.20954 1.31746 2.86192 0.079248 0.081498
