#Peak halo mass range: 11.375 < log10(Mh/Msun) < 11.625
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit halos in bin: 155798
#Bestfit SF halos in bin: 152456
#Bestfit Q halos in bin: 3342
#Bestfit central halos in bin: 122070
#Bestfit satellite halos in bin: 33728
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 5.38397e-06 6.31495e-06 5.33926e-06 5.50199e-06 6.43268e-06 5.4836e-06 0 4.01111e-06 0 0 0 0 2.48699e-05 3.0495e-05 2.46615e-05 0.000000 0.057873
0.059561 0.000206031 0.000296611 0.000194095 0.00010243 0.000175704 9.72951e-05 0.00493213 0.00265419 0.00485105 5.88524e-05 0.000112476 5.65629e-05 0.000738709 0.000869195 0.000703192 0.057873 0.061248
0.062373 0.000593805 0.00063766 0.000540799 0.000506451 0.000492834 0.000477786 0.00457873 0.00390615 0.00436001 0.000281371 0.000335484 0.000265638 0.00172458 0.00171992 0.00159507 0.061248 0.063498
0.064623 0.00161896 0.00145323 0.00146748 0.00146045 0.00123486 0.00133807 0.00884974 0.00573862 0.00823939 0.000924857 0.000856013 0.000847032 0.00413107 0.00335455 0.00375198 0.063498 0.065748
0.066873 0.00280893 0.0024867 0.0024777 0.00241393 0.00230041 0.00211705 0.0208283 0.00612125 0.0191578 0.00162389 0.00185878 0.00141729 0.0070979 0.00614115 0.00617998 0.065748 0.067998
0.069123 0.00443646 0.00378658 0.00366849 0.00407531 0.00361003 0.00339232 0.0209114 0.0131464 0.0181677 0.00279676 0.00250882 0.00235345 0.0103709 0.00814807 0.00872295 0.067998 0.070248
0.071373 0.00716424 0.00457861 0.00556237 0.00664382 0.00443057 0.0052132 0.0309051 0.0206949 0.0257347 0.00478981 0.00347622 0.00372165 0.0157579 0.00981639 0.0123739 0.070248 0.072498
0.073623 0.0115328 0.00691501 0.00831597 0.0109036 0.00659843 0.0081634 0.0402386 0.0304957 0.0310023 0.00781686 0.00535623 0.00568839 0.0249819 0.0154135 0.0181924 0.072498 0.074748
0.075873 0.0161637 0.0108771 0.0113959 0.0152484 0.00981361 0.0109438 0.0579193 0.0211628 0.0444145 0.0109101 0.00835915 0.0080682 0.0351779 0.0211239 0.0240967 0.074748 0.076998
0.078123 0.0227207 0.0160068 0.0154066 0.021782 0.0138655 0.014814 0.0655412 0.0352787 0.0454874 0.014989 0.0120602 0.0106761 0.0507033 0.0306267 0.0331161 0.076998 0.079248
0.080373 0.0280301 0.0197129 0.0186787 0.0270592 0.0193578 0.0184767 0.0723207 0.0411412 0.0487848 0.0205648 0.0152608 0.0141237 0.0550487 0.0367811 0.0361012 0.079248 0.081498
0.082904 0.0320326 0.0225285 0.0205142 0.0309646 0.021565 0.0197885 0.0807534 0.0439661 0.0551263 0.0245007 0.0169588 0.0155112 0.0592925 0.0398084 0.0360572 0.081498 0.084311
0.085998 0.0493056 0.0322966 0.0287873 0.0475001 0.0305368 0.028104 0.131671 0.0523584 0.0863891 0.0386831 0.0266325 0.0224872 0.0877513 0.0493668 0.0510542 0.084311 0.087685
0.089373 0.0628767 0.0365104 0.0327183 0.06032 0.034759 0.0324785 0.179509 0.0521473 0.114816 0.0498132 0.0308815 0.0274322 0.110156 0.0541193 0.0581392 0.087685 0.091061
0.092748 0.0782873 0.0415618 0.0378172 0.0749719 0.037542 0.0370236 0.229532 0.048193 0.140691 0.0617855 0.0346438 0.0311731 0.138011 0.0607781 0.0667839 0.091061 0.094435
0.096123 0.0958699 0.0451469 0.0431134 0.0920823 0.0399393 0.0425128 0.268654 0.0534138 0.151259 0.0759636 0.0398648 0.0352439 0.167915 0.0691503 0.0764805 0.094435 0.097811
0.099498 0.110652 0.0462092 0.0449723 0.106917 0.0431973 0.0455029 0.281015 0.0679899 0.147222 0.0893805 0.0419301 0.0380309 0.187638 0.0735397 0.0802078 0.097811 0.101186
0.102873 0.128887 0.05207 0.0489695 0.124873 0.0471572 0.0493974 0.31197 0.0805556 0.154433 0.104453 0.0441659 0.0396925 0.217319 0.0796989 0.0843828 0.101186 0.104560
0.106248 0.146071 0.0532721 0.0507888 0.141451 0.0512155 0.0517264 0.356843 0.0906235 0.177687 0.117592 0.0472248 0.0402882 0.249145 0.0815079 0.089245 0.104560 0.107936
0.109623 0.167613 0.0591161 0.0541212 0.161675 0.0548237 0.0526254 0.438473 0.0934638 0.22074 0.13152 0.0479836 0.0404179 0.298242 0.0891876 0.0994828 0.107936 0.111310
0.112998 0.18878 0.0644107 0.0568617 0.181609 0.0605539 0.0549507 0.515907 0.0944261 0.250306 0.147696 0.0536791 0.0424736 0.337475 0.101719 0.102053 0.111310 0.114686
0.116373 0.210489 0.0680867 0.0567842 0.20234 0.0639538 0.0585046 0.58222 0.114561 0.279336 0.163106 0.0581211 0.0439715 0.381981 0.110346 0.111975 0.114686 0.118060
0.119748 0.234137 0.0737247 0.0594097 0.223983 0.0665212 0.0581029 0.697366 0.0878003 0.351425 0.179765 0.0588474 0.0431648 0.430923 0.121978 0.121993 0.118060 0.121435
0.123123 0.256283 0.0768096 0.0632603 0.245629 0.0684735 0.0598453 0.742271 0.0859667 0.36375 0.196385 0.0634796 0.0444622 0.473069 0.133397 0.132334 0.121435 0.124811
0.126498 0.279706 0.0819086 0.0649849 0.268018 0.0729945 0.0629947 0.812907 0.101618 0.397472 0.212511 0.0674007 0.0440558 0.522904 0.14416 0.144768 0.124811 0.128185
0.129873 0.306562 0.0830641 0.0736309 0.291528 0.0778317 0.0694375 0.992404 0.0774851 0.515864 0.231229 0.0690229 0.0472261 0.579211 0.154268 0.152726 0.128185 0.131561
0.133248 0.335872 0.0907705 0.0794282 0.319184 0.0803869 0.0755997 1.09715 0.100462 0.567912 0.25249 0.0688401 0.0524147 0.637651 0.164587 0.164498 0.131561 0.134935
0.137045 0.363944 0.0952394 0.0834391 0.346815 0.0830665 0.0828198 1.14531 0.16101 0.57886 0.273934 0.0754717 0.0578712 0.689712 0.173357 0.182847 0.134935 0.139154
0.141685 0.413497 0.103095 0.0967714 0.394966 0.0916496 0.0971946 1.25885 0.217509 0.625841 0.309527 0.0822059 0.0669344 0.789792 0.19656 0.219071 0.139154 0.144217
0.146748 0.460751 0.114071 0.10915 0.44056 0.0977975 0.106372 1.38185 0.253901 0.677584 0.342739 0.0845131 0.0754818 0.887866 0.198038 0.247508 0.144217 0.149279
0.151810 0.511829 0.123507 0.120041 0.489577 0.103765 0.118671 1.52695 0.290861 0.752755 0.379165 0.0984967 0.0818828 0.991976 0.222852 0.271388 0.149279 0.154342
0.156873 0.562319 0.134382 0.12969 0.537714 0.117389 0.127067 1.68474 0.315278 0.841184 0.414268 0.109475 0.087201 1.09815 0.225364 0.307269 0.154342 0.159404
0.161935 0.615475 0.133665 0.141368 0.587448 0.123518 0.136747 1.89399 0.350334 0.969812 0.449486 0.115767 0.0936835 1.21623 0.257296 0.334035 0.159404 0.164467
0.166998 0.668747 0.144178 0.156313 0.6394 0.126049 0.153184 2.00749 0.292964 1.02096 0.489244 0.121851 0.100732 1.31841 0.28601 0.373346 0.164467 0.169529
0.172060 0.720965 0.166036 0.168546 0.69182 0.129097 0.167028 2.05052 0.332609 1.02262 0.529945 0.126178 0.109786 1.41232 0.301372 0.404311 0.169529 0.174591
0.177123 0.775634 0.175808 0.193394 0.745124 0.134629 0.183696 2.16748 0.347618 1.07055 0.573662 0.127881 0.118412 1.50662 0.323147 0.43602 0.174591 0.179654
0.182185 0.83069 0.188104 0.20613 0.799549 0.14585 0.198576 2.25126 0.385827 1.09838 0.6183 0.148667 0.13478 1.59938 0.36125 0.458802 0.179654 0.184716
0.187248 0.886541 0.194958 0.224752 0.856203 0.15195 0.21085 2.27052 0.420954 1.08314 0.661403 0.155087 0.14934 1.70137 0.361472 0.488659 0.184716 0.189779
