#Observed stellar mass range: 12 < log10(M*/Msun) < 12.2
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.162906 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 26
#Bestfit SF galaxies in bin: 1
#Bestfit Q galaxies in bin: 25
#Bestfit central galaxies in bin: 26
#Bestfit satellite galaxies in bin: 0
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0.0792774 -0.0142012 0.0792774 0 0 0 0.0824485 -0.0173723 0.0824485 0.0792774 -0.0133818 0.0792774 0 0 0 0.000000 0.057873
0.059561 0.95277 0.681109 0.934043 0 0 0 0.990881 0.760242 0.970828 0.95277 0.681109 0.934043 0 0 0 0.057873 0.061248
0.062373 1.1186 2.39067 1.0302 0 0.0309094 0 1.16335 2.37211 1.06589 1.1186 2.39067 1.0294 0 0 0 0.061248 0.063498
0.064623 1.83776 0.542902 1.69308 0 0.112896 0 1.91127 0.614647 1.75981 1.83776 0.542902 1.69308 0 0 0 0.063498 0.065748
0.066873 2.69026 1.26495 2.44353 0 0.301352 0 2.79787 1.30847 2.53486 2.69026 1.26495 2.44353 0 0 0 0.065748 0.067998
0.069123 3.7446 2.46699 3.18507 0 0.430102 0 3.89439 2.78885 3.31219 3.7446 2.46699 3.17589 0 0 0 0.067998 0.070248
0.071373 6.1612 4.06516 5.023 0 1.02849 0 6.40765 4.73827 5.29843 6.1612 4.06516 5.023 0 0.0227207 0 0.070248 0.072498
0.073623 7.61862 4.95057 5.72235 0 1.2416 0 7.92337 5.33826 5.97119 7.61862 4.91345 5.72235 0 0.0809263 0 0.072498 0.074748
0.075873 11.1039 4.77502 8.04737 0 1.8768 0 11.5481 5.03453 8.23979 11.1039 4.59978 8.04737 0 0.278562 0 0.074748 0.076998
0.078123 11.4574 5.5127 7.48763 0 3.70915 0 11.9157 6.28798 7.80277 11.4574 5.5127 7.37439 0 0.580713 0 0.076998 0.079248
0.080373 12.8516 5.41905 7.67097 0 3.87569 0 13.3656 5.96079 7.73692 12.8516 5.6222 7.69333 0 1.35062 0 0.079248 0.081498
0.082904 14.7753 5.15586 8.85067 0 5.83259 0 15.3663 5.65172 9.06635 14.7753 5.15586 8.78653 0 2.37923 0 0.081498 0.084311
0.085998 20.8967 8.58865 11.1531 0 9.82711 0 21.7326 9.22524 11.3939 20.8967 8.58865 11.1531 0 3.11387 0 0.084311 0.087685
0.089373 27.4853 18.4785 13.833 0 11.5765 0 28.5847 20.4597 14.3833 27.4853 18.4785 13.7429 0 3.91247 0 0.087685 0.091061
0.092748 31.2332 21.7105 13.4608 0 12.2565 0 32.4826 22.1152 14.4467 31.2332 21.7105 13.0313 0 5.84874 0 0.091061 0.094435
0.096123 34.5 28.7673 13.0916 0 13.2393 0 35.88 28.8684 13.3095 34.5 28.7673 12.725 0 7.86425 0 0.094435 0.097811
0.099498 37.6687 31.5888 11.8924 0 15.3316 0 39.1754 32.5719 11.7919 37.6687 32.0836 11.8924 0 12.5105 0 0.097811 0.101186
0.102873 43.0442 39.224 11.9053 0 19.1393 0 44.766 42.5937 12.3673 43.0442 39.224 11.9053 0 26.1598 0 0.101186 0.104560
0.106248 56.5629 43.5616 16.68 0 25.6517 0 58.8254 46.6586 17.3401 56.5629 43.5616 16.654 0 34.9943 0 0.104560 0.107936
0.109623 68.852 60.1507 21.411 0 30.254 0 71.6061 62.8325 22.5082 68.852 60.1507 21.4019 0 31.4162 0 0.107936 0.111310
